y_real,y_pred_local
52,116.0
275,250.0
206,200.0
155,204.0
182,114.0
182,200.0
375,128.0
65,114.0
175,200.0
725,200.0
250,70.0
50,88.0
650,204.0
231,81.0
475,114.0
138,114.0
105,131.0
925,123.0
311,200.0
350,131.0
125,98.0
252,98.0
120,88.0
25,325.0
98,131.0
300,128.0
100,128.0
500,250.0
250,128.0
300,128.0
203,204.0
575,149.0
80,88.0
275,81.0
275,250.0
75,131.0
70,85.0
221,88.0
202,128.0
325,350.0
317,200.0
1045,200.0
112,128.0
495,200.0
168,204.0
123,88.0
119,81.0
61,88.0
525,75.0
116,114.0
700,88.0
200,131.0
35,149.0
168,128.0
83,85.0
238,200.0
116,149.0
49,149.0
500,81.0
450,70.0
203,128.0
119,101.0
225,128.0
155,149.0
475,123.0
1220,200.0
203,204.0
44,114.0
350,300.0
245,200.0
325,75.0
575,169.0
550,400.0
175,98.0
99,149.0
54,149.0
56,149.0
163,85.0
425,75.0
75,88.0
225,131.0
325,101.0
525,85.0
375,85.0
204,101.0
350,300.0
29,98.0
56,131.0
525,119.0
70,149.0
675,114.0
650,85.0
123,88.0
263,128.0
279,149.0
135,101.0
236,204.0
250,75.0
56,114.0
625,88.0
145,204.0
500,123.0
98,114.0
263,200.0
150,200.0
500,149.0
150,128.0
600,149.0
84,114.0
100,81.0
350,131.0
275,88.0
300,200.0
111,101.0
325,123.0
200,75.0
600,200.0
51,149.0
52,149.0
91,88.0
216,85.0
189,128.0
224,149.0
165,88.0
240,204.0
124,90.0
231,149.0
545,119.0
325,119.0
120,149.0
115,149.0
225,75.0
725,200.0
90,131.0
162,204.0
163,200.0
350,75.0
450,119.0
225,300.0
200,101.0
131,101.0
125,250.0
111,114.0
825,131.0
87,114.0
203,200.0
105,81.0
169,204.0
181,85.0
91,88.0
38,81.0
850,98.0
60,81.0
26,114.0
575,131.0
289,200.0
400,88.0
104,128.0
72,88.0
123,128.0
925,149.0
70,70.0
108,75.0
203,204.0
218,128.0
105,128.0
750,98.0
900,131.0
75,85.0
202,88.0
120,98.0
61,88.0
47,70.0
175,85.0
248,85.0
87,149.0
90,114.0
85,149.0
119,128.0
106,149.0
150,128.0
225,88.0
56,149.0
68,114.0
149,101.0
173,128.0
600,425.0
125,250.0
900,149.0
100,119.0
750,149.0
125,149.0
116,90.0
550,169.0
225,90.0
150,75.0
150,114.0
375,85.0
250,200.0
113,90.0
475,81.0
275,128.0
208,200.0
198,128.0
133,128.0
145,149.0
725,131.0
203,149.0
112,149.0
59,128.0
239,128.0
525,75.0
94,149.0
50,90.0
575,169.0
182,200.0
425,90.0
825,98.0
325,114.0
75,325.0
105,131.0
300,119.0
475,275.0
125,98.0
775,625.0
600,131.0
109,149.0
232,200.0
500,75.0
225,75.0
525,250.0
450,75.0
140,90.0
825,200.0
140,128.0
143,101.0
250,70.0
65,128.0
500,325.0
400,119.0
196,98.0
96,101.0
145,88.0
138,81.0
925,128.0
128,88.0
175,75.0
525,131.0
124,149.0
111,85.0
248,204.0
38,149.0
39,81.0
36,149.0
105,128.0
150,81.0
300,149.0
221,88.0
126,131.0
38,81.0
250,200.0
900,114.0
98,128.0
39,88.0
675,88.0
111,200.0
450,114.0
225,85.0
420,200.0
325,300.0
87,114.0
500,200.0
109,88.0
150,149.0
207,200.0
69,101.0
149,149.0
117,98.0
400,98.0
30,85.0
149,204.0
150,128.0
150,88.0
250,119.0
204,81.0
75,101.0
175,114.0
193,101.0
147,200.0
225,75.0
175,114.0
91,128.0
100,81.0
125,90.0
150,131.0
425,88.0
725,149.0
375,75.0
500,128.0
325,300.0
210,131.0
315,88.0
120,114.0
240,149.0
81,128.0
136,88.0
650,85.0
225,128.0
75,81.0
58,114.0
333,128.0
475,123.0
120,85.0
30,81.0
68,114.0
160,149.0
155,90.0
550,81.0
58,90.0
575,88.0
113,90.0
114,90.0
725,250.0
30,90.0
625,400.0
116,98.0
200,250.0
775,85.0
203,128.0
119,101.0
475,128.0
250,114.0
221,200.0
91,149.0
700,128.0
123,149.0
88,88.0
126,88.0
95,128.0
550,200.0
91,149.0
425,90.0
575,101.0
104,81.0
63,81.0
475,85.0
36,90.0
700,128.0
450,300.0
700,131.0
79,128.0
675,131.0
147,81.0
144,149.0
116,128.0
