y_real,y_pred_local
52,101.0
275,500.0
206,136.0
155,136.0
182,375.0
182,135.0
375,450.0
65,375.0
175,450.0
725,109.0
250,101.0
50,94.0
650,162.5
231,109.0
475,450.0
138,109.0
105,135.0
925,450.0
311,450.0
350,135.0
125,350.0
252,135.0
120,94.0
25,140.0
98,135.0
300,135.0
100,450.0
500,111.0
250,109.0
300,450.0
203,136.0
575,275.0
80,147.0
275,350.0
275,111.0
75,441.6666666666667
70,350.0
221,147.0
202,166.0
325,140.0
317,135.0
1045,450.0
112,109.0
495,450.0
168,162.5
123,94.0
119,109.0
61,94.0
525,450.0
116,135.0
700,147.0
200,450.0
35,80.0
168,135.0
83,350.0
238,136.0
116,80.0
49,80.0
500,101.0
450,101.0
203,109.0
119,162.5
225,475.0
155,109.0
475,450.0
1220,450.0
203,162.5
44,375.0
350,135.0
245,109.0
325,475.0
575,450.0
550,450.0
175,350.0
99,135.0
54,109.0
56,80.0
163,350.0
425,475.0
75,136.0
225,109.0
325,162.5
525,350.0
375,350.0
204,162.5
350,135.0
29,350.0
56,109.0
525,135.0
70,109.0
675,375.0
650,350.0
123,147.0
263,450.0
279,135.0
135,162.5
236,162.5
250,450.0
56,109.0
625,147.0
145,162.5
500,450.0
98,135.0
263,135.0
150,450.0
500,80.0
150,450.0
600,450.0
84,135.0
100,350.0
350,441.6666666666667
275,94.0
300,140.0
111,162.5
325,450.0
200,80.0
600,450.0
51,109.0
52,80.0
91,136.0
216,450.0
189,450.0
224,450.0
165,147.0
240,162.5
124,101.0
231,450.0
545,135.0
325,135.0
120,450.0
115,136.0
225,441.6666666666667
725,450.0
90,135.0
162,162.5
163,135.0
350,450.0
450,135.0
225,140.0
200,135.0
131,162.5
125,500.0
111,135.0
825,450.0
87,375.0
203,136.0
105,101.0
169,162.5
181,450.0
91,147.0
38,166.0
850,135.0
60,101.0
26,375.0
575,135.0
289,450.0
400,147.0
104,450.0
72,147.0
123,450.0
925,450.0
70,101.0
108,147.0
203,162.5
218,135.0
105,450.0
750,135.0
900,441.6666666666667
75,350.0
202,136.0
120,88.0
61,147.0
47,101.0
175,350.0
248,450.0
87,275.0
90,135.0
85,450.0
119,135.0
106,135.0
150,450.0
225,147.0
56,275.0
68,109.0
149,166.0
173,450.0
600,450.0
125,111.0
900,450.0
100,350.0
750,450.0
125,80.0
116,128.0
550,450.0
225,109.0
150,275.0
150,135.0
375,350.0
250,140.0
113,101.0
475,101.0
275,475.0
208,450.0
198,475.0
133,450.0
145,109.0
725,135.0
203,450.0
112,450.0
59,166.0
239,135.0
525,450.0
94,109.0
50,101.0
575,450.0
182,135.0
425,109.0
825,135.0
325,375.0
75,140.0
105,441.6666666666667
300,135.0
475,350.0
125,350.0
775,450.0
600,441.6666666666667
109,135.0
232,109.0
500,275.0
225,375.0
525,500.0
450,450.0
140,166.0
825,450.0
140,135.0
143,162.5
250,101.0
65,475.0
500,450.0
400,135.0
196,88.0
96,162.5
145,147.0
138,101.0
925,450.0
128,147.0
175,375.0
525,441.6666666666667
124,135.0
111,135.0
248,162.5
38,136.0
39,101.0
36,275.0
105,450.0
150,350.0
300,80.0
221,136.0
126,135.0
38,166.0
250,140.0
900,375.0
98,475.0
39,136.0
675,147.0
111,450.0
450,135.0
225,350.0
420,109.0
325,135.0
87,135.0
500,450.0
109,94.0
150,450.0
207,109.0
69,162.5
149,450.0
117,88.0
400,350.0
30,350.0
149,162.5
150,450.0
150,147.0
250,350.0
204,166.0
75,166.0
175,375.0
193,162.5
147,450.0
225,441.6666666666667
175,375.0
91,135.0
100,134.0
125,128.0
150,135.0
425,147.0
725,450.0
375,450.0
500,450.0
325,135.0
210,109.0
315,147.0
120,375.0
240,135.0
81,135.0
136,136.0
650,450.0
225,475.0
75,101.0
58,109.0
333,109.0
475,450.0
120,350.0
30,109.0
68,135.0
160,136.0
155,109.0
550,350.0
58,166.0
575,147.0
113,101.0
114,128.0
725,500.0
30,101.0
625,450.0
116,135.0
200,111.0
775,350.0
203,475.0
119,162.5
475,450.0
250,135.0
221,135.0
91,109.0
700,475.0
123,275.0
88,147.0
126,147.0
95,109.0
550,450.0
91,109.0
425,109.0
575,162.5
104,166.0
63,166.0
475,350.0
36,101.0
700,475.0
450,135.0
700,450.0
79,475.0
675,450.0
147,166.0
144,450.0
116,450.0
550,450.0
350,475.0
300,450.0
223,162.5
93,109.0
320,450.0
173,135.0
670,500.0
475,475.0
192,147.0
275,475.0
189,135.0
175,500.0
163,109.0
158,162.5
51,101.0
216,162.5
425,111.0
275,135.0
130,375.0
1125,450.0
174,157.0
210,162.5
325,450.0
325,450.0
44,157.0
825,135.0
120,450.0
63,450.0
575,80.0
132,109.0
375,450.0
154,136.0
350,135.0
90,135.0
278,441.6666666666667
179,162.5
175,111.0
300,450.0
96,109.0
45,80.0
68,135.0
210,275.0
77,80.0
400,109.0
62,94.0
170,162.5
450,441.6666666666667
120,135.0
84,450.0
425,450.0
133,166.0
250,375.0
725,450.0
375,450.0
208,109.0
300,450.0
450,140.0
219,450.0
147,162.5
213,147.0
95,135.0
53,135.0
174,450.0
400,135.0
175,80.0
319,135.0
135,147.0
243,375.0
138,450.0
132,350.0
109,157.0
184,162.5
400,135.0
98,101.0
125,350.0
96,134.0
150,500.0
248,450.0
98,450.0
135,135.0
400,162.5
36,375.0
196,128.0
78,166.0
145,109.0
175,111.0
200,111.0
90,101.0
650,80.0
163,475.0
450,450.0
825,450.0
78,101.0
400,450.0
400,109.0
182,441.6666666666667
150,111.0
475,450.0
252,109.0
240,157.0
125,162.5
450,101.0
600,450.0
124,162.5
79,147.0
85,135.0
