y_real,y_pred_local
52,60.0
275,200.0
206,144.0
155,143.0
182,102.0
182,675.0
375,500.0
65,113.0
175,550.0
725,572.5
250,175.0
50,46.0
650,349.0
231,81.0
475,500.0
138,287.5
105,75.0
925,295.0
311,650.0
350,350.0
125,275.0
252,425.0
120,187.5
25,58.0
98,350.0
300,450.0
100,500.0
500,287.5
250,287.5
300,500.0
203,143.0
575,275.0
80,61.0
275,325.0
275,287.5
75,350.0
70,325.0
221,325.0
202,312.5
325,103.0
317,675.0
1045,550.0
112,287.5
495,650.0
168,500.0
123,225.0
119,81.0
61,225.0
525,119.0
116,450.0
700,325.0
200,500.0
35,69.0
168,75.0
83,325.0
238,144.0
116,69.0
49,225.0
500,200.0
450,175.0
203,312.5
119,87.5
225,325.0
155,150.0
475,500.0
1220,650.0
203,500.0
44,113.0
350,450.0
245,572.5
325,113.0
575,650.0
550,500.0
175,275.0
99,312.5
54,150.0
56,225.0
163,325.0
425,113.0
75,38.0
225,300.0
325,312.5
525,325.0
375,325.0
204,312.5
350,450.0
29,91.0
56,300.0
525,425.0
70,312.5
675,300.0
650,325.0
123,129.0
263,500.0
279,56.0
135,312.5
236,145.0
250,425.0
56,287.5
625,325.0
145,145.0
500,295.0
98,117.0
263,182.0
150,182.0
500,225.0
150,500.0
600,425.0
84,113.0
100,325.0
350,350.0
275,187.5
300,103.0
111,65.0
325,500.0
200,225.0
600,550.0
51,56.0
52,225.0
91,187.5
216,425.0
189,500.0
224,119.0
165,175.0
240,500.0
124,103.0
231,119.0
545,675.0
325,425.0
120,425.0
115,38.0
225,350.0
725,550.0
90,75.0
162,150.0
163,189.0
350,425.0
450,425.0
225,129.0
200,350.0
131,312.5
125,325.0
111,117.0
825,350.0
87,300.0
203,144.0
105,65.0
169,150.0
181,425.0
91,46.0
38,81.0
850,425.0
60,65.0
26,113.0
575,350.0
289,165.0
400,129.0
104,500.0
72,94.0
123,500.0
925,119.0
70,225.0
108,275.0
203,349.0
218,450.0
105,500.0
750,425.0
900,350.0
75,325.0
202,91.0
120,83.0
61,175.0
47,225.0
175,325.0
248,425.0
87,275.0
90,117.0
85,119.0
119,450.0
106,312.5
150,500.0
225,325.0
56,275.0
68,287.5
149,312.5
173,500.0
600,425.0
125,300.0
900,425.0
100,275.0
750,425.0
125,225.0
116,200.0
550,650.0
225,287.5
150,275.0
150,113.0
375,325.0
250,200.0
113,103.0
475,200.0
275,325.0
208,550.0
198,113.0
133,500.0
145,150.0
725,350.0
203,119.0
112,111.0
59,312.5
239,75.0
525,550.0
94,312.5
50,58.0
575,650.0
182,182.0
425,287.5
825,425.0
325,113.0
75,58.0
105,350.0
300,425.0
475,325.0
125,275.0
775,425.0
600,350.0
109,312.5
232,572.5
500,275.0
225,300.0
525,143.0
450,425.0
140,80.0
825,550.0
140,450.0
143,87.5
250,225.0
65,325.0
500,500.0
400,425.0
196,275.0
96,312.5
145,129.0
138,200.0
925,500.0
128,46.0
175,300.0
525,350.0
124,312.5
111,425.0
248,500.0
38,38.0
39,65.0
36,275.0
105,500.0
150,325.0
300,225.0
221,325.0
126,350.0
38,81.0
250,325.0
900,113.0
98,113.0
39,187.5
675,175.0
111,165.0
450,450.0
225,325.0
420,572.5
325,450.0
87,113.0
500,650.0
109,61.0
150,425.0
207,572.5
69,312.5
149,119.0
117,275.0
400,275.0
30,91.0
149,150.0
150,500.0
150,46.0
250,275.0
204,81.0
75,312.5
175,113.0
193,250.0
147,550.0
225,350.0
175,113.0
91,450.0
100,250.0
125,200.0
150,350.0
425,325.0
725,425.0
375,119.0
500,500.0
325,450.0
210,300.0
315,325.0
120,113.0
240,56.0
81,113.0
136,325.0
650,425.0
225,113.0
75,200.0
58,94.0
333,312.5
475,295.0
120,325.0
30,300.0
68,113.0
160,38.0
155,287.5
550,325.0
58,80.0
575,175.0
113,41.0
114,200.0
725,250.0
30,58.0
625,500.0
116,111.0
200,287.5
775,325.0
203,102.0
119,65.0
475,295.0
250,450.0
221,189.0
91,38.0
700,113.0
123,275.0
88,46.0
126,94.0
95,287.5
550,650.0
91,77.0
425,287.5
575,312.5
104,81.0
63,250.0
475,325.0
36,58.0
700,325.0
450,450.0
700,500.0
79,102.0
675,350.0
147,250.0
144,425.0
116,500.0
550,500.0
350,325.0
300,425.0
223,349.0
93,312.5
320,350.0
173,450.0
670,143.0
475,325.0
192,129.0
275,325.0
189,675.0
175,312.5
163,572.5
158,98.0
51,200.0
216,500.0
425,300.0
275,425.0
130,102.0
1125,650.0
174,65.0
210,312.5
325,500.0
325,350.0
44,65.0
825,450.0
120,550.0
63,119.0
575,225.0
132,572.5
375,350.0
154,187.5
350,350.0
90,450.0
278,350.0
179,87.5
175,287.5
300,295.0
96,81.0
45,225.0
68,312.5
210,275.0
77,69.0
400,150.0
62,187.5
170,87.5
450,350.0
120,113.0
84,425.0
425,295.0
133,90.0
250,113.0
725,295.0
375,295.0
208,144.0
300,425.0
450,65.0
219,500.0
147,250.0
213,94.0
95,675.0
53,56.0
174,500.0
400,350.0
175,225.0
319,650.0
135,72.0
243,300.0
138,500.0
132,325.0
109,65.0
184,349.0
400,350.0
98,60.0
125,325.0
96,250.0
150,200.0
248,500.0
98,650.0
135,111.0
400,312.5
36,113.0
196,58.0
78,312.5
145,312.5
175,287.5
200,300.0
90,60.0
650,225.0
163,113.0
450,550.0
825,295.0
78,225.0
400,500.0
400,572.5
182,350.0
150,312.5
475,650.0
252,81.0
240,65.0
125,312.5
450,103.0
600,165.0
124,500.0
79,46.0
85,75.0
1020,143.0
176,650.0
75,103.0
300,295.0
107,312.5
200,312.5
200,325.0
300,119.0
350,350.0
91,113.0
925,312.5
350,425.0
98,500.0
68,103.0
700,350.0
150,500.0
625,650.0
850,650.0
91,113.0
650,500.0
550,312.5
375,450.0
66,102.0
65,75.0
287,572.5
94,58.0
142,83.0
54,91.0
41,113.0
120,295.0
111,65.0
275,119.0
140,425.0
264,450.0
425,300.0
525,143.0
78,75.0
112,65.0
42,275.0
228,187.5
137,102.0
102,312.5
91,119.0
425,312.5
69,425.0
325,295.0
87,200.0
400,650.0
38,56.0
58,102.0
169,119.0
293,182.0
700,312.5
203,72.0
271,312.5
85,187.5
158,182.0
325,312.5
91,287.5
112,450.0
188,450.0
233,75.0
58,129.0
289,58.0
250,98.0
119,300.0
117,450.0
65,81.0
50,58.0
425,275.0
450,350.0
525,650.0
254,325.0
125,275.0
300,312.5
87,80.0
525,143.0
150,200.0
87,450.0
116,287.5
53,65.0
119,58.0
225,187.5
247,349.0
125,350.0
275,250.0
84,102.0
175,250.0
350,500.0
725,500.0
68,38.0
210,90.0
117,500.0
800,119.0
68,325.0
106,165.0
475,165.0
900,425.0
48,275.0
725,325.0
120,675.0
161,425.0
425,113.0
161,65.0
68,81.0
250,187.5
91,225.0
375,500.0
225,150.0
98,312.5
725,143.0
58,150.0
116,46.0
208,312.5
26,103.0
100,65.0
124,60.0
41,60.0
625,325.0
70,225.0
900,425.0
575,113.0
65,187.5
625,500.0
525,425.0
83,60.0
170,102.0
113,102.0
248,143.0
95,117.0
375,450.0
825,300.0
218,189.0
36,69.0
525,550.0
95,119.0
825,650.0
182,349.0
123,145.0
675,425.0
145,175.0
68,312.5
88,65.0
145,69.0
200,65.0
120,75.0
158,675.0
175,275.0
300,275.0
250,200.0
225,312.5
600,425.0
1075,500.0
56,150.0
200,312.5
275,187.5
122,450.0
200,425.0
56,69.0
128,287.5
950,350.0
450,275.0
122,189.0
325,287.5
700,425.0
31,325.0
54,325.0
425,275.0
90,119.0
126,77.0
700,349.0
173,56.0
275,312.5
36,275.0
147,500.0
75,187.5
142,94.0
217,350.0
775,675.0
800,143.0
145,65.0
175,300.0
550,425.0
189,500.0
91,75.0
575,572.5
300,350.0
520,550.0
500,113.0
116,350.0
215,189.0
196,650.0
44,119.0
175,500.0
135,500.0
150,287.5
275,175.0
65,287.5
300,113.0
350,113.0
38,119.0
47,102.0
150,175.0
525,572.5
98,500.0
143,500.0
1000,425.0
112,350.0
105,325.0
575,350.0
315,325.0
91,165.0
175,350.0
231,650.0
196,650.0
400,287.5
125,500.0
125,119.0
81,325.0
90,46.0
83,102.0
200,275.0
94,119.0
575,312.5
62,69.0
201,150.0
625,450.0
50,91.0
725,275.0
231,500.0
96,350.0
175,200.0
140,65.0
375,295.0
158,287.5
475,500.0
223,94.0
425,275.0
145,90.0
53,187.5
100,225.0
138,350.0
175,325.0
300,287.5
119,350.0
675,312.5
325,450.0
152,69.0
204,200.0
175,275.0
125,165.0
500,500.0
248,350.0
375,350.0
84,312.5
142,46.0
45,75.0
119,325.0
119,80.0
180,500.0
116,550.0
550,350.0
95,500.0
150,58.0
74,111.0
225,425.0
125,500.0
298,650.0
91,113.0
288,312.5
575,175.0
225,300.0
113,200.0
775,675.0
600,325.0
175,275.0
281,200.0
194,425.0
138,312.5
53,250.0
208,650.0
625,500.0
650,325.0
225,450.0
203,500.0
925,350.0
147,350.0
450,275.0
101,58.0
158,56.0
224,182.0
54,65.0
375,500.0
350,200.0
525,500.0
49,312.5
186,165.0
60,80.0
123,94.0
45,65.0
105,75.0
60,250.0
173,144.0
160,119.0
111,500.0
152,200.0
156,550.0
375,312.5
75,58.0
74,312.5
200,275.0
58,113.0
1025,572.5
128,500.0
91,87.5
825,675.0
233,425.0
111,61.0
150,312.5
182,145.0
400,300.0
224,200.0
125,225.0
198,113.0
725,275.0
675,300.0
117,144.0
140,144.0
232,113.0
233,675.0
300,425.0
700,325.0
113,91.0
194,650.0
44,325.0
800,119.0
109,58.0
182,65.0
225,275.0
83,65.0
160,650.0
270,83.0
263,675.0
375,450.0
350,325.0
250,325.0
165,165.0
147,325.0
61,312.5
65,111.0
200,175.0
149,144.0
143,65.0
575,450.0
68,325.0
400,450.0
104,572.5
775,425.0
131,143.0
128,119.0
99,250.0
53,56.0
150,58.0
175,275.0
140,200.0
98,94.0
225,287.5
152,350.0
56,56.0
176,75.0
101,111.0
525,287.5
500,675.0
51,325.0
189,500.0
40,187.5
325,450.0
74,38.0
145,65.0
250,150.0
350,350.0
50,91.0
169,113.0
475,312.5
75,325.0
900,650.0
875,425.0
94,312.5
63,200.0
400,425.0
181,500.0
248,312.5
261,650.0
149,200.0
575,425.0
215,350.0
182,650.0
850,119.0
225,117.0
49,200.0
176,295.0
111,65.0
69,65.0
520,165.0
149,500.0
450,312.5
525,165.0
38,250.0
650,500.0
99,312.5
525,312.5
101,54.5
149,150.0
175,200.0
400,325.0
206,500.0
51,275.0
950,165.0
125,103.0
155,325.0
775,287.5
169,75.0
875,500.0
200,103.0
62,56.0
275,72.0
275,175.0
149,189.0
500,425.0
86,350.0
178,129.0
300,325.0
116,56.0
350,295.0
173,117.0
210,225.0
33,58.0
350,325.0
293,102.0
575,675.0
58,56.0
325,287.5
275,275.0
192,58.0
175,325.0
105,150.0
131,75.0
600,295.0
1075,650.0
94,500.0
150,275.0
300,450.0
255,650.0
75,119.0
250,300.0
825,425.0
124,450.0
25,60.0
275,113.0
725,325.0
34,46.0
675,650.0
65,250.0
250,113.0
175,275.0
223,102.0
85,312.5
420,165.0
225,350.0
248,350.0
625,550.0
195,312.5
425,200.0
158,102.0
111,83.0
179,200.0
34,103.0
1000,300.0
131,145.0
122,550.0
168,425.0
95,350.0
232,102.0
450,500.0
675,143.0
675,550.0
600,572.5
210,119.0
145,98.0
136,189.0
263,500.0
475,325.0
203,349.0
350,187.5
152,325.0
175,275.0
825,300.0
163,500.0
0,58.0
233,550.0
225,287.5
550,500.0
26,225.0
196,650.0
125,200.0
34,58.0
41,46.0
275,450.0
102,425.0
59,69.0
47,275.0
325,500.0
175,450.0
181,102.0
106,225.0
200,287.5
194,312.5
225,200.0
80,94.0
56,350.0
240,65.0
181,119.0
725,300.0
625,295.0
160,450.0
225,225.0
38,275.0
130,325.0
225,325.0
625,295.0
65,65.0
975,350.0
247,129.0
500,312.5
60,56.0
147,312.5
142,295.0
470,550.0
275,450.0
20,103.0
112,300.0
109,150.0
325,450.0
200,312.5
425,119.0
231,350.0
27,80.0
51,287.5
50,275.0
44,275.0
278,250.0
200,103.0
68,60.0
105,144.0
225,425.0
81,312.5
500,500.0
131,83.0
173,500.0
72,56.0
256,500.0
400,325.0
65,312.5
700,250.0
81,87.5
275,350.0
109,325.0
69,312.5
400,500.0
74,60.0
210,80.0
150,175.0
209,572.5
91,325.0
800,300.0
275,250.0
225,275.0
600,350.0
150,275.0
240,165.0
175,325.0
113,60.0
675,349.0
101,75.0
375,450.0
425,325.0
145,175.0
350,312.5
116,312.5
136,250.0
225,300.0
187,500.0
264,77.0
54,119.0
109,500.0
90,312.5
150,325.0
975,350.0
134,189.0
58,150.0
98,103.0
272,312.5
206,182.0
47,65.0
250,98.0
167,165.0
105,75.0
74,46.0
128,113.0
225,312.5
190,75.0
65,65.0
625,350.0
116,87.5
825,572.5
189,650.0
575,350.0
202,500.0
90,287.5
272,165.0
160,200.0
100,150.0
450,500.0
350,175.0
250,287.5
250,350.0
77,250.0
194,150.0
145,572.5
100,225.0
475,500.0
374,65.0
111,113.0
325,500.0
215,119.0
83,102.0
425,450.0
123,325.0
140,312.5
70,312.5
200,325.0
73,500.0
259,425.0
94,56.0
83,75.0
200,325.0
475,250.0
52,275.0
150,200.0
275,500.0
42,150.0
250,325.0
167,143.0
600,500.0
233,150.0
425,425.0
138,425.0
800,500.0
225,113.0
72,312.5
124,312.5
156,111.0
500,165.0
184,349.0
137,500.0
300,350.0
245,295.0
250,312.5
238,144.0
94,500.0
300,312.5
600,225.0
153,349.0
273,111.0
69,119.0
74,38.0
120,119.0
300,312.5
175,144.0
325,287.5
308,650.0
218,102.0
173,349.0
1075,572.5
27,58.0
650,113.0
195,425.0
775,450.0
145,450.0
350,65.0
77,200.0
150,325.0
49,312.5
775,113.0
60,58.0
194,349.0
133,500.0
20,58.0
475,650.0
200,325.0
126,144.0
175,425.0
525,500.0
224,425.0
225,225.0
175,103.0
85,75.0
104,425.0
525,175.0
475,500.0
725,500.0
200,225.0
256,143.0
165,500.0
210,113.0
138,312.5
625,113.0
174,295.0
300,572.5
375,295.0
98,572.5
120,58.0
246,144.0
525,165.0
131,75.0
525,650.0
75,287.5
175,275.0
600,425.0
171,572.5
117,312.5
300,450.0
101,75.0
475,650.0
1000,650.0
53,275.0
400,200.0
400,450.0
575,287.5
231,350.0
250,325.0
375,450.0
256,425.0
123,500.0
124,550.0
