y_real,y_pred_local
52,129.0
275,63.0
206,194.66666666666666
155,173.0
182,133.66666666666666
182,625.0
375,435.7142857142857
65,128.0
175,209.0
725,209.0
250,129.0
50,60.0
650,163.0
231,142.33333333333334
475,435.7142857142857
138,184.0
105,150.0
925,450.0
311,625.0
350,462.5
125,285.7142857142857
252,456.25
120,60.0
25,63.0
98,131.0
300,625.0
100,435.7142857142857
500,250.0
250,112.0
300,124.0
203,173.0
575,140.0
80,173.0
275,400.0
275,250.0
75,133.66666666666666
70,400.0
221,173.0
202,78.0
325,63.0
317,209.0
1045,209.0
112,112.0
495,625.0
168,204.0
123,60.0
119,142.33333333333334
61,60.0
525,175.0
116,425.0
700,173.0
200,124.0
35,119.0
168,149.0
83,400.0
238,194.66666666666666
116,119.0
49,119.0
500,129.0
450,129.0
203,128.0
119,131.0
225,133.66666666666666
155,118.0
475,435.7142857142857
1220,625.0
203,163.0
44,128.0
350,625.0
245,209.0
325,350.0
575,625.0
550,435.7142857142857
175,285.7142857142857
99,200.0
54,118.0
56,119.0
163,400.0
425,350.0
75,132.0
225,184.0
325,80.0
525,435.7142857142857
375,435.7142857142857
204,114.0
350,625.0
29,179.0
56,184.0
525,456.25
70,163.0
675,133.66666666666666
650,400.0
123,173.0
263,124.0
279,94.0
135,114.0
236,163.0
250,500.0
56,184.0
625,173.0
145,163.0
500,450.0
98,131.0
263,209.0
150,209.0
500,119.0
150,435.7142857142857
600,200.0
84,157.0
100,114.0
350,128.0
275,60.0
300,63.0
111,131.0
325,124.0
200,175.0
600,209.0
51,94.0
52,119.0
91,132.0
216,435.7142857142857
189,435.7142857142857
224,200.0
165,173.0
240,204.0
124,131.0
231,200.0
545,625.0
325,456.25
120,200.0
115,56.0
225,400.0
725,209.0
90,150.0
162,163.0
163,179.0
350,500.0
450,456.25
225,137.0
200,462.5
131,114.0
125,137.0
111,131.0
825,450.0
87,133.66666666666666
203,194.66666666666666
105,129.0
169,163.0
181,625.0
91,173.0
38,142.33333333333334
850,456.25
60,129.0
26,128.0
575,462.5
289,209.0
400,173.0
104,124.0
72,173.0
123,119.0
925,200.0
70,131.0
108,173.0
203,163.0
218,625.0
105,435.7142857142857
750,456.25
900,128.0
75,400.0
202,143.0
120,140.0
61,173.0
47,131.0
175,435.7142857142857
248,625.0
87,140.0
90,112.0
85,200.0
119,112.0
106,200.0
