y_real,y_pred_local
52,35.0
275,133.33333333333334
206,135.0
155,135.0
182,25.0
182,76.0
375,76.0
65,25.0
175,128.0
725,135.0
250,35.0
50,51.0
650,135.0
231,60.0
475,25.0
138,60.0
105,60.0
925,283.3333333333333
311,76.0
350,25.0
125,30.0
252,58.0
120,51.0
25,133.33333333333334
98,25.0
300,76.0
100,76.0
500,133.33333333333334
250,135.0
300,76.0
203,135.0
575,30.0
80,83.0
275,133.33333333333334
275,133.33333333333334
75,25.0
70,30.0
221,83.0
202,135.0
325,133.33333333333334
317,76.0
1045,128.0
112,135.0
495,76.0
168,135.0
123,51.0
119,60.0
61,51.0
525,258.3333333333333
116,25.0
700,83.0
200,25.0
35,38.0
168,135.0
83,30.0
238,135.0
116,38.0
49,51.0
500,35.0
450,35.0
203,135.0
119,135.0
225,135.0
155,51.0
475,283.3333333333333
1220,76.0
203,135.0
44,25.0
350,283.3333333333333
245,135.0
325,283.3333333333333
575,375.0
550,100.0
175,30.0
99,63.0
54,51.0
56,51.0
163,30.0
425,283.3333333333333
75,51.0
225,60.0
325,135.0
525,30.0
375,30.0
204,135.0
350,283.3333333333333
29,30.0
56,60.0
525,200.0
70,72.0
675,25.0
650,30.0
123,83.0
263,76.0
279,51.0
135,135.0
236,135.0
250,200.0
56,60.0
625,83.0
145,135.0
500,283.3333333333333
98,25.0
263,113.0
150,113.0
500,51.0
150,76.0
600,58.0
84,25.0
100,133.33333333333334
350,25.0
275,51.0
300,133.33333333333334
111,135.0
325,283.3333333333333
200,133.33333333333334
600,128.0
51,51.0
52,51.0
91,51.0
216,58.0
189,76.0
224,58.0
165,83.0
240,135.0
124,35.0
231,63.0
545,375.0
325,200.0
120,58.0
115,51.0
225,175.0
725,128.0
90,60.0
162,135.0
163,76.0
350,200.0
450,200.0
225,258.3333333333333
200,100.0
131,135.0
125,258.3333333333333
111,25.0
825,25.0
87,25.0
203,135.0
105,35.0
169,135.0
181,58.0
91,83.0
38,36.0
850,58.0
60,35.0
26,25.0
575,25.0
289,135.0
400,83.0
104,76.0
72,83.0
123,76.0
925,63.0
70,35.0
108,83.0
203,135.0
218,76.0
105,76.0
750,58.0
900,25.0
75,30.0
202,83.0
120,30.0
61,83.0
47,35.0
175,30.0
248,58.0
87,30.0
90,25.0
85,58.0
119,76.0
106,63.0
150,76.0
225,83.0
56,30.0
68,60.0
149,135.0
173,76.0
600,200.0
125,175.0
900,58.0
100,133.33333333333334
750,58.0
125,51.0
116,35.0
550,375.0
225,60.0
150,133.33333333333334
150,25.0
375,30.0
250,175.0
113,35.0
475,35.0
275,135.0
208,128.0
198,128.0
133,76.0
145,51.0
725,25.0
203,58.0
112,58.0
59,135.0
239,135.0
525,462.5
94,83.0
50,35.0
575,375.0
182,81.0
425,60.0
825,58.0
325,25.0
75,133.33333333333334
105,25.0
300,200.0
475,133.33333333333334
125,30.0
775,200.0
600,25.0
109,72.0
232,135.0
500,133.33333333333334
225,133.33333333333334
525,462.5
450,200.0
140,36.0
825,128.0
140,76.0
143,135.0
250,35.0
65,135.0
500,100.0
400,200.0
196,30.0
96,135.0
145,83.0
138,35.0
925,76.0
128,83.0
175,133.33333333333334
525,25.0
124,63.0
111,58.0
248,135.0
38,51.0
39,35.0
36,30.0
105,76.0
150,133.33333333333334
300,51.0
221,83.0
126,25.0
38,60.0
250,283.3333333333333
900,25.0
98,113.0
39,51.0
675,83.0
111,135.0
450,25.0
225,30.0
420,135.0
325,100.0
87,25.0
500,76.0
109,51.0
150,58.0
207,135.0
69,135.0
149,58.0
117,30.0
400,30.0
30,30.0
149,135.0
150,76.0
150,83.0
250,133.33333333333334
204,60.0
75,135.0
175,25.0
193,135.0
147,128.0
225,100.0
175,25.0
91,76.0
100,35.0
125,35.0
150,25.0
425,83.0
725,58.0
375,258.3333333333333
500,76.0
325,100.0
210,60.0
315,83.0
120,25.0
240,51.0
81,81.0
136,83.0
650,58.0
225,128.0
75,35.0
58,60.0
333,135.0
475,283.3333333333333
120,30.0
30,60.0
68,25.0
160,51.0
155,60.0
550,133.33333333333334
58,36.0
575,83.0
113,35.0
114,35.0
725,175.0
30,35.0
625,283.3333333333333
116,58.0
200,133.33333333333334
775,30.0
203,135.0
119,135.0
475,76.0
250,25.0
221,76.0
91,51.0
700,128.0
123,30.0
88,83.0
126,83.0
95,135.0
550,76.0
91,83.0
425,60.0
575,135.0
104,60.0
63,35.0
475,30.0
36,35.0
700,135.0
450,283.3333333333333
700,25.0
79,135.0
675,25.0
147,35.0
144,58.0
116,76.0
550,100.0
350,283.3333333333333
300,58.0
223,135.0
93,83.0
320,100.0
173,76.0
670,462.5
475,135.0
192,83.0
275,283.3333333333333
189,76.0
175,283.3333333333333
163,135.0
158,135.0
51,35.0
216,135.0
425,175.0
275,200.0
130,25.0
1125,375.0
174,35.0
210,135.0
325,100.0
325,100.0
44,35.0
825,76.0
120,128.0
63,58.0
575,51.0
132,135.0
375,25.0
154,51.0
350,100.0
90,25.0
278,25.0
179,135.0
175,133.33333333333334
300,100.0
96,60.0
45,51.0
68,72.0
210,30.0
77,38.0
400,51.0
62,51.0
170,135.0
450,25.0
120,81.0
84,58.0
425,76.0
133,44.0
250,100.0
725,25.0
375,283.3333333333333
208,135.0
300,200.0
450,175.0
219,76.0
147,135.0
213,83.0
95,76.0
53,51.0
174,76.0
400,25.0
175,51.0
319,76.0
135,83.0
243,25.0
138,76.0
132,30.0
109,35.0
184,135.0
400,100.0
98,35.0
125,133.33333333333334
96,35.0
150,133.33333333333334
248,76.0
98,76.0
135,58.0
400,135.0
36,25.0
196,35.0
78,135.0
145,72.0
175,133.33333333333334
200,175.0
90,35.0
650,51.0
163,128.0
450,128.0
825,76.0
78,35.0
400,283.3333333333333
400,135.0
182,25.0
150,258.3333333333333
475,76.0
252,60.0
240,35.0
125,135.0
450,35.0
600,462.5
124,135.0
79,83.0
85,60.0
1020,135.0
176,76.0
75,35.0
300,100.0
107,135.0
200,258.3333333333333
200,30.0
300,258.3333333333333
350,25.0
91,128.0
925,83.0
350,200.0
98,76.0
68,35.0
700,25.0
150,25.0
625,76.0
850,76.0
91,25.0
650,100.0
550,283.3333333333333
375,25.0
66,135.0
65,35.0
287,135.0
94,35.0
142,30.0
54,30.0
41,113.0
120,76.0
111,35.0
275,258.3333333333333
140,58.0
264,76.0
425,25.0
525,135.0
78,60.0
112,135.0
42,30.0
228,51.0
137,25.0
102,63.0
91,58.0
425,135.0
69,58.0
325,25.0
87,35.0
400,76.0
38,51.0
58,60.0
169,58.0
293,113.0
700,135.0
203,83.0
271,63.0
85,51.0
158,113.0
325,258.3333333333333
91,60.0
