y_real,y_pred_local
52,171.0
275,135.0
206,206.0
155,173.0
182,280.0
182,625.0
375,750.0
65,425.0
175,425.0
725,750.0
250,525.0
50,85.0
650,486.3333333333333
231,278.0
475,550.0
138,105.0
105,278.0
925,182.0
311,775.0
350,925.0
125,425.0
252,662.5
120,147.5
25,94.5
98,625.0
300,875.0
100,750.0
500,180.0
250,525.0
300,700.0
203,173.0
575,462.5
80,173.0
275,145.0
275,180.0
75,215.0
70,500.0
221,416.5
202,203.0
325,94.5
317,625.0
1045,425.0
112,525.0
495,775.0
168,194.0
123,275.0
119,278.0
61,275.0
525,206.0
116,875.0
700,416.5
200,700.0
35,462.5
168,525.0
83,500.0
238,264.0
116,462.5
49,462.5
500,144.0
450,525.0
203,203.0
119,450.0
225,469.0
155,245.0
475,203.0
1220,775.0
203,233.0
44,425.0
350,214.0
245,750.0
325,245.0
575,182.0
550,143.0
175,425.0
99,436.5
54,245.0
56,462.5
163,500.0
425,245.0
75,149.0
225,278.0
325,450.0
525,500.0
375,500.0
204,210.0
350,214.0
29,425.0
56,278.0
525,225.0
70,436.5
675,541.6666666666666
650,500.0
123,625.0
263,750.0
279,140.0
135,210.0
236,233.0
250,144.0
56,105.0
625,416.5
145,233.0
500,182.0
98,225.0
263,193.0
150,425.0
500,350.0
150,750.0
600,787.5
84,193.0
100,145.0
350,425.0
275,147.5
300,113.0
111,152.0
325,203.0
200,131.0
600,425.0
51,140.0
52,462.5
91,147.5
216,775.0
189,750.0
224,787.5
165,256.0
240,194.0
124,113.0
231,787.5
545,233.0
325,225.0
120,787.5
115,165.0
225,189.0
725,425.0
90,278.0
162,194.0
163,225.0
350,144.0
450,225.0
225,156.0
200,268.0
131,196.0
125,188.0
111,225.0
825,625.0
87,541.6666666666666
203,264.0
105,322.0
169,194.0
181,775.0
91,525.0
38,278.0
850,662.5
60,450.0
26,425.0
575,925.0
289,240.0
400,625.0
104,700.0
72,194.0
123,750.0
925,350.0
70,116.0
108,666.6666666666666
203,486.3333333333333
218,875.0
105,750.0
750,662.5
900,425.0
75,500.0
202,264.0
120,462.5
61,256.0
47,116.0
175,500.0
248,775.0
87,462.5
90,225.0
85,787.5
119,225.0
106,436.5
150,750.0
225,416.5
56,462.5
68,105.0
149,271.5
173,750.0
600,203.0
125,254.0
900,787.5
100,145.0
750,787.5
125,350.0
116,387.5
550,182.0
225,140.0
150,123.0
150,193.0
375,500.0
250,113.0
113,113.0
475,166.0
275,469.0
208,425.0
198,425.0
133,700.0
145,245.0
725,925.0
203,787.5
112,787.5
59,271.5
239,525.0
525,175.0
94,436.5
50,450.0
575,203.0
182,193.0
425,140.0
825,662.5
325,425.0
75,94.5
105,425.0
300,225.0
475,145.0
125,425.0
775,203.0
600,425.0
109,436.5
232,750.0
500,123.0
225,152.0
525,188.0
450,144.0
140,140.0
825,425.0
140,875.0
143,450.0
250,116.0
65,280.0
500,143.0
400,225.0
196,462.5
96,210.0
145,625.0
138,166.0
925,750.0
128,233.0
175,152.0
525,425.0
124,436.5
111,225.0
248,233.0
38,165.0
39,450.0
36,462.5
105,750.0
150,145.0
300,350.0
221,173.0
126,225.0
38,278.0
250,149.0
900,425.0
98,425.0
39,147.5
675,525.0
111,787.5
450,875.0
225,500.0
420,750.0
325,95.0
87,193.0
500,775.0
109,105.0
150,787.5
207,750.0
69,196.0
149,787.5
117,462.5
400,425.0
30,500.0
149,194.0
150,750.0
150,525.0
250,145.0
204,278.0
75,271.5
175,425.0
193,152.0
147,425.0
225,268.0
175,425.0
91,875.0
100,376.0
125,387.5
150,225.0
425,416.5
725,787.5
375,206.0
500,750.0
325,95.0
210,278.0
315,416.5
120,425.0
240,140.0
81,193.0
136,173.0
650,775.0
225,425.0
75,166.0
58,105.0
333,203.0
475,182.0
120,500.0
30,278.0
68,193.0
160,165.0
155,140.0
550,145.0
58,140.0
575,525.0
113,375.0
114,196.0
725,126.0
30,450.0
625,203.0
116,787.5
200,180.0
775,500.0
203,280.0
119,152.0
475,700.0
250,875.0
221,225.0
91,132.0
700,425.0
123,462.5
88,233.0
126,194.0
95,525.0
550,775.0
91,233.0
425,140.0
575,441.6666666666667
104,278.0
63,278.0
475,500.0
36,131.5
700,469.0
450,214.0
700,700.0
79,280.0
675,625.0
147,278.0
144,787.5
116,750.0
550,143.0
350,203.0
300,775.0
223,486.3333333333333
93,436.5
320,188.0
173,225.0
670,188.0
475,469.0
192,192.0
275,203.0
189,625.0
175,104.0
163,750.0
158,550.0
51,166.0
216,194.0
425,254.0
275,225.0
130,280.0
1125,203.0
174,196.0
210,196.0
325,143.0
325,188.0
44,196.0
825,875.0
120,425.0
63,787.5
575,350.0
132,750.0
375,625.0
154,147.5
350,268.0
90,875.0
278,215.0
179,450.0
175,180.0
300,95.0
96,278.0
45,462.5
68,436.5
210,462.5
77,462.5
400,245.0
62,147.5
170,450.0
450,733.3333333333334
120,193.0
84,787.5
425,700.0
133,140.0
250,119.0
725,350.0
375,182.0
208,206.0
300,144.0
450,126.0
219,750.0
147,152.33333333333334
213,194.0
95,625.0
53,140.0
174,750.0
400,925.0
175,350.0
319,775.0
135,210.0
243,280.0
138,750.0
132,500.0
109,196.0
184,486.3333333333333
400,268.0
98,171.0
125,145.0
96,376.0
150,135.0
248,750.0
98,775.0
135,787.5
400,441.6666666666667
36,425.0
196,210.0
78,203.0
145,436.5
175,180.0
200,254.0
90,171.0
650,350.0
163,425.0
450,425.0
825,700.0
78,116.0
400,203.0
400,750.0
182,215.0
150,225.0
475,775.0
252,278.0
240,196.0
125,196.0
450,113.0
600,206.0
124,625.0
79,233.0
85,278.0
1020,416.5
176,775.0
75,375.0
300,95.0
107,450.0
200,225.0
200,500.0
300,206.0
350,733.3333333333334
91,425.0
925,436.5
350,144.0
98,700.0
68,131.5
700,925.0
150,550.0
625,775.0
850,775.0
91,425.0
650,175.0
550,104.0
375,875.0
66,280.0
65,171.0
287,750.0
94,196.0
142,462.5
54,500.0
41,425.0
120,700.0
111,322.0
275,206.0
140,662.5
264,225.0
425,541.6666666666666
525,416.5
78,278.0
112,152.0
42,462.5
228,147.5
137,280.0
102,436.5
91,787.5
425,450.0
69,775.0
325,350.0
87,166.0
400,775.0
38,140.0
58,278.0
169,787.5
293,425.0
700,441.6666666666667
203,210.0
271,436.5
85,147.5
158,425.0
325,225.0
91,105.0
112,225.0
188,225.0
233,105.0
58,625.0
289,210.0
250,173.0
119,278.0
117,875.0
65,278.0
50,94.5
425,462.5
450,425.0
525,775.0
254,500.0
125,462.5
300,436.5
87,140.0
525,416.5
150,144.0
87,875.0
116,525.0
53,450.0
119,196.0
225,80.5
247,700.0
125,925.0
275,152.0
84,280.0
175,376.0
350,203.0
725,750.0
68,165.0
210,140.0
117,750.0
800,350.0
68,416.5
106,750.0
475,787.5
900,775.0
48,462.5
725,500.0
120,625.0
161,225.0
425,425.0
161,152.0
68,278.0
250,147.5
91,88.0
375,203.0
225,88.0
98,436.5
725,188.0
58,245.0
116,233.0
208,436.5
26,113.0
100,126.0
124,144.0
41,144.0
625,469.0
70,116.0
900,775.0
575,425.0
65,147.5
625,750.0
525,787.5
83,144.0
170,280.0
113,215.0
248,416.5
95,225.0
375,875.0
825,541.6666666666666
218,225.0
36,462.5
525,175.0
95,787.5
825,775.0
182,188.0
123,233.0
675,787.5
145,525.0
68,210.0
88,165.0
145,462.5
200,126.0
120,105.0
158,625.0
175,462.5
300,425.0
250,135.0
225,436.5
600,775.0
1075,700.0
56,245.0
200,225.0
275,147.5
122,875.0
200,662.5
56,462.5
128,525.0
950,425.0
450,462.5
122,225.0
325,203.0
700,203.0
31,500.0
54,500.0
425,462.5
90,787.5
126,233.0
700,486.3333333333333
173,140.0
275,436.5
36,462.5
147,550.0
75,147.5
142,525.0
217,425.0
775,625.0
800,188.0
145,136.0
175,152.0
550,775.0
189,700.0
91,278.0
575,225.0
300,733.3333333333334
520,175.0
500,425.0
116,225.0
215,225.0
196,775.0
44,787.5
175,194.0
135,194.0
150,180.0
275,158.0
65,105.0
300,119.0
350,425.0
38,787.5
47,278.0
150,525.0
525,750.0
98,700.0
143,700.0
1000,662.5
112,425.0
105,469.0
575,925.0
315,416.5
91,240.0
175,925.0
231,775.0
196,775.0
400,180.0
125,194.0
125,350.0
81,500.0
90,88.0
83,280.0
200,462.5
94,787.5
575,436.5
62,462.5
201,194.0
625,875.0
50,500.0
725,666.6666666666666
231,750.0
96,225.0
175,117.0
140,322.0
375,700.0
158,105.0
475,625.0
223,105.0
425,666.6666666666666
145,140.0
53,147.5
100,173.0
138,193.0
175,500.0
300,203.0
119,625.0
675,441.6666666666667
325,875.0
152,462.5
204,165.5
175,123.0
125,240.0
500,131.0
248,425.0
375,733.3333333333334
84,436.5
142,525.0
45,105.0
119,500.0
119,140.0
180,550.0
116,425.0
550,625.0
95,750.0
150,94.5
74,787.5
225,775.0
125,550.0
298,775.0
91,425.0
288,436.5
575,525.0
225,152.0
113,166.0
775,625.0
600,500.0
175,123.0
281,165.5
194,662.5
138,210.0
53,171.0
208,775.0
625,700.0
650,145.0
225,225.0
203,750.0
925,925.0
147,733.3333333333334
450,425.0
101,450.0
158,140.0
224,193.0
54,196.0
375,750.0
350,387.5
525,750.0
49,436.5
186,240.0
60,140.0
123,525.0
45,450.0
105,105.0
60,278.0
173,206.0
160,787.5
111,194.0
152,196.0
156,425.0
375,436.5
75,196.0
74,210.0
200,145.0
58,193.0
1025,750.0
128,194.0
91,144.0
825,233.0
