y_real,y_pred_local
52,181.0
275,550.0
206,156.0
155,675.0
182,169.0
182,925.0
375,725.0
65,169.0
175,950.0
725,562.5
250,181.0
50,150.0
650,448.0
231,167.0
475,725.0
138,182.0
105,182.0
925,825.0
311,244.0
350,725.0
125,650.0
252,202.0
120,196.0
25,562.5
98,725.0
300,700.0
100,725.0
500,575.0
250,575.0
300,231.0
203,675.0
575,600.0
80,140.0
275,675.0
275,575.0
75,238.0
70,675.0
221,196.0
202,150.0
325,366.3333333333333
317,250.0
1045,950.0
112,575.0
495,294.0
168,195.0
123,366.3333333333333
119,167.0
61,366.3333333333333
525,675.0
116,419.0
700,675.0
200,231.0
35,150.0
168,203.0
83,675.0
238,158.0
116,150.0
49,150.0
500,448.0
450,181.0
203,150.0
119,203.0
225,700.0
155,562.5
475,850.0
1220,294.0
203,263.0
44,169.0
350,700.0
245,245.0
325,675.0
575,294.0
550,725.0
175,650.0
99,182.0
54,562.5
56,150.0
163,163.0
425,675.0
75,158.0
225,182.0
325,662.5
525,675.0
375,675.0
204,189.0
350,700.0
29,650.0
56,182.0
525,202.0
70,182.0
675,675.0
650,675.0
123,366.3333333333333
263,231.0
279,140.0
135,189.0
236,276.0
250,725.0
56,182.0
625,675.0
145,276.0
500,825.0
98,419.0
263,250.0
150,250.0
500,558.3333333333334
150,725.0
600,725.0
84,203.0
100,791.6666666666666
350,675.0
275,675.0
300,448.0
111,448.0
325,231.0
200,558.3333333333334
600,950.0
51,140.0
52,150.0
91,675.0
216,163.0
189,210.0
224,181.0
165,587.5
240,195.0
124,366.3333333333333
231,238.0
545,925.0
325,202.0
120,725.0
115,156.0
225,675.0
725,950.0
90,182.0
162,140.0
163,925.0
350,725.0
450,202.0
225,366.3333333333333
200,725.0
131,189.0
125,675.0
111,419.0
825,650.0
87,675.0
203,158.0
105,625.0
169,140.0
181,791.6666666666666
91,150.0
38,167.0
850,202.0
60,175.0
26,650.0
575,725.0
289,181.0
400,366.3333333333333
104,231.0
72,195.0
123,231.0
925,675.0
70,181.0
108,448.0
203,448.0
218,700.0
105,210.0
750,202.0
900,675.0
75,163.0
202,158.0
120,176.0
61,587.5
47,181.0
175,625.0
248,675.0
87,176.0
90,419.0
85,181.0
119,700.0
106,182.0
150,725.0
225,675.0
56,600.0
68,182.0
149,675.0
173,231.0
600,675.0
125,610.0
900,725.0
100,650.0
750,725.0
125,558.3333333333334
116,550.0
550,294.0
225,575.0
150,600.0
150,203.0
375,625.0
250,448.0
113,140.0
475,366.3333333333333
275,700.0
208,181.0
198,176.0
133,263.0
145,562.5
725,725.0
203,181.0
112,176.0
59,150.0
239,203.0
525,950.0
94,182.0
50,562.5
575,1037.5
182,250.0
425,575.0
825,202.0
325,650.0
75,562.5
105,169.0
300,202.0
475,625.0
125,650.0
775,625.0
600,675.0
109,182.0
232,562.5
500,600.0
225,675.0
525,675.0
450,725.0
140,150.0
825,950.0
140,231.0
143,203.0
250,181.0
65,238.0
500,231.0
400,202.0
196,176.0
96,189.0
145,366.3333333333333
138,140.0
925,850.0
128,155.0
175,675.0
525,675.0
124,182.0
111,212.0
248,263.0
38,156.0
39,175.0
36,150.0
105,231.0
150,791.6666666666666
300,558.3333333333334
221,675.0
126,725.0
38,169.0
250,448.0
900,650.0
98,203.0
39,675.0
675,587.5
111,881.6666666666666
450,419.0
225,675.0
420,562.5
325,419.0
87,203.0
500,294.0
109,140.0
150,725.0
207,245.0
69,189.0
149,181.0
117,176.0
400,650.0
30,212.0
149,140.0
150,850.0
150,150.0
250,650.0
204,169.0
75,675.0
175,650.0
193,366.3333333333333
147,950.0
225,675.0
175,650.0
91,231.0
100,575.0
125,550.0
150,725.0
425,675.0
725,725.0
375,675.0
500,850.0
325,419.0
210,182.0
315,675.0
120,169.0
240,180.0
81,203.0
136,675.0
650,791.6666666666666
225,675.0
75,140.0
58,182.0
333,150.0
475,825.0
120,675.0
30,610.0
68,203.0
160,156.0
155,575.0
550,791.6666666666666
58,150.0
575,587.5
113,181.0
114,160.0
725,575.0
30,142.0
625,725.0
116,176.0
200,575.0
775,675.0
203,176.0
119,140.0
475,825.0
250,419.0
221,925.0
91,156.0
700,675.0
123,600.0
88,155.0
126,195.0
95,203.0
550,294.0
91,156.0
425,575.0
575,675.0
104,169.0
63,575.0
475,675.0
36,150.0
700,700.0
450,700.0
700,725.0
79,176.0
675,650.0
147,575.0
144,725.0
116,725.0
550,850.0
350,700.0
300,791.6666666666666
223,448.0
93,562.5
320,650.0
173,700.0
670,675.0
475,700.0
192,366.3333333333333
275,700.0
189,250.0
175,675.0
163,246.0
158,181.0
51,140.0
216,195.0
425,610.0
275,202.0
130,169.0
1125,1037.5
174,150.0
210,189.0
325,231.0
325,650.0
44,150.0
825,700.0
120,181.0
63,181.0
575,558.3333333333334
132,562.5
375,650.0
154,675.0
350,725.0
90,419.0
278,238.0
179,203.0
175,575.0
300,650.0
96,167.0
45,150.0
68,182.0
210,600.0
77,150.0
400,562.5
62,196.0
170,203.0
450,675.0
120,203.0
84,725.0
425,825.0
133,150.0
250,650.0
725,650.0
375,825.0
208,156.0
300,725.0
450,625.0
219,210.0
147,366.3333333333333
213,196.0
95,925.0
53,140.0
174,725.0
400,725.0
175,558.3333333333334
319,925.0
135,181.0
243,238.0
138,231.0
132,182.0
109,150.0
184,448.0
400,725.0
98,181.0
125,791.6666666666666
96,575.0
150,550.0
248,725.0
98,308.0
135,176.0
400,675.0
36,169.0
196,160.0
78,150.0
145,182.0
175,575.0
200,610.0
90,181.0
650,558.3333333333334
163,675.0
450,950.0
825,825.0
78,181.0
400,850.0
400,562.5
182,238.0
150,562.5
475,975.0
252,167.0
240,150.0
125,189.0
450,366.3333333333333
600,881.6666666666666
124,366.3333333333333
79,155.0
85,182.0
1020,675.0
176,294.0
75,448.0
300,650.0
107,662.5
200,562.5
200,675.0
300,675.0
350,675.0
91,176.0
925,562.5
350,725.0
98,263.0
68,366.3333333333333
700,725.0
150,231.0
625,975.0
850,725.0
91,203.0
650,850.0
550,675.0
375,419.0
66,176.0
65,181.0
287,562.5
94,160.0
142,176.0
54,212.0
41,203.0
120,308.0
111,625.0
275,675.0
140,176.0
264,700.0
425,675.0
525,675.0
78,182.0
112,140.0
42,176.0
228,675.0
137,169.0
102,182.0
91,181.0
425,662.5
69,182.0
325,650.0
87,140.0
400,294.0
38,140.0
58,182.0
169,181.0
293,250.0
700,675.0
203,181.0
271,182.0
85,675.0
158,250.0
325,562.5
91,182.0
112,700.0
188,700.0
233,182.0
58,366.3333333333333
289,562.5
250,181.0
119,182.0
117,419.0
65,167.0
50,562.5
425,600.0
450,675.0
525,1037.5
254,163.0
125,600.0
300,562.5
87,150.0
525,675.0
150,448.0
87,231.0
116,203.0
53,175.0
119,160.0
225,675.0
247,181.0
125,725.0
275,366.3333333333333
84,176.0
175,575.0
350,231.0
725,850.0
68,156.0
210,150.0
117,210.0
800,675.0
68,675.0
106,215.0
475,881.6666666666666
900,791.6666666666666
48,176.0
725,675.0
120,925.0
161,212.0
425,650.0
161,140.0
68,169.0
250,675.0
91,155.0
375,231.0
225,562.5
98,182.0
725,675.0
58,140.0
116,155.0
208,182.0
26,140.0
100,625.0
124,181.0
41,181.0
625,700.0
70,181.0
900,791.6666666666666
575,675.0
65,675.0
625,725.0
525,725.0
83,181.0
170,169.0
113,169.0
248,196.0
95,419.0
375,700.0
825,675.0
218,925.0
36,150.0
525,950.0
95,181.0
825,294.0
182,181.0
123,276.0
675,725.0
145,181.0
68,662.5
88,181.0
145,150.0
200,625.0
120,182.0
158,250.0
175,600.0
300,650.0
250,550.0
225,182.0
600,625.0
1075,231.0
56,140.0
200,562.5
275,675.0
122,231.0
200,202.0
56,150.0
128,203.0
950,675.0
450,600.0
122,925.0
325,575.0
700,675.0
31,182.0
54,791.6666666666666
425,600.0
90,181.0
126,156.0
700,448.0
173,140.0
275,562.5
36,176.0
147,263.0
75,675.0
142,203.0
217,675.0
775,925.0
800,675.0
145,175.0
