y_real,y_pred_local
52,525.0
275,152.0
206,525.0
155,525.0
182,525.0
182,525.0
375,525.0
65,525.0
175,525.0
725,525.0
250,525.0
50,725.0
650,525.0
231,525.0
475,525.0
138,525.0
105,525.0
925,152.0
311,525.0
350,525.0
125,725.0
252,725.0
120,725.0
25,158.0
98,525.0
300,525.0
100,525.0
500,152.0
250,525.0
300,525.0
203,525.0
575,725.0
80,725.0
275,196.0
275,152.0
75,525.0
70,725.0
221,725.0
202,525.0
325,158.0
317,525.0
1045,525.0
112,525.0
495,525.0
168,525.0
123,725.0
119,525.0
61,725.0
525,196.0
116,525.0
700,725.0
200,525.0
35,725.0
168,525.0
83,725.0
238,525.0
116,725.0
49,725.0
500,525.0
450,525.0
203,525.0
119,525.0
225,525.0
155,725.0
475,152.0
1220,525.0
203,525.0
44,525.0
350,152.0
245,525.0
325,152.0
575,152.0
550,152.0
175,725.0
99,725.0
54,725.0
56,725.0
163,725.0
425,152.0
75,725.0
225,525.0
325,525.0
525,725.0
375,725.0
204,525.0
350,152.0
29,725.0
56,525.0
525,196.0
70,725.0
675,525.0
650,725.0
123,725.0
263,525.0
279,725.0
135,525.0
236,525.0
250,196.0
56,525.0
625,725.0
145,525.0
500,152.0
98,525.0
263,525.0
150,525.0
500,725.0
150,525.0
600,725.0
84,525.0
100,196.0
350,525.0
275,725.0
300,158.0
111,525.0
325,152.0
200,196.0
600,525.0
51,725.0
52,725.0
91,725.0
216,725.0
189,525.0
224,725.0
165,725.0
240,525.0
124,525.0
231,725.0
545,152.0
325,196.0
120,725.0
115,725.0
225,152.0
725,525.0
90,525.0
162,525.0
163,525.0
350,196.0
450,196.0
225,196.0
200,152.0
131,525.0
125,196.0
111,525.0
825,525.0
87,525.0
203,525.0
105,525.0
169,525.0
181,725.0
91,725.0
38,525.0
850,725.0
60,525.0
26,525.0
575,525.0
289,525.0
400,725.0
104,525.0
72,725.0
123,525.0
925,725.0
70,525.0
108,725.0
203,525.0
218,525.0
105,525.0
750,725.0
900,525.0
75,725.0
202,725.0
120,725.0
61,725.0
47,525.0
175,725.0
248,725.0
87,725.0
90,525.0
85,725.0
119,525.0
106,725.0
150,525.0
225,725.0
56,725.0
68,525.0
149,525.0
173,525.0
600,196.0
125,152.0
900,725.0
100,196.0
750,725.0
125,725.0
116,525.0
550,152.0
225,525.0
150,196.0
150,525.0
375,725.0
250,158.0
113,525.0
475,525.0
275,525.0
208,525.0
198,525.0
133,525.0
145,725.0
725,525.0
203,725.0
112,725.0
59,525.0
239,525.0
525,152.0
94,725.0
50,525.0
575,152.0
182,525.0
425,525.0
825,725.0
325,525.0
75,158.0
105,525.0
300,196.0
475,196.0
125,725.0
775,196.0
600,525.0
109,725.0
232,525.0
500,196.0
225,152.0
525,152.0
450,196.0
140,525.0
825,525.0
140,525.0
143,525.0
250,525.0
65,525.0
500,152.0
400,196.0
196,725.0
96,525.0
145,725.0
138,525.0
925,525.0
128,725.0
175,152.0
525,525.0
124,725.0
111,725.0
248,525.0
38,725.0
39,525.0
36,725.0
105,525.0
150,196.0
300,725.0
221,725.0
126,525.0
38,525.0
250,158.0
900,525.0
98,525.0
39,725.0
675,725.0
111,525.0
450,525.0
225,725.0
420,525.0
325,152.0
87,525.0
500,525.0
109,725.0
150,725.0
207,525.0
69,525.0
149,725.0
117,725.0
400,725.0
30,725.0
149,525.0
150,525.0
150,725.0
250,196.0
204,525.0
75,525.0
175,525.0
193,525.0
147,525.0
225,152.0
175,525.0
91,525.0
100,525.0
125,525.0
150,525.0
425,725.0
725,725.0
375,196.0
500,525.0
325,152.0
210,525.0
315,725.0
120,525.0
240,725.0
81,525.0
136,725.0
650,725.0
225,525.0
75,525.0
58,525.0
333,525.0
475,152.0
120,725.0
30,525.0
68,525.0
160,725.0
155,525.0
550,196.0
58,525.0
575,725.0
113,525.0
114,525.0
725,152.0
30,525.0
625,152.0
116,725.0
200,152.0
775,725.0
203,525.0
119,525.0
475,525.0
250,525.0
221,525.0
91,725.0
700,525.0
123,725.0
88,725.0
126,725.0
95,525.0
550,525.0
91,725.0
425,525.0
575,525.0
104,525.0
63,525.0
475,725.0
36,525.0
700,525.0
450,152.0
700,525.0
79,525.0
675,525.0
147,525.0
144,725.0
116,525.0
550,152.0
350,152.0
300,725.0
223,525.0
93,725.0
320,152.0
173,525.0
670,152.0
475,525.0
192,725.0
275,152.0
189,525.0
175,152.0
163,525.0
158,525.0
51,525.0
216,525.0
425,152.0
275,196.0
130,525.0
1125,152.0
174,525.0
210,525.0
325,152.0
325,152.0
44,525.0
825,525.0
120,525.0
63,725.0
575,725.0
132,525.0
375,525.0
154,725.0
350,152.0
90,525.0
278,525.0
179,525.0
175,152.0
300,152.0
96,525.0
45,725.0
68,725.0
210,725.0
77,725.0
400,725.0
62,725.0
170,525.0
450,525.0
120,525.0
84,725.0
425,525.0
133,525.0
250,152.0
725,525.0
375,152.0
208,525.0
300,196.0
450,158.0
219,525.0
147,525.0
213,725.0
95,525.0
53,725.0
174,525.0
400,525.0
175,725.0
319,525.0
135,725.0
243,525.0
138,525.0
132,725.0
109,525.0
184,525.0
400,152.0
98,525.0
125,196.0
96,525.0
150,152.0
248,525.0
98,525.0
135,725.0
400,525.0
36,525.0
196,525.0
78,525.0
145,725.0
175,152.0
200,152.0
90,525.0
650,725.0
163,525.0
450,525.0
825,525.0
78,525.0
400,152.0
400,525.0
182,525.0
150,196.0
475,525.0
252,525.0
240,525.0
125,525.0
450,525.0
600,152.0
124,525.0
79,725.0
85,525.0
1020,525.0
176,525.0
75,525.0
300,152.0
107,525.0
200,196.0
200,725.0
300,196.0
350,525.0
91,525.0
925,725.0
350,196.0
98,525.0
68,525.0
700,525.0
150,525.0
625,525.0
850,525.0
91,525.0
650,152.0
550,152.0
375,525.0
66,525.0
65,525.0
287,525.0
94,525.0
142,725.0
54,725.0
41,525.0
120,525.0
111,525.0
275,196.0
140,725.0
264,525.0
425,525.0
525,525.0
78,525.0
112,525.0
42,725.0
228,725.0
137,525.0
102,725.0
91,725.0
425,525.0
69,725.0
325,525.0
87,525.0
400,525.0
38,725.0
58,525.0
169,725.0
293,525.0
700,525.0
203,725.0
271,725.0
85,725.0
158,525.0
325,196.0
91,525.0
112,525.0
188,525.0
233,525.0
58,725.0
289,525.0
250,158.0
119,525.0
