y_real,y_pred_local
52,62.0
275,116.66666666666667
206,197.0
155,150.0
182,63.0
182,165.5
375,133.0
65,38.0
175,175.0
725,130.0
250,62.0
50,91.0
650,150.0
231,84.0
475,38.0
138,57.0
105,81.0
925,385.0
311,113.0
350,49.0
125,77.5
252,72.0
120,91.0
25,225.0
98,49.0
300,109.0
100,133.0
500,116.66666666666667
250,152.0
300,133.0
203,150.0
575,45.0
80,64.0
275,150.0
275,116.66666666666667
75,81.0
70,42.0
221,128.0
202,73.0
325,225.0
317,165.5
1045,175.0
112,152.0
495,113.0
168,150.0
123,91.0
119,84.0
61,91.0
525,212.5
116,38.0
700,57.0
200,49.0
35,35.0
168,124.0
83,42.0
238,150.0
116,35.0
49,35.0
500,64.0
450,62.0
203,128.0
119,85.0
225,83.0
155,59.5
475,385.0
1220,153.0
203,182.0
44,38.0
350,385.0
245,130.0
325,275.0
575,450.0
550,150.0
175,77.5
99,93.0
54,59.5
56,35.0
163,42.0
425,275.0
75,61.5
225,72.5
325,85.0
525,42.0
375,42.0
204,96.0
350,385.0
29,77.5
56,72.5
525,275.0
70,57.0
675,63.0
650,42.0
123,64.0
263,133.0
279,77.5
135,96.0
236,155.0
250,345.0
56,57.0
625,83.0
145,150.0
500,385.0
98,38.0
263,125.0
150,163.0
500,35.0
150,133.0
600,93.0
84,38.0
100,240.0
350,49.0
275,91.0
300,225.0
111,94.0
325,385.0
200,158.33333333333334
600,175.0
51,58.0
52,35.0
91,91.0
216,72.0
189,133.0
224,96.75
165,64.0
240,155.0
124,39.0
231,93.0
545,589.0
325,275.0
120,96.75
115,61.5
225,285.0
725,175.0
90,81.0
162,182.0
163,113.0
350,345.0
450,275.0
225,212.5
200,175.0
131,96.0
125,212.5
111,38.0
825,49.0
87,63.0
203,150.0
105,83.0
169,150.0
181,72.0
91,64.0
38,84.0
850,93.0
60,62.0
26,38.0
575,49.0
289,153.0
400,64.0
104,133.0
72,68.0
123,133.0
925,93.0
70,39.0
108,64.0
