y_real,y_pred_local
52,425.0
275,77.0
206,475.0
155,475.0
182,275.0
182,475.0
375,500.0
65,275.0
175,475.0
725,475.0
250,425.0
50,225.0
650,475.0
231,425.0
475,500.0
138,275.0
105,425.0
925,68.0
311,475.0
350,425.0
125,225.0
252,425.0
120,225.0
25,77.0
98,425.0
300,475.0
100,500.0
500,77.0
250,475.0
300,475.0
203,475.0
575,225.0
80,425.0
275,128.0
275,77.0
75,425.0
70,225.0
221,425.0
202,475.0
325,77.0
317,475.0
1045,475.0
112,475.0
495,475.0
168,475.0
123,225.0
119,425.0
61,225.0
525,123.0
116,275.0
700,425.0
200,425.0
35,225.0
168,475.0
83,225.0
238,475.0
116,225.0
49,225.0
500,425.0
450,425.0
203,475.0
119,475.0
225,475.0
155,225.0
475,145.0
1220,475.0
203,475.0
44,275.0
350,68.0
245,475.0
325,124.0
575,68.0
550,145.0
175,225.0
99,425.0
54,225.0
56,225.0
163,225.0
425,124.0
75,225.0
225,425.0
325,475.0
525,225.0
375,225.0
204,475.0
350,68.0
29,225.0
56,425.0
525,68.0
70,425.0
675,275.0
650,225.0
123,425.0
263,500.0
279,225.0
135,475.0
236,475.0
250,111.0
56,275.0
625,425.0
145,475.0
500,68.0
98,275.0
263,475.0
150,475.0
500,225.0
150,500.0
600,425.0
84,275.0
100,68.0
350,425.0
275,225.0
300,77.0
111,475.0
325,145.0
200,123.0
600,475.0
51,225.0
52,225.0
91,225.0
216,500.0
189,500.0
224,425.0
165,425.0
240,475.0
124,275.0
231,425.0
545,68.0
325,68.0
120,425.0
115,225.0
225,123.0
725,475.0
90,425.0
162,475.0
163,475.0
350,111.0
450,68.0
225,137.0
200,68.0
131,475.0
125,137.0
111,275.0
825,425.0
87,275.0
203,475.0
105,425.0
169,475.0
181,425.0
91,425.0
38,425.0
850,425.0
60,425.0
26,275.0
575,425.0
289,475.0
400,425.0
104,475.0
72,425.0
123,500.0
925,425.0
70,275.0
108,425.0
203,475.0
218,475.0
105,500.0
750,425.0
900,425.0
75,225.0
202,425.0
120,225.0
61,425.0
47,275.0
175,425.0
248,500.0
87,225.0
90,275.0
85,425.0
119,475.0
106,425.0
150,525.0
225,425.0
56,225.0
68,275.0
149,475.0
173,500.0
600,128.0
125,123.0
900,425.0
100,68.0
750,425.0
125,225.0
116,275.0
550,68.0
225,275.0
150,111.0
150,275.0
375,425.0
250,123.0
113,275.0
475,425.0
275,475.0
208,475.0
198,475.0
133,475.0
145,225.0
725,425.0
203,425.0
112,425.0
59,475.0
239,475.0
525,111.0
94,425.0
50,275.0
575,145.0
182,475.0
425,275.0
825,425.0
325,275.0
75,77.0
105,425.0
300,68.0
475,128.0
125,225.0
775,128.0
600,425.0
109,425.0
232,475.0
500,111.0
225,77.0
525,137.0
450,111.0
140,275.0
825,475.0
140,475.0
143,475.0
250,275.0
65,475.0
500,145.0
400,68.0
196,225.0
96,475.0
145,425.0
138,425.0
925,500.0
128,425.0
175,77.0
525,425.0
124,425.0
111,425.0
248,475.0
38,225.0
39,425.0
36,225.0
105,500.0
150,68.0
300,225.0
221,425.0
126,425.0
38,425.0
250,137.0
900,275.0
98,475.0
39,225.0
675,425.0
111,475.0
450,275.0
225,225.0
420,475.0
325,68.0
87,275.0
500,475.0
109,225.0
150,425.0
207,475.0
