y_real,y_pred_local
52,102.0
275,475.0
206,256.0
155,256.0
182,153.0
182,256.0
375,178.0
65,153.0
175,256.0
725,256.0
250,102.0
50,123.0
650,206.0
231,143.0
475,153.0
138,143.0
105,158.0
925,462.5
311,256.0
350,158.0
125,157.0
252,201.0
120,123.0
25,395.0
98,158.0
300,178.0
100,178.0
500,475.0
250,168.0
300,178.0
203,256.0
575,157.0
80,135.0
275,124.0
275,475.0
75,158.0
70,132.0
221,135.0
202,162.0
325,450.0
317,256.0
1045,256.0
112,168.0
495,256.0
168,206.0
123,123.0
119,143.0
61,123.0
525,155.0
116,153.0
700,135.0
200,158.0
35,157.0
168,168.0
83,132.0
238,256.0
116,157.0
49,157.0
500,119.0
450,102.0
203,162.0
119,162.0
225,168.0
155,157.0
475,775.0
1220,256.0
203,206.0
44,153.0
350,117.0
245,256.0
325,117.0
575,575.0
550,550.0
175,157.0
99,201.0
54,157.0
56,157.0
163,132.0
425,117.0
75,157.0
225,143.0
325,162.0
525,132.0
375,132.0
204,162.0
350,117.0
29,157.0
56,143.0
525,155.0
70,201.0
675,153.0
650,132.0
123,135.0
263,178.0
279,157.0
135,162.0
236,206.0
250,155.0
56,143.0
625,135.0
145,206.0
500,462.5
98,153.0
263,256.0
150,256.0
500,157.0
150,178.0
600,201.0
84,153.0
100,575.0
350,158.0
275,123.0
300,300.0
111,158.0
325,124.0
200,155.0
600,256.0
51,157.0
52,157.0
91,157.0
216,201.0
189,178.0
224,201.0
165,135.0
240,206.0
124,119.0
231,201.0
545,155.0
325,155.0
120,201.0
115,157.0
225,117.0
725,256.0
90,158.0
162,206.0
163,256.0
350,155.0
450,155.0
225,310.3333333333333
200,117.0
131,162.0
125,350.0
111,153.0
825,158.0
87,153.0
203,256.0
105,119.0
169,206.0
181,201.0
91,135.0
38,143.0
850,201.0
60,119.0
26,153.0
575,158.0
289,256.0
400,135.0
104,178.0
72,135.0
123,178.0
925,201.0
70,102.0
108,135.0
203,206.0
218,178.0
105,178.0
750,201.0
900,158.0
75,132.0
202,201.0
120,157.0
61,135.0
47,102.0
175,132.0
248,201.0
87,157.0
90,153.0
85,201.0
119,178.0
106,201.0
150,178.0
225,135.0
56,157.0
68,143.0
149,162.0
173,178.0
600,124.0
125,475.0
900,201.0
100,155.0
750,201.0
125,157.0
116,143.0
550,575.0
225,143.0
150,155.0
150,153.0
375,132.0
250,425.0
113,119.0
475,119.0
275,168.0
208,256.0
198,168.0
133,178.0
145,157.0
725,158.0
203,201.0
112,201.0
59,162.0
239,168.0
525,155.0
94,201.0
50,119.0
575,124.0
182,256.0
