y_real,y_pred_local
52,149.5
275,550.0
206,187.0
155,201.5
182,160.0
182,160.0
375,150.0
65,160.0
175,160.0
725,160.0
250,149.5
50,117.0
650,117.0
231,176.0
475,165.0
138,160.0
105,154.0
925,550.0
311,160.0
350,165.0
125,157.0
252,122.0
120,140.0
25,400.0
98,154.0
300,190.0
100,160.0
500,550.0
250,190.0
300,190.0
203,201.5
575,157.0
80,117.0
275,475.0
275,550.0
75,154.0
70,133.0
221,187.0
202,201.5
325,400.0
317,160.0
1045,160.0
112,190.0
495,160.0
168,117.0
123,256.0
119,176.0
61,256.0
525,450.0
116,160.0
700,154.0
200,165.0
35,122.0
168,190.0
83,133.0
238,201.5
116,157.0
49,122.0
500,176.0
450,149.5
203,190.0
119,138.0
225,190.0
155,140.0
475,550.0
1220,187.0
203,153.0
44,160.0
350,550.0
245,160.0
325,550.0
575,775.0
550,575.0
175,157.0
99,187.0
54,140.0
56,157.0
163,133.0
425,550.0
75,154.0
225,154.0
325,138.0
525,157.0
375,133.0
204,190.0
350,550.0
29,122.0
56,154.0
525,450.0
70,122.0
675,160.0
650,157.0
123,256.0
263,160.0
279,140.0
135,138.0
236,187.0
250,450.0
56,160.0
625,187.0
145,117.0
500,550.0
98,160.0
263,160.0
150,160.0
500,157.0
150,150.0
600,187.0
84,160.0
100,450.0
350,154.0
275,154.0
300,400.0
111,193.0
325,550.0
200,450.0
600,160.0
51,122.0
52,122.0
91,140.0
216,133.0
189,160.0
224,122.0
165,187.0
240,187.0
124,136.0
231,187.0
545,775.0
325,450.0
120,122.0
115,154.0
225,550.0
725,160.0
90,154.0
162,233.0
163,160.0
350,450.0
450,450.0
225,500.0
200,550.0
131,201.5
125,500.0
111,160.0
825,154.0
87,160.0
203,201.5
105,176.0
169,117.0
181,133.0
91,117.0
38,176.0
850,187.0
60,149.5
26,160.0
575,154.0
289,187.0
400,117.0
104,160.0
72,117.0
123,160.0
925,187.0
70,136.0
108,117.0
203,233.0
218,160.0
105,160.0
750,187.0
900,176.0
75,133.0
202,187.0
120,122.0
61,187.0
47,136.0
175,157.0
248,187.0
87,122.0
90,160.0
85,187.0
119,160.0
106,122.0
150,150.0
225,187.0
56,122.0
68,160.0
149,201.5
173,160.0
600,475.0
125,550.0
900,187.0
100,450.0
750,122.0
125,122.0
116,176.0
550,775.0
225,160.0
150,450.0
150,160.0
375,157.0
250,525.0
113,116.0
475,149.5
275,190.0
208,160.0
198,190.0
133,160.0
145,140.0
725,154.0
203,122.0
112,122.0
59,201.5
239,190.0
525,775.0
94,187.0
50,176.0
575,775.0
182,160.0
425,160.0
825,187.0
325,160.0
75,400.0
105,154.0
300,450.0
475,475.0
125,157.0
775,475.0
600,154.0
109,122.0
232,187.0
500,450.0
225,550.0
525,775.0
450,450.0
140,201.5
825,187.0
140,190.0
143,138.0
250,116.0
65,160.0
