y_real,y_pred_local
52,68.0
275,275.0
206,500.0
155,500.0
182,112.5
182,400.0
375,275.0
65,200.0
175,104.0
725,63.0
250,68.0
50,33.0
650,33.0
231,63.0
475,275.0
138,63.0
105,57.0
925,250.0
311,75.0
350,70.0
125,400.0
252,400.0
120,51.0
25,125.0
98,140.0
300,70.0
100,275.0
500,63.0
250,63.0
300,275.0
203,500.0
575,300.0
80,33.0
275,275.0
275,63.0
75,134.0
70,275.0
221,51.0
202,275.0
325,33.0
317,104.0
1045,104.0
112,63.0
495,500.0
168,128.0
123,33.0
119,63.0
61,33.0
525,162.5
116,70.0
700,225.0
200,275.0
35,175.0
168,44.0
83,275.0
238,500.0
116,175.0
49,175.0
500,68.0
450,68.0
203,63.0
119,33.0
225,112.5
155,63.0
475,275.0
1220,500.0
203,33.0
44,200.0
350,70.0
245,63.0
325,200.0
575,500.0
550,275.0
175,400.0
99,49.0
54,63.0
56,175.0
163,75.0
425,200.0
75,225.0
225,63.0
325,125.0
525,275.0
375,275.0
204,72.0
350,70.0
29,50.0
56,63.0
525,400.0
70,63.0
675,112.5
650,275.0
123,33.0
263,275.0
279,49.0
135,72.0
236,33.0
250,300.0
56,63.0
625,225.0
145,33.0
500,250.0
98,140.0
263,104.0
150,104.0
500,175.0
150,275.0
600,300.0
84,200.0
100,175.0
350,250.0
275,225.0
300,33.0
111,33.0
325,275.0
200,175.0
600,104.0
51,63.0
52,175.0
91,225.0
216,275.0
189,275.0
224,300.0
165,74.0
240,128.0
124,33.0
231,162.5
545,400.0
325,400.0
120,300.0
115,225.0
225,134.0
725,104.0
90,57.0
162,33.0
163,140.0
350,300.0
450,400.0
225,33.0
200,70.0
131,72.0
125,225.0
111,140.0
825,250.0
87,112.5
203,500.0
105,191.33333333333334
169,33.0
181,175.0
91,33.0
38,275.0
850,400.0
60,191.33333333333334
26,200.0
575,70.0
289,162.5
400,33.0
104,275.0
72,74.0
123,275.0
925,162.5
70,33.0
108,33.0
203,33.0
218,70.0
105,275.0
750,400.0
900,250.0
75,75.0
202,225.0
120,300.0
61,74.0
47,33.0
175,275.0
248,275.0
87,300.0
90,140.0
85,162.5
119,140.0
106,49.0
150,275.0
225,225.0
56,300.0
68,63.0
149,275.0
173,275.0
600,275.0
125,63.0
900,300.0
100,400.0
750,300.0
125,175.0
116,275.0
550,500.0
225,63.0
150,300.0
150,70.0
375,275.0
250,68.0
113,33.0
475,191.33333333333334
275,112.5
208,104.0
198,200.0
133,75.0
145,63.0
725,70.0
203,300.0
112,300.0
59,275.0
239,44.0
525,104.0
94,63.0
50,125.0
575,275.0
182,104.0
425,63.0
825,400.0
325,200.0
75,125.0
105,250.0
300,400.0
475,275.0
125,400.0
775,275.0
600,250.0
109,49.0
232,63.0
500,300.0
225,112.5
525,500.0
450,300.0
140,275.0
825,104.0
140,70.0
143,33.0
250,33.0
65,112.5
500,275.0
400,400.0
196,300.0
96,72.0
145,33.0
138,68.0
925,275.0
128,33.0
175,112.5
525,250.0
124,49.0
111,45.0
248,33.0
38,225.0
39,191.33333333333334
36,300.0
105,275.0
150,175.0
300,175.0
221,225.0
126,140.0
38,275.0
250,33.0
900,200.0
98,200.0
39,225.0
675,74.0
111,162.5
450,70.0
225,275.0
420,63.0
325,70.0
87,70.0
500,500.0
109,33.0
150,300.0
207,63.0
69,72.0
149,162.5
117,300.0
400,400.0
30,45.0
149,33.0
150,275.0
150,33.0
250,400.0
204,275.0
75,275.0
175,200.0
193,33.0
147,104.0
225,250.0
175,200.0
91,70.0
100,275.0
125,275.0
150,140.0
425,225.0
725,300.0
375,162.5
500,275.0
325,70.0
210,63.0
315,225.0
120,200.0
240,49.0
81,70.0
136,225.0
650,175.0
225,200.0
75,68.0
58,63.0
333,63.0
475,250.0
120,275.0
30,63.0
68,70.0
160,225.0
155,63.0
550,175.0
58,275.0
575,74.0
113,33.0
114,72.0
725,275.0
30,33.0
625,275.0
116,300.0
200,63.0
775,275.0
203,200.0
119,33.0
475,250.0
250,70.0
221,140.0
91,63.0
700,200.0
123,300.0
88,33.0
126,74.0
95,63.0
550,500.0
91,63.0
425,63.0
575,275.0
104,275.0
63,275.0
475,275.0
36,33.0
700,112.5
450,70.0
700,275.0
79,200.0
675,250.0
147,275.0
144,300.0
116,275.0
550,275.0
350,112.5
300,175.0
223,33.0
93,63.0
320,250.0
173,140.0
670,500.0
475,112.5
192,33.0
275,112.5
189,104.0
175,275.0
163,63.0
158,33.0
51,68.0
216,128.0
425,63.0
275,400.0
130,112.5
1125,275.0
174,191.33333333333334
210,72.0
325,275.0
325,250.0
44,191.33333333333334
825,70.0
120,104.0
63,162.5
575,175.0
132,63.0
375,250.0
154,225.0
350,70.0
90,70.0
278,134.0
179,33.0
175,63.0
300,250.0
96,63.0
45,175.0
68,49.0
210,300.0
77,175.0
400,63.0
62,51.0
170,33.0
450,134.0
120,70.0
84,300.0
425,250.0
133,275.0
250,200.0
725,250.0
375,250.0
208,63.0
300,300.0
450,191.33333333333334
219,275.0
147,33.0
213,74.0
95,400.0
53,49.0
174,275.0
400,70.0
175,175.0
319,140.0
135,33.0
243,112.5
138,275.0
132,45.0
109,191.33333333333334
184,33.0
400,70.0
98,68.0
125,175.0
96,275.0
150,275.0
248,275.0
98,65.0
135,300.0
400,275.0
36,200.0
196,72.0
78,275.0
145,63.0
175,63.0
200,63.0
90,68.0
650,175.0
163,200.0
450,104.0
825,250.0
78,33.0
400,275.0
400,63.0
182,134.0
150,63.0
475,275.0
252,63.0
240,191.33333333333334
