y_real,y_pred_local
52,425.0
275,83.0
206,500.0
155,500.0
182,275.0
182,500.0
375,350.0
65,275.0
175,500.0
725,500.0
250,425.0
50,250.0
650,500.0
231,425.0
475,350.0
138,275.0
105,425.0
925,104.0
311,550.0
350,425.0
125,250.0
252,500.0
120,250.0
25,83.0
98,300.0
300,275.0
100,350.0
500,83.0
250,275.0
300,362.5
203,500.0
575,250.0
80,500.0
275,70.0
275,83.0
75,425.0
70,525.0
221,500.0
202,275.0
325,83.0
317,500.0
1045,500.0
112,275.0
495,600.0
168,500.0
123,250.0
119,425.0
61,250.0
525,158.0
116,275.0
700,500.0
200,375.0
35,250.0
168,275.0
83,525.0
238,500.0
116,250.0
49,250.0
500,425.0
450,425.0
203,275.0
119,275.0
225,275.0
155,250.0
475,88.0
1220,600.0
203,500.0
44,275.0
350,105.0
245,500.0
325,83.0
575,149.0
550,140.0
175,250.0
99,500.0
54,250.0
56,250.0
163,250.0
425,83.0
75,250.0
225,425.0
325,275.0
525,525.0
375,525.0
204,275.0
350,105.0
29,250.0
56,425.0
525,168.0
70,500.0
675,275.0
650,250.0
123,500.0
263,362.5
279,250.0
135,275.0
236,500.0
250,158.0
56,275.0
625,500.0
145,500.0
500,104.0
98,375.0
263,500.0
150,500.0
500,250.0
150,500.0
600,500.0
84,275.0
100,70.0
350,425.0
275,250.0
300,83.0
111,275.0
325,75.0
200,70.0
600,500.0
51,250.0
52,250.0
91,250.0
216,550.0
189,300.0
224,500.0
165,500.0
240,500.0
124,275.0
231,500.0
545,168.0
325,168.0
120,500.0
115,250.0
225,123.0
725,500.0
90,425.0
162,500.0
163,600.0
350,158.0
450,168.0
225,158.0
200,87.0
131,275.0
125,158.0
111,375.0
825,300.0
87,275.0
203,500.0
105,425.0
169,500.0
181,600.0
91,500.0
38,425.0
850,500.0
60,425.0
26,275.0
575,425.0
289,500.0
400,500.0
104,362.5
72,500.0
123,300.0
925,500.0
70,275.0
108,500.0
203,500.0
218,275.0
105,300.0
750,500.0
900,425.0
75,250.0
202,500.0
120,250.0
61,500.0
47,275.0
175,350.0
248,475.0
87,250.0
90,275.0
85,500.0
119,275.0
106,500.0
150,500.0
225,500.0
56,250.0
68,275.0
149,275.0
173,362.5
600,138.0
125,123.0
900,500.0
100,70.0
750,500.0
125,250.0
116,275.0
550,149.0
225,275.0
150,70.0
150,275.0
375,375.0
250,123.0
113,275.0
475,425.0
275,275.0
208,500.0
198,275.0
133,362.5
145,250.0
725,425.0
203,500.0
112,500.0
59,275.0
239,275.0
525,158.0
94,500.0
50,275.0
575,149.0
182,500.0
425,275.0
825,500.0
325,275.0
75,83.0
105,425.0
300,168.0
475,113.0
125,250.0
775,182.0
600,425.0
109,500.0
232,500.0
500,70.0
225,83.0
525,158.0
450,158.0
140,275.0
825,500.0
140,275.0
143,275.0
250,275.0
65,275.0
500,85.0
400,168.0
196,250.0
96,275.0
145,500.0
138,425.0
925,300.0
128,500.0
175,83.0
525,425.0
124,500.0
111,600.0
248,500.0
38,250.0
39,425.0
36,250.0
105,300.0
150,70.0
300,250.0
221,500.0
126,425.0
38,425.0
250,83.0
900,275.0
98,275.0
39,250.0
675,500.0
111,500.0
450,275.0
225,250.0
420,500.0
325,105.0
87,275.0
500,600.0
109,250.0
150,500.0
207,500.0
69,275.0
149,500.0
117,250.0
400,250.0
30,250.0
149,500.0
150,300.0
150,500.0
250,70.0
204,425.0
75,275.0
175,275.0
193,275.0
147,500.0
225,123.0
175,275.0
91,275.0
100,425.0
125,275.0
150,300.0
425,500.0
725,500.0
375,158.0
500,300.0
325,105.0
210,425.0
315,500.0
120,275.0
240,250.0
81,275.0
136,500.0
650,600.0
225,275.0
75,425.0
58,275.0
333,275.0
475,104.0
120,250.0
30,425.0
68,275.0
160,250.0
155,275.0
550,70.0
58,275.0
575,500.0
113,275.0
114,275.0
725,123.0
30,275.0
625,140.0
116,500.0
200,83.0
775,525.0
203,275.0
119,275.0
475,375.0
250,275.0
221,600.0
91,250.0
700,275.0
123,250.0
88,500.0
126,500.0
95,275.0
550,600.0
91,500.0
425,275.0
575,275.0
104,425.0
63,425.0
475,525.0
36,275.0
700,275.0
450,105.0
700,500.0
79,275.0
675,300.0
147,425.0
144,500.0
116,350.0
550,88.0
350,83.0
300,600.0
223,500.0
93,500.0
320,87.0
173,275.0
670,158.0
475,275.0
192,500.0
275,83.0
189,500.0
175,83.0
163,500.0
158,275.0
51,425.0
216,500.0
425,123.0
275,168.0
130,275.0
1125,149.0
174,425.0
210,275.0
325,85.0
325,87.0
44,425.0
825,275.0
120,500.0
63,500.0
575,250.0
132,500.0
375,300.0
154,250.0
350,87.0
90,275.0
278,425.0
179,275.0
175,83.0
300,104.0
96,425.0
45,250.0
68,500.0
210,250.0
77,250.0
400,250.0
62,250.0
170,275.0
450,425.0
120,275.0
84,500.0
425,375.0
133,275.0
250,83.0
725,375.0
375,104.0
208,500.0
300,158.0
450,123.0
219,300.0
147,275.0
213,500.0
95,500.0
53,250.0
174,350.0
400,425.0
175,250.0
319,600.0
135,500.0
243,275.0
138,362.5
132,250.0
109,425.0
184,500.0
400,87.0
98,425.0
125,70.0
96,425.0
150,83.0
248,350.0
98,600.0
135,500.0
400,275.0
36,275.0
196,275.0
78,275.0
145,500.0
175,83.0
200,123.0
90,425.0
650,250.0
163,275.0
450,500.0
825,375.0
78,275.0
400,88.0
400,500.0
182,425.0
150,158.0
475,550.0
252,425.0
240,425.0
125,275.0
450,275.0
600,158.0
124,500.0
79,500.0
85,425.0
1020,500.0
176,600.0
75,275.0
300,104.0
107,275.0
200,158.0
200,250.0
300,158.0
350,425.0
91,275.0
925,500.0
350,158.0
98,362.5
68,275.0
700,425.0
150,362.5
625,550.0
850,700.0
91,275.0
650,105.0
550,83.0
375,275.0
66,275.0
65,425.0
287,500.0
94,275.0
142,250.0
54,250.0
41,275.0
120,375.0
111,425.0
275,158.0
140,500.0
264,275.0
425,275.0
525,500.0
78,425.0
112,275.0
42,250.0
228,250.0
137,275.0
102,500.0
91,500.0
425,275.0
69,600.0
325,375.0
87,425.0
400,600.0
38,250.0
58,425.0
169,500.0
293,500.0
700,275.0
203,500.0
271,500.0
85,250.0
158,500.0
325,158.0
91,275.0
112,275.0
188,275.0
233,275.0
58,500.0
289,275.0
250,83.0
119,425.0
