y_real,y_pred_local
52,240.0
275,210.0
206,350.0
155,302.0
182,289.0
182,875.0
375,837.5
65,650.0
175,875.0
725,941.6666666666666
250,240.0
50,221.0
650,315.0
231,255.0
475,650.0
138,306.0
105,1000.0
925,235.5
311,875.0
350,831.25
125,625.0
252,903.5714285714286
120,179.0
25,210.0
98,831.25
300,837.5
100,837.5
500,189.0
250,875.0
300,837.5
203,302.0
575,625.0
80,248.0
275,175.0
275,189.0
75,831.25
70,625.0
221,333.0
202,350.0
325,210.0
317,875.0
1045,875.0
112,875.0
495,875.0
168,333.0
123,221.0
119,255.0
61,221.0
525,285.0
116,650.0
700,775.0
200,831.25
35,625.0
168,289.0
83,625.0
238,302.0
116,625.0
49,625.0
500,240.0
450,240.0
203,270.0
119,272.0
225,289.0
155,625.0
475,235.5
1220,875.0
203,305.0
44,650.0
350,235.5
245,941.6666666666666
325,213.0
575,235.5
550,203.0
175,625.0
99,903.5714285714286
54,625.0
56,625.0
163,625.0
425,213.0
75,206.0
225,1000.0
325,295.0
525,625.0
375,625.0
204,295.0
350,235.5
29,625.0
56,1000.0
525,235.5
70,925.0
675,289.0
650,625.0
123,248.0
263,837.5
279,625.0
135,295.0
236,295.0
250,213.0
56,306.0
625,775.0
145,295.0
500,235.5
98,650.0
263,875.0
150,875.0
500,625.0
150,837.5
600,903.5714285714286
84,650.0
100,175.0
350,831.25
275,197.33333333333334
300,210.0
111,272.0
325,235.5
200,175.0
600,875.0
51,625.0
52,625.0
91,206.0
216,903.5714285714286
189,837.5
224,903.5714285714286
165,306.0
240,333.0
124,263.0
231,903.5714285714286
545,235.5
325,235.5
120,903.5714285714286
115,206.0
225,234.0
725,875.0
90,1000.0
162,315.0
163,875.0
350,213.0
450,235.5
225,268.0
200,188.0
131,295.0
125,259.0
111,650.0
825,831.25
87,289.0
203,302.0
105,374.0
169,315.0
181,903.5714285714286
91,248.0
38,298.0
850,903.5714285714286
60,374.0
26,650.0
575,831.25
289,875.0
400,248.0
104,837.5
72,270.0
123,837.5
925,903.5714285714286
70,263.0
108,248.0
203,315.0
218,837.5
105,837.5
750,903.5714285714286
900,831.25
75,625.0
202,302.0
120,625.0
61,306.0
47,263.0
175,625.0
248,903.5714285714286
87,625.0
90,650.0
85,903.5714285714286
119,837.5
106,903.5714285714286
150,837.5
225,775.0
56,625.0
68,306.0
149,302.0
173,837.5
600,235.5
125,297.0
900,903.5714285714286
100,175.0
750,903.5714285714286
125,625.0
116,775.0
550,235.5
225,700.0
150,175.0
150,650.0
375,625.0
250,225.0
113,263.0
475,240.0
275,289.0
208,875.0
198,958.3333333333334
133,837.5
145,625.0
725,831.25
203,903.5714285714286
112,903.5714285714286
59,302.0
239,289.0
525,213.0
94,925.0
50,215.0
575,235.5
182,875.0
425,700.0
825,903.5714285714286
325,650.0
75,210.0
105,831.25
300,235.5
475,175.0
125,625.0
775,235.5
600,831.25
109,903.5714285714286
232,941.6666666666666
500,175.0
225,168.0
525,253.0
450,213.0
140,200.0
825,875.0
140,837.5
143,272.0
250,263.0
65,289.0
500,203.0
400,235.5
196,625.0
96,295.0
145,248.0
138,240.0
925,837.5
128,248.0
175,168.0
525,831.25
124,903.5714285714286
111,903.5714285714286
248,305.0
38,206.0
39,374.0
36,625.0
105,837.5
150,175.0
300,625.0
221,302.0
126,831.25
38,315.0
250,276.0
900,650.0
98,958.3333333333334
39,206.0
675,287.0
111,875.0
450,650.0
225,625.0
420,941.6666666666666
325,203.0
87,650.0
500,875.0
109,221.0
150,903.5714285714286
207,941.6666666666666
69,295.0
149,903.5714285714286
117,625.0
400,625.0
30,625.0
149,315.0
150,837.5
150,248.0
250,175.0
204,315.0
75,302.0
175,650.0
193,272.0
147,875.0
225,188.0
175,650.0
91,837.5
100,775.0
125,775.0
150,831.25
425,775.0
725,903.5714285714286
375,285.0
500,837.5
325,203.0
210,1000.0
315,775.0
120,650.0
240,625.0
81,837.5
136,302.0
650,903.5714285714286
225,958.3333333333334
75,240.0
58,298.0
333,270.0
475,235.5
120,625.0
30,1000.0
68,650.0
160,206.0
155,700.0
550,175.0
58,200.0
575,287.0
113,263.0
114,245.0
725,225.0
30,224.0
625,235.5
116,903.5714285714286
200,189.0
775,625.0
203,958.3333333333334
119,272.0
475,837.5
250,650.0
221,875.0
91,206.0
700,958.3333333333334
123,625.0
88,248.0
126,270.0
95,306.0
550,875.0
91,270.0
425,700.0
575,775.0
104,315.0
63,315.0
475,625.0
36,263.0
700,289.0
450,235.5
700,831.25
79,958.3333333333334
675,831.25
147,315.0
144,903.5714285714286
116,837.5
550,203.0
350,225.0
300,903.5714285714286
223,315.0
93,925.0
320,188.0
173,837.5
670,253.0
475,289.0
192,248.0
275,225.0
189,875.0
175,276.0
163,941.6666666666666
158,272.0
51,240.0
216,333.0
425,297.0
275,235.5
130,289.0
1125,235.5
174,281.0
210,295.0
325,203.0
325,188.0
44,281.0
825,837.5
120,875.0
63,903.5714285714286
575,625.0
132,941.6666666666666
375,831.25
154,206.0
350,188.0
90,650.0
278,831.25
179,272.0
175,189.0
300,203.0
96,255.0
45,625.0
68,903.5714285714286
210,625.0
77,625.0
400,625.0
62,179.0
170,272.0
450,1000.0
120,837.5
84,903.5714285714286
425,837.5
133,200.0
250,203.0
725,650.0
375,235.5
208,270.0
300,213.0
450,225.0
219,837.5
147,272.0
213,314.0
95,875.0
53,625.0
174,837.5
400,831.25
175,625.0
319,875.0
135,248.0
243,289.0
138,837.5
132,625.0
109,281.0
184,315.0
400,188.0
98,240.0
125,175.0
96,775.0
150,210.0
248,837.5
98,875.0
135,903.5714285714286
400,775.0
36,650.0
196,245.0
78,350.0
145,925.0
175,189.0
200,297.0
90,240.0
650,625.0
163,958.3333333333334
450,875.0
825,837.5
78,263.0
400,235.5
400,941.6666666666666
182,831.25
150,236.0
475,875.0
252,255.0
240,281.0
125,295.0
450,263.0
600,247.5
124,315.0
79,248.0
85,1000.0
1020,775.0
176,875.0
75,263.0
300,203.0
107,295.0
200,236.0
200,625.0
300,285.0
350,1000.0
91,958.3333333333334
925,925.0
350,213.0
98,837.5
68,263.0
700,831.25
150,650.0
625,875.0
850,875.0
91,650.0
650,188.0
550,276.0
375,650.0
66,289.0
65,240.0
287,941.6666666666666
94,245.0
142,625.0
54,625.0
41,958.3333333333334
120,837.5
111,374.0
275,285.0
140,903.5714285714286
264,837.5
425,289.0
525,775.0
78,1000.0
112,272.0
42,625.0
228,197.33333333333334
137,289.0
102,903.5714285714286
91,903.5714285714286
425,295.0
69,903.5714285714286
325,650.0
87,240.0
400,875.0
38,625.0
58,1000.0
169,903.5714285714286
293,875.0
700,775.0
203,248.0
271,903.5714285714286
85,206.0
158,875.0
325,236.0
91,306.0
112,837.5
188,837.5
233,289.0
58,248.0
289,245.0
250,276.0
119,1000.0
117,650.0
65,255.0
50,210.0
425,625.0
450,831.25
525,875.0
254,625.0
125,625.0
300,925.0
87,200.0
525,775.0
150,240.0
87,650.0
116,306.0
53,374.0
119,245.0
225,178.0
247,315.0
125,831.25
275,272.0
84,289.0
175,775.0
350,235.5
725,837.5
68,206.0
210,200.0
117,837.5
800,903.5714285714286
68,775.0
106,875.0
475,875.0
900,903.5714285714286
48,625.0
725,625.0
120,875.0
161,903.5714285714286
425,650.0
161,272.0
68,315.0
250,197.33333333333334
91,221.0
375,235.5
225,178.0
98,925.0
725,253.0
58,625.0
116,248.0
208,903.5714285714286
26,263.0
100,225.0
124,240.0
41,240.0
625,289.0
70,263.0
900,903.5714285714286
575,958.3333333333334
65,206.0
625,837.5
525,903.5714285714286
83,240.0
170,289.0
113,831.25
248,270.0
95,650.0
375,837.5
825,289.0
218,875.0
36,625.0
525,213.0
95,903.5714285714286
825,875.0
182,315.0
123,295.0
675,903.5714285714286
145,240.0
68,295.0
88,263.0
145,625.0
200,225.0
120,233.0
158,875.0
175,625.0
300,625.0
250,210.0
225,925.0
600,903.5714285714286
1075,837.5
56,625.0
200,236.0
275,197.33333333333334
122,650.0
200,903.5714285714286
56,625.0
128,306.0
950,831.25
450,625.0
122,875.0
325,232.0
700,235.5
31,625.0
54,625.0
425,625.0
90,903.5714285714286
126,270.0
700,315.0
173,625.0
275,925.0
36,625.0
147,650.0
75,197.33333333333334
142,298.0
217,831.25
775,875.0
800,253.0
145,264.0
175,168.0
550,903.5714285714286
189,831.25
91,1000.0
575,238.0
300,1000.0
520,213.0
500,650.0
116,831.25
215,875.0
196,875.0
44,903.5714285714286
175,264.0
135,333.0
150,189.0
275,268.0
65,306.0
300,203.0
350,958.3333333333334
38,903.5714285714286
47,1000.0
150,287.0
525,941.6666666666666
98,837.5
143,831.25
1000,903.5714285714286
112,831.25
105,289.0
575,831.25
315,775.0
91,875.0
175,831.25
231,875.0
196,875.0
400,189.0
125,333.0
125,903.5714285714286
81,625.0
90,221.0
83,289.0
200,625.0
94,903.5714285714286
575,925.0
62,625.0
201,315.0
625,837.5
50,625.0
725,248.0
231,837.5
96,831.25
175,225.0
140,281.0
375,837.5
158,306.0
475,315.0
223,298.0
425,248.0
145,200.0
53,206.0
100,210.0
138,831.25
175,625.0
300,232.0
119,831.25
675,775.0
325,650.0
152,625.0
204,214.66666666666666
175,175.0
125,875.0
500,268.0
248,831.25
375,1000.0
84,903.5714285714286
142,248.0
45,233.0
119,625.0
119,200.0
180,650.0
116,875.0
550,831.25
95,837.5
150,210.0
74,903.5714285714286
225,903.5714285714286
125,650.0
298,875.0
91,958.3333333333334
288,925.0
575,240.0
225,168.0
113,240.0
775,875.0
600,625.0
175,175.0
281,214.66666666666666
194,903.5714285714286
138,295.0
53,240.0
208,875.0
625,837.5
650,175.0
225,837.5
203,837.5
925,831.25
147,1000.0
450,625.0
101,215.0
158,625.0
224,875.0
54,281.0
375,837.5
350,775.0
525,837.5
49,903.5714285714286
186,875.0
60,200.0
123,298.0
45,374.0
105,289.0
60,315.0
173,350.0
160,903.5714285714286
111,333.0
152,245.0
156,875.0
375,925.0
75,245.0
74,295.0
200,175.0
58,837.5
1025,941.6666666666666
128,264.0
91,272.0
825,235.5
233,903.5714285714286
111,221.0
150,775.0
182,295.0
400,1000.0
224,240.0
125,625.0
198,958.3333333333334
725,625.0
675,289.0
117,350.0
140,350.0
232,958.3333333333334
233,875.0
300,213.0
700,289.0
113,302.0
194,875.0
44,625.0
800,903.5714285714286
109,245.0
182,281.0
225,625.0
83,263.0
160,875.0
270,625.0
263,875.0
375,837.5
350,175.0
250,259.0
165,875.0
147,625.0
61,903.5714285714286
65,903.5714285714286
200,240.0
149,270.0
143,374.0
575,203.0
68,625.0
400,235.5
104,941.6666666666666
775,235.5
131,270.0
128,903.5714285714286
99,775.0
53,625.0
150,215.0
175,175.0
140,240.0
98,298.0
225,700.0
152,831.25
56,625.0
176,1000.0
101,903.5714285714286
525,189.0
500,875.0
51,625.0
189,831.25
40,179.0
325,235.5
74,206.0
145,374.0
250,625.0
350,188.0
50,625.0
169,837.5
475,295.0
75,625.0
900,235.5
875,903.5714285714286
94,925.0
63,240.0
400,903.5714285714286
181,837.5
248,270.0
261,875.0
149,240.0
575,235.5
215,831.25
182,875.0
850,903.5714285714286
225,837.5
49,245.0
176,837.5
111,264.0
69,272.0
520,875.0
149,650.0
450,925.0
525,875.0
38,315.0
650,315.0
99,903.5714285714286
525,276.0
101,217.0
149,315.0
175,225.0
400,225.0
206,831.25
51,625.0
950,875.0
125,263.0
155,625.0
775,875.0
169,1000.0
875,837.5
200,263.0
62,625.0
275,248.0
275,268.0
149,875.0
500,235.5
86,831.25
178,248.0
300,225.0
116,625.0
350,203.0
173,650.0
210,625.0
33,245.0
350,775.0
293,289.0
575,875.0
58,625.0
325,232.0
275,625.0
192,224.0
175,625.0
105,625.0
131,289.0
600,650.0
1075,235.5
94,837.5
150,175.0
300,837.5
255,875.0
75,903.5714285714286
250,297.0
825,903.5714285714286
124,837.5
25,240.0
275,650.0
725,175.0
34,221.0
675,235.5
65,315.0
250,203.0
175,625.0
223,831.25
85,925.0
420,875.0
225,1000.0
248,831.25
625,875.0
195,925.0
425,775.0
158,289.0
111,625.0
179,240.0
34,263.0
1000,297.0
131,295.0
122,875.0
168,903.5714285714286
95,831.25
232,289.0
450,837.5
675,775.0
675,875.0
600,941.6666666666666
210,903.5714285714286
145,272.0
136,875.0
263,272.0
475,289.0
203,315.0
350,197.33333333333334
152,625.0
175,175.0
825,289.0
163,831.25
0,245.0
233,875.0
225,232.0
550,235.5
26,625.0
196,875.0
125,210.0
34,263.0
41,248.0
275,650.0
102,903.5714285714286
59,625.0
47,625.0
325,837.5
175,650.0
181,289.0
106,625.0
200,189.0
194,295.0
225,225.0
80,298.0
56,831.25
240,281.0
181,903.5714285714286
725,1000.0
625,837.5
160,837.5
225,263.0
38,625.0
130,625.0
225,276.0
625,235.5
65,281.0
975,831.25
247,248.0
500,925.0
60,625.0
147,925.0
142,837.5
470,213.0
275,203.0
20,263.0
112,1000.0
109,315.0
325,203.0
200,775.0
425,903.5714285714286
231,831.25
27,200.0
51,306.0
50,625.0
44,625.0
278,315.0
200,263.0
68,240.0
105,350.0
225,235.5
81,925.0
500,837.5
131,625.0
173,264.0
72,625.0
256,925.0
400,625.0
65,295.0
700,775.0
81,272.0
275,188.0
109,289.0
69,302.0
400,188.0
74,240.0
210,200.0
150,201.5
209,941.6666666666666
91,625.0
800,289.0
275,225.0
225,175.0
600,188.0
150,625.0
240,875.0
175,775.0
113,240.0
675,315.0
101,1000.0
375,235.5
425,625.0
145,306.0
350,276.0
116,295.0
136,240.0
225,297.0
187,264.0
264,270.0
54,903.5714285714286
109,264.0
90,925.0
150,175.0
975,1000.0
134,875.0
58,625.0
98,263.0
272,350.0
206,875.0
47,281.0
250,276.0
167,875.0
105,289.0
74,248.0
128,958.3333333333334
225,775.0
190,289.0
65,281.0
625,188.0
116,272.0
825,941.6666666666666
189,875.0
575,1000.0
202,837.5
90,875.0
272,875.0
160,245.0
100,625.0
450,235.5
350,268.0
250,232.0
250,831.25
77,281.0
194,315.0
145,941.6666666666666
100,210.0
475,837.5
374,374.0
111,958.3333333333334
325,837.5
215,903.5714285714286
83,958.3333333333334
425,650.0
123,289.0
140,270.0
70,295.0
200,175.0
73,837.5
259,903.5714285714286
94,625.0
83,1000.0
200,625.0
475,775.0
52,625.0
150,210.0
275,837.5
42,625.0
250,175.0
167,302.0
600,837.5
233,315.0
425,903.5714285714286
138,903.5714285714286
800,837.5
225,958.3333333333334
72,270.0
124,270.0
156,903.5714285714286
500,875.0
184,315.0
137,837.5
300,188.0
245,837.5
250,236.0
238,302.0
94,837.5
300,925.0
600,625.0
153,315.0
273,903.5714285714286
69,903.5714285714286
74,206.0
120,903.5714285714286
300,925.0
175,270.0
325,232.0
308,875.0
218,831.25
173,315.0
1075,941.6666666666666
27,263.0
650,650.0
195,903.5714285714286
775,650.0
145,837.5
350,281.0
77,245.0
150,259.0
49,925.0
775,203.0
60,245.0
194,315.0
133,837.5
20,263.0
475,235.5
200,175.0
126,350.0
175,903.5714285714286
525,235.5
224,903.5714285714286
225,625.0
175,210.0
85,289.0
104,903.5714285714286
525,287.0
475,203.0
725,837.5
200,175.0
256,302.0
165,831.25
210,837.5
138,925.0
625,650.0
174,837.5
300,941.6666666666666
375,235.5
98,941.6666666666666
120,245.0
246,350.0
525,247.5
131,1000.0
525,875.0
75,306.0
175,625.0
600,903.5714285714286
171,941.6666666666666
117,903.5714285714286
300,203.0
101,289.0
475,875.0
1000,235.5
53,625.0
400,225.0
400,650.0
575,700.0
231,831.25
250,259.0
375,837.5
256,903.5714285714286
123,837.5
124,875.0
217,831.25
1000,903.5714285714286
325,268.0
85,179.0
278,875.0
124,224.0
550,259.0
500,225.0
270,903.5714285714286
175,650.0
51,625.0
425,831.25
525,775.0
42,625.0
144,875.0
925,625.0
325,175.0
59,233.0
125,1000.0
107,289.0
61,650.0
49,240.0
475,175.0
300,235.5
350,295.0
182,315.0
88,315.0
333,333.0
500,253.0
163,298.0
87,333.0
750,903.5714285714286
650,213.0
163,831.25
143,875.0
200,625.0
150,1000.0
19,625.0
525,225.0
875,837.5
384,270.0
150,302.0
175,189.0
325,175.0
123,1000.0
750,235.5
56,903.5714285714286
700,235.5
325,295.0
400,289.0
375,831.25
325,248.0
150,210.0
650,235.5
44,831.25
180,837.5
125,837.5
520,268.0
272,295.0
203,875.0
450,875.0
218,248.0
32,215.0
238,958.3333333333334
75,775.0
78,625.0
94,625.0
600,925.0
188,837.5
27,625.0
233,350.0
625,903.5714285714286
102,831.25
500,941.6666666666666
425,175.0
525,831.25
200,175.0
179,875.0
400,775.0
126,625.0
46,240.0
204,315.0
131,302.0
65,625.0
400,235.5
375,225.0
475,650.0
196,295.0
102,625.0
111,625.0
1075,875.0
450,203.0
200,225.0
135,650.0
44,302.0
550,225.0
206,298.0
175,175.0
35,625.0
155,272.0
87,958.3333333333334
85,837.5
280,837.5
65,315.0
216,270.0
90,264.0
273,875.0
425,831.25
117,831.25
138,625.0
213,224.0
158,875.0
176,306.0
550,175.0
225,240.0
60,903.5714285714286
350,236.0
188,903.5714285714286
133,295.0
46,625.0
128,264.0
218,289.0
98,837.5
33,281.0
128,248.0
78,200.0
109,302.0
200,650.0
169,837.5
600,650.0
275,831.25
200,625.0
425,235.5
60,1000.0
140,837.5
108,958.3333333333334
75,233.0
101,248.0
250,213.0
200,287.0
105,245.0
525,235.5
184,206.0
150,625.0
210,281.0
550,903.5714285714286
154,333.0
60,903.5714285714286
850,775.0
525,297.0
425,175.0
225,178.0
111,306.0
1070,235.5
145,272.0
550,268.0
225,831.25
300,175.0
650,289.0
100,925.0
176,625.0
81,837.5
161,625.0
550,238.0
300,903.5714285714286
325,903.5714285714286
88,272.0
63,837.5
225,175.0
69,298.0
218,625.0
675,625.0
124,240.0
60,625.0
100,264.0
175,225.0
123,306.0
322,281.0
550,875.0
625,235.5
300,295.0
950,903.5714285714286
625,775.0
68,831.25
625,213.0
68,295.0
149,272.0
45,625.0
187,302.0
149,903.5714285714286
150,625.0
138,875.0
47,245.0
63,625.0
240,837.5
46,233.0
65,837.5
700,837.5
209,650.0
213,875.0
117,837.5
111,289.0
350,188.0
128,1000.0
306,315.0
104,233.0
138,903.5714285714286
625,240.0
81,625.0
200,213.0
575,238.0
475,168.0
700,1000.0
75,302.0
147,200.0
225,240.0
53,625.0
53,314.0
700,287.0
125,259.0
105,281.0
113,831.25
179,295.0
575,235.5
233,875.0
107,625.0
825,875.0
149,837.5
75,295.0
50,210.0
425,235.5
125,625.0
700,238.0
54,302.0
202,875.0
350,625.0
35,245.0
196,625.0
875,875.0
725,925.0
45,625.0
675,213.0
128,298.0
74,270.0
149,875.0
375,188.0
168,650.0
49,179.0
19,245.0
200,650.0
273,903.5714285714286
176,837.5
248,941.6666666666666
375,837.5
263,270.0
150,210.0
33,625.0
224,224.0
250,903.5714285714286
142,875.0
450,700.0
100,189.0
196,214.66666666666666
91,903.5714285714286
150,1000.0
550,875.0
176,281.0
200,175.0
450,625.0
195,315.0
200,903.5714285714286
175,175.0
675,875.0
425,289.0
94,837.5
131,625.0
175,203.0
219,295.0
675,831.25
88,302.0
194,302.0
167,315.0
56,233.0
125,831.25
850,315.0
281,1000.0
140,200.0
109,1000.0
300,837.5
175,650.0
75,289.0
225,903.5714285714286
525,210.0
56,179.0
26,245.0
450,225.0
163,837.5
158,875.0
175,175.0
200,958.3333333333334
36,625.0
143,837.5
69,264.0
400,625.0
73,206.0
175,240.0
162,831.25
26,263.0
225,263.0
525,175.0
20,625.0
117,248.0
174,270.0
305,837.5
51,298.0
319,315.0
70,625.0
144,270.0
140,221.0
400,238.0
100,248.0
149,831.25
300,235.5
200,625.0
149,263.0
400,203.0
225,276.0
245,625.0
22,263.0
150,225.0
350,259.0
350,175.0
200,650.0
180,941.6666666666666
200,700.0
195,306.0
165,625.0
125,215.0
825,235.5
600,235.5
294,1000.0
54,1000.0
100,188.0
105,302.0
850,247.5
70,240.0
275,775.0
81,1000.0
44,224.0
169,302.0
173,958.3333333333334
102,224.0
143,295.0
290,837.5
65,289.0
180,875.0
161,875.0
135,289.0
132,233.0
65,245.0
550,225.0
275,903.5714285714286
224,941.6666666666666
105,214.66666666666666
475,234.0
175,625.0
625,625.0
225,175.0
15,217.0
208,925.0
149,625.0
31,263.0
134,295.0
650,650.0
58,903.5714285714286
275,240.0
525,875.0
117,903.5714285714286
119,295.0
173,289.0
272,302.0
45,245.0
88,903.5714285714286
625,235.5
275,259.0
188,903.5714285714286
27,650.0
350,625.0
375,837.5
575,941.6666666666666
108,837.5
224,305.0
35,263.0
48,831.25
88,221.0
75,775.0
112,903.5714285714286
175,289.0
400,1000.0
575,235.5
142,650.0
104,625.0
21,245.0
135,875.0
209,270.0
125,272.0
600,625.0
147,875.0
325,175.0
156,903.5714285714286
137,650.0
475,235.5
74,221.0
850,235.5
44,217.0
275,235.5
500,175.0
190,248.0
200,189.0
87,903.5714285714286
90,263.0
700,188.0
280,270.0
450,925.0
150,625.0
137,958.3333333333334
58,837.5
475,268.0
182,903.5714285714286
40,206.0
650,831.25
95,831.25
189,831.25
192,925.0
1025,875.0
223,875.0
175,903.5714285714286
275,203.0
196,875.0
231,837.5
125,625.0
124,875.0
350,235.5
128,650.0
91,263.0
72,263.0
113,875.0
160,650.0
128,224.0
51,264.0
247,289.0
500,903.5714285714286
98,240.0
306,306.0
122,625.0
150,875.0
112,1000.0
131,302.0
128,925.0
74,240.0
140,248.0
98,240.0
500,875.0
85,958.3333333333334
182,217.0
925,903.5714285714286
425,775.0
59,315.0
128,264.0
425,253.0
54,255.0
180,625.0
400,837.5
31,245.0
60,255.0
620,253.0
54,650.0
83,837.5
625,650.0
106,200.0
94,248.0
64,240.0
116,625.0
98,217.0
250,203.0
91,650.0
195,875.0
58,263.0
95,903.5714285714286
113,233.0
425,247.5
25,210.0
100,248.0
300,175.0
475,1000.0
39,221.0
125,625.0
268,903.5714285714286
27,214.66666666666666
124,289.0
297,875.0
44,248.0
74,306.0
200,189.0
105,958.3333333333334
53,625.0
47,315.0
210,875.0
132,775.0
238,875.0
425,253.0
350,831.25
143,625.0
50,175.0
203,875.0
52,837.5
228,302.0
62,233.0
400,175.0
475,775.0
350,235.5
46,625.0
400,201.5
150,225.0
98,958.3333333333334
175,625.0
63,625.0
450,837.5
350,238.0
254,1000.0
77,263.0
425,215.0
38,625.0
27,625.0
125,298.0
63,903.5714285714286
182,233.0
45,270.0
258,831.25
625,925.0
225,175.0
74,281.0
98,206.0
126,625.0
175,289.0
122,272.0
525,259.0
45,245.0
182,831.25
73,264.0
900,925.0
91,625.0
700,837.5
184,333.0
101,248.0
150,175.0
112,837.5
145,200.0
550,625.0
230,625.0
575,875.0
275,775.0
124,240.0
175,875.0
820,213.0
68,903.5714285714286
176,315.0
225,1000.0
175,225.0
325,234.0
34,200.0
85,306.0
375,240.0
500,213.0
218,302.0
51,255.0
270,903.5714285714286
42,625.0
150,200.0
550,875.0
184,925.0
113,305.0
325,837.5
74,625.0
131,650.0
225,175.0
239,306.0
48,215.0
84,650.0
250,225.0
300,837.5
38,625.0
84,837.5
70,625.0
475,240.0
175,903.5714285714286
93,302.0
475,875.0
80,903.5714285714286
181,837.5
56,240.0
105,272.0
525,941.6666666666666
425,253.0
184,272.0
228,875.0
400,958.3333333333334
80,295.0
193,650.0
125,175.0
875,958.3333333333334
72,837.5
247,1000.0
128,315.0
61,903.5714285714286
600,837.5
126,248.0
94,958.3333333333334
105,306.0
106,903.5714285714286
250,875.0
56,200.0
225,225.0
175,276.0
73,306.0
800,875.0
450,235.5
165,315.0
113,837.5
188,903.5714285714286
175,625.0
201,245.0
54,625.0
69,625.0
111,221.0
130,875.0
475,276.0
1275,875.0
61,281.0
175,700.0
83,700.0
210,837.5
119,240.0
72,179.0
13,224.0
94,625.0
60,625.0
400,700.0
107,302.0
96,200.0
154,837.5
400,625.0
120,837.5
525,213.0
450,238.0
175,268.0
350,837.5
248,248.0
158,233.0
128,958.3333333333334
203,281.0
250,831.25
150,240.0
825,775.0
450,287.0
175,625.0
50,625.0
375,178.0
39,625.0
252,289.0
63,270.0
175,297.0
88,625.0
194,245.0
216,903.5714285714286
750,875.0
150,775.0
233,837.5
175,1000.0
775,837.5
700,837.5
208,903.5714285714286
105,903.5714285714286
125,625.0
114,831.25
625,625.0
750,903.5714285714286
142,650.0
225,168.0
63,289.0
400,215.0
54,925.0
200,203.0
1150,875.0
74,217.0
250,276.0
88,831.25
250,837.5
200,625.0
36,625.0
156,315.0
900,875.0
600,831.25
174,837.5
550,837.5
475,625.0
156,295.0
295,188.0
325,941.6666666666666
270,188.0
20,625.0
53,281.0
20,224.0
78,245.0
215,903.5714285714286
208,625.0
182,875.0
400,235.5
95,625.0
144,289.0
90,240.0
925,941.6666666666666
105,270.0
