y_real,y_pred_local
52,145.0
275,500.0
206,173.5
155,158.0
182,209.0
182,215.0
375,675.0
65,209.0
175,725.0
725,232.0
250,145.0
50,158.0
650,165.0
231,232.0
475,675.0
138,256.0
105,206.0
925,176.0
311,825.0
350,625.0
125,150.0
252,600.0
120,158.0
25,350.0
98,176.0
300,625.0
100,675.0
500,475.0
250,232.0
300,675.0
203,158.0
575,450.0
80,165.0
275,500.0
275,475.0
75,209.0
70,500.0
221,158.0
202,173.5
325,350.0
317,215.0
1045,725.0
112,232.0
495,825.0
168,158.0
123,105.0
119,232.0
61,158.0
525,525.0
116,625.0
700,158.0
200,675.0
35,150.0
168,206.0
83,500.0
238,173.5
116,150.0
49,150.0
500,109.0
450,145.0
203,232.0
119,160.0
225,206.0
155,232.0
475,675.0
1220,825.0
203,158.0
44,209.0
350,625.0
245,192.0
325,475.0
575,825.0
550,675.0
175,150.0
99,198.0
54,232.0
56,150.0
163,500.0
425,475.0
75,173.5
225,256.0
325,160.0
525,500.0
375,500.0
204,160.0
350,625.0
29,150.0
56,256.0
525,600.0
70,192.0
675,206.0
650,500.0
123,105.0
263,675.0
279,150.0
135,160.0
236,158.0
250,168.0
56,256.0
625,158.0
145,158.0
500,176.0
98,625.0
263,725.0
150,725.0
500,150.0
150,675.0
600,168.0
84,169.0
100,500.0
350,525.0
275,158.0
300,400.0
111,109.0
325,675.0
200,525.0
600,725.0
51,150.0
52,150.0
91,158.0
216,600.0
189,675.0
224,198.0
165,158.0
240,158.0
124,105.0
231,198.0
545,215.0
325,600.0
120,168.0
115,173.5
225,525.0
725,725.0
90,206.0
162,216.0
163,215.0
350,168.0
450,600.0
225,322.5
200,625.0
131,160.0
125,350.0
111,625.0
825,176.0
87,206.0
203,173.5
105,147.0
169,216.0
181,600.0
91,158.0
38,173.5
850,600.0
60,147.0
26,475.0
575,625.0
289,198.0
400,105.0
104,675.0
72,158.0
123,675.0
925,198.0
70,145.0
108,165.0
203,165.0
218,625.0
105,675.0
750,600.0
900,525.0
75,500.0
202,173.5
120,450.0
61,158.0
47,145.0
175,500.0
248,600.0
87,450.0
90,625.0
85,198.0
119,625.0
106,198.0
150,675.0
225,158.0
56,450.0
68,256.0
149,160.0
173,675.0
600,600.0
125,475.0
900,168.0
100,150.0
750,168.0
125,150.0
116,143.0
550,825.0
225,232.0
150,450.0
150,169.0
375,500.0
250,425.0
113,216.0
475,105.0
275,206.0
208,198.0
198,209.0
133,176.0
145,232.0
725,625.0
203,198.0
112,168.0
59,173.5
239,206.0
525,725.0
94,256.0
50,147.0
575,825.0
182,725.0
425,232.0
825,600.0
325,475.0
75,350.0
105,209.0
300,600.0
475,500.0
125,150.0
775,600.0
600,525.0
109,192.0
232,232.0
500,450.0
225,525.0
525,675.0
450,168.0
140,173.5
825,725.0
140,169.0
143,160.0
250,145.0
65,209.0
500,675.0
400,600.0
196,450.0
96,160.0
145,105.0
138,216.0
925,675.0
128,158.0
175,525.0
525,525.0
124,198.0
111,600.0
248,158.0
38,173.5
39,147.0
36,150.0
105,675.0
150,500.0
300,150.0
221,158.0
126,625.0
38,173.5
250,400.0
900,475.0
98,475.0
39,158.0
675,158.0
111,198.0
450,625.0
225,500.0
420,232.0
325,625.0
87,169.0
500,825.0
109,132.0
150,168.0
207,192.0
69,160.0
149,198.0
117,450.0
400,150.0
30,150.0
149,165.0
150,675.0
150,158.0
250,150.0
204,173.5
75,160.0
175,475.0
193,105.0
147,725.0
225,525.0
175,475.0
91,169.0
100,143.0
125,143.0
150,625.0
425,158.0
725,168.0
375,525.0
500,675.0
325,625.0
210,256.0
315,158.0
120,209.0
240,150.0
81,169.0
136,158.0
650,600.0
225,475.0
75,109.0
58,206.0
333,232.0
475,176.0
120,500.0
30,232.0
68,169.0
160,173.5
155,232.0
550,500.0
58,173.5
575,158.0
113,120.0
114,143.0
725,500.0
30,147.0
625,675.0
116,156.0
200,475.0
775,500.0
203,209.0
119,109.0
475,176.0
250,625.0
221,215.0
91,232.0
700,475.0
123,450.0
88,158.0
126,158.0
95,256.0
550,825.0
91,232.0
425,232.0
575,160.0
104,173.5
63,143.0
475,500.0
36,147.0
700,206.0
450,625.0
700,675.0
79,209.0
675,176.0
147,143.0
144,168.0
116,675.0
550,675.0
350,525.0
300,600.0
223,165.0
93,232.0
320,176.0
173,625.0
670,675.0
475,206.0
192,158.0
275,525.0
189,215.0
175,500.0
163,256.0
158,120.0
51,109.0
216,158.0
425,475.0
275,600.0
130,209.0
1125,825.0
174,143.0
210,160.0
325,675.0
325,176.0
44,143.0
825,625.0
120,198.0
63,198.0
575,150.0
132,232.0
375,176.0
154,158.0
350,625.0
90,625.0
278,209.0
179,160.0
175,475.0
300,176.0
96,232.0
45,150.0
68,192.0
210,450.0
77,150.0
400,232.0
62,158.0
170,160.0
450,206.0
120,169.0
84,168.0
425,176.0
133,173.5
250,475.0
725,176.0
375,176.0
208,232.0
300,168.0
450,375.0
219,675.0
147,160.0
213,158.0
95,215.0
53,150.0
174,675.0
400,625.0
175,150.0
319,825.0
135,165.0
243,209.0
138,675.0
132,150.0
109,143.0
184,165.0
400,625.0
98,145.0
125,500.0
96,143.0
150,500.0
248,675.0
98,825.0
135,156.0
400,160.0
36,209.0
196,147.0
78,173.5
145,192.0
175,475.0
200,475.0
90,145.0
650,150.0
163,475.0
450,725.0
825,176.0
78,145.0
400,675.0
400,232.0
182,209.0
150,147.0
475,825.0
252,232.0
240,143.0
125,160.0
450,105.0
600,525.0
124,105.0
79,158.0
85,206.0
1020,158.0
176,825.0
75,109.0
300,176.0
107,160.0
200,147.0
200,500.0
300,525.0
350,206.0
91,209.0
925,232.0
350,168.0
98,675.0
68,147.0
700,625.0
150,675.0
625,825.0
850,825.0
91,475.0
650,675.0
550,500.0
375,625.0
66,209.0
65,145.0
287,232.0
94,143.0
142,450.0
54,150.0
41,475.0
120,176.0
111,147.0
275,525.0
140,156.0
264,625.0
425,206.0
525,158.0
78,206.0
112,216.0
42,450.0
228,158.0
137,209.0
102,198.0
91,198.0
425,160.0
69,600.0
325,176.0
87,216.0
400,825.0
38,150.0
58,206.0
169,198.0
293,725.0
700,160.0
203,165.0
271,198.0
85,158.0
158,725.0
325,147.0
91,256.0
112,625.0
188,625.0
233,206.0
58,105.0
289,147.0
250,100.0
119,256.0
117,625.0
65,232.0
50,350.0
425,450.0
450,525.0
525,825.0
254,500.0
125,450.0
300,232.0
87,173.5
525,158.0
150,109.0
87,169.0
116,256.0
53,147.0
119,143.0
225,350.0
247,165.0
125,625.0
275,105.0
84,209.0
175,143.0
350,675.0
725,675.0
68,173.5
210,173.5
117,675.0
800,198.0
68,158.0
106,198.0
475,198.0
900,600.0
48,450.0
725,500.0
120,215.0
161,600.0
425,475.0
161,216.0
68,173.5
250,158.0
91,158.0
375,675.0
225,147.0
98,192.0
725,675.0
58,256.0
116,158.0
208,198.0
26,216.0
100,375.0
124,120.0
41,120.0
625,206.0
70,120.0
900,600.0
575,475.0
65,158.0
625,675.0
525,168.0
83,120.0
170,209.0
113,209.0
248,158.0
95,625.0
375,625.0
825,206.0
218,215.0
36,150.0
525,725.0
95,198.0
825,825.0
182,165.0
123,158.0
675,168.0
145,145.0
68,160.0
88,145.0
145,150.0
200,375.0
120,206.0
158,215.0
175,450.0
300,150.0
250,500.0
225,192.0
600,600.0
1075,675.0
56,256.0
200,147.0
275,158.0
122,169.0
200,600.0
56,150.0
128,256.0
950,525.0
450,450.0
122,215.0
325,475.0
700,600.0
31,150.0
54,500.0
425,450.0
90,198.0
126,232.0
700,165.0
173,150.0
275,232.0
36,450.0
147,176.0
75,158.0
142,206.0
217,525.0
775,215.0
800,675.0
145,147.0
175,525.0
550,600.0
189,675.0
91,206.0
575,147.0
300,206.0
520,725.0
500,475.0
116,625.0
215,215.0
196,825.0
44,198.0
175,158.0
135,158.0
150,475.0
275,322.5
65,256.0
300,475.0
350,475.0
38,198.0
47,206.0
150,158.0
525,232.0
98,675.0
143,675.0
1000,600.0
112,525.0
105,206.0
575,625.0
315,158.0
91,198.0
175,625.0
231,825.0
196,825.0
400,475.0
125,158.0
125,198.0
81,500.0
90,158.0
83,209.0
200,450.0
94,198.0
575,232.0
62,150.0
201,216.0
625,625.0
50,150.0
725,165.0
231,675.0
96,625.0
175,375.0
140,147.0
375,176.0
158,256.0
475,105.0
223,206.0
425,165.0
145,173.5
53,158.0
100,100.0
138,169.0
175,500.0
300,475.0
119,176.0
675,160.0
325,625.0
152,150.0
204,143.0
175,450.0
125,198.0
500,322.5
248,525.0
375,206.0
84,192.0
142,158.0
45,206.0
119,500.0
119,232.0
180,675.0
116,198.0
550,176.0
95,675.0
150,350.0
74,156.0
225,600.0
125,675.0
298,825.0
91,475.0
288,192.0
575,145.0
225,525.0
113,109.0
775,215.0
600,500.0
175,450.0
281,143.0
194,156.0
138,160.0
53,145.0
208,825.0
625,675.0
650,500.0
225,625.0
203,675.0
925,625.0
147,206.0
450,150.0
101,147.0
158,150.0
224,725.0
54,143.0
375,675.0
350,143.0
525,675.0
49,192.0
186,198.0
60,173.5
123,206.0
45,147.0
105,206.0
60,143.0
173,173.5
160,198.0
111,158.0
152,143.0
156,198.0
375,232.0
75,143.0
74,160.0
200,150.0
58,169.0
1025,232.0
128,158.0
91,160.0
825,215.0
