y_real,y_pred_local
52,43.0
275,41.666666666666664
206,128.0
155,128.0
182,30.0
182,118.0
375,63.0
65,30.0
175,118.0
725,128.0
250,43.0
50,23.0
650,125.0
231,38.0
475,30.0
138,30.0
105,38.0
925,250.0
311,118.0
350,38.0
125,36.0
252,47.0
120,23.0
25,41.666666666666664
98,38.0
300,63.0
100,63.0
500,100.0
250,63.0
300,63.0
203,128.0
575,36.0
80,31.0
275,125.0
275,100.0
75,38.0
70,36.0
221,39.0
202,63.0
325,41.666666666666664
317,118.0
1045,118.0
112,63.0
495,118.0
168,125.0
123,23.0
119,38.0
61,23.0
525,212.5
116,30.0
700,39.0
200,38.0
35,36.0
168,63.0
83,36.0
238,128.0
116,36.0
49,22.0
500,43.0
450,43.0
203,63.0
119,52.0
225,63.0
155,23.0
475,250.0
1220,118.0
203,125.0
44,30.0
350,250.0
245,125.0
325,250.0
575,485.0
550,250.0
175,36.0
99,47.0
54,23.0
56,22.0
163,36.0
425,250.0
75,23.0
225,38.0
325,52.0
525,36.0
375,36.0
204,52.0
350,250.0
29,36.0
56,38.0
525,125.0
70,47.0
675,30.0
650,36.0
123,31.0
263,63.0
279,22.0
135,52.0
236,125.0
250,125.0
56,30.0
625,39.0
145,125.0
500,250.0
98,30.0
263,118.0
150,118.0
500,22.0
150,63.0
600,47.0
84,30.0
100,125.0
350,38.0
275,23.0
300,41.666666666666664
111,52.0
325,250.0
200,83.33333333333333
600,118.0
51,23.0
52,22.0
91,23.0
216,47.0
189,63.0
224,47.0
165,31.0
240,125.0
124,13.0
231,47.0
545,485.0
325,125.0
120,47.0
115,23.0
225,150.0
725,118.0
90,38.0
162,125.0
163,118.0
350,125.0
450,125.0
225,137.5
200,250.0
131,63.0
125,137.5
111,30.0
825,38.0
87,30.0
203,128.0
105,38.0
169,125.0
181,47.0
91,31.0
38,38.0
850,47.0
60,43.0
26,30.0
575,38.0
289,125.0
400,31.0
104,63.0
72,31.0
123,63.0
925,47.0
70,13.0
108,31.0
203,125.0
218,63.0
105,63.0
750,47.0
900,38.0
75,36.0
202,39.0
120,36.0
61,31.0
47,13.0
175,36.0
248,47.0
87,36.0
90,30.0
85,47.0
119,63.0
106,47.0
150,63.0
225,39.0
56,36.0
68,30.0
149,63.0
173,63.0
600,125.0
125,150.0
900,47.0
100,125.0
750,47.0
125,22.0
116,30.0
550,485.0
225,30.0
150,125.0
150,30.0
375,36.0
250,150.0
113,13.0
475,43.0
275,63.0
208,118.0
198,63.0
133,63.0
145,23.0
725,38.0
203,47.0
112,47.0
59,63.0
239,63.0
525,485.0
94,75.0
50,7.0
575,485.0
182,118.0
425,30.0
825,47.0
325,30.0
75,41.666666666666664
105,38.0
300,125.0
475,125.0
125,36.0
775,125.0
600,38.0
109,47.0
232,128.0
500,125.0
225,100.0
525,435.0
450,125.0
140,30.0
825,118.0
140,63.0
143,52.0
250,13.0
65,63.0
500,250.0
400,125.0
196,36.0
96,52.0
145,31.0
138,43.0
925,63.0
128,31.0
175,100.0
525,38.0
124,47.0
111,47.0
248,125.0
38,23.0
39,43.0
36,36.0
105,63.0
150,125.0
300,22.0
221,39.0
126,38.0
38,38.0
250,200.0
900,30.0
98,63.0
39,23.0
675,31.0
111,125.0
450,30.0
225,36.0
420,128.0
325,250.0
87,30.0
500,118.0
109,23.0
150,47.0
207,125.0
69,49.0
149,47.0
117,36.0
400,36.0
30,36.0
149,125.0
150,63.0
150,31.0
250,125.0
204,38.0
75,63.0
175,30.0
193,52.0
147,118.0
225,250.0
175,30.0
91,63.0
100,38.0
125,30.0
150,38.0
425,39.0
725,47.0
375,212.5
500,63.0
325,250.0
210,38.0
315,39.0
120,30.0
240,22.0
81,63.0
136,39.0
650,47.0
225,63.0
75,43.0
58,30.0
333,63.0
475,250.0
120,36.0
30,38.0
68,30.0
160,23.0
155,30.0
550,125.0
58,30.0
575,31.0
113,13.0
114,30.0
725,150.0
30,7.0
625,250.0
116,47.0
200,100.0
775,36.0
203,63.0
119,52.0
475,63.0
250,30.0
221,118.0
91,23.0
700,63.0
123,36.0
88,31.0
126,31.0
95,63.0
550,118.0
91,75.0
425,30.0
575,63.0
104,38.0
63,38.0
475,36.0
36,13.0
700,63.0
450,250.0
700,38.0
79,63.0
675,38.0
147,38.0
144,47.0
116,63.0
550,250.0
350,200.0
300,47.0
223,125.0
93,75.0
320,250.0
173,63.0
670,435.0
475,63.0
192,31.0
275,200.0
189,118.0
175,200.0
163,125.0
158,52.0
51,43.0
216,125.0
425,150.0
275,125.0
130,30.0
1125,485.0
174,38.0
210,49.0
325,250.0
325,250.0
44,38.0
825,63.0
120,118.0
63,47.0
575,22.0
132,128.0
375,38.0
154,23.0
350,250.0
90,30.0
278,38.0
179,52.0
175,100.0
300,250.0
96,38.0
45,22.0
68,47.0
210,36.0
77,36.0
400,23.0
62,23.0
170,52.0
450,38.0
120,63.0
84,47.0
425,63.0
133,30.0
250,250.0
725,30.0
375,250.0
208,128.0
300,125.0
450,150.0
219,63.0
147,52.0
213,31.0
95,118.0
53,22.0
174,63.0
400,38.0
175,22.0
319,118.0
135,31.0
243,30.0
138,63.0
132,36.0
109,38.0
184,125.0
400,250.0
98,43.0
125,125.0
96,38.0
150,41.666666666666664
248,63.0
98,118.0
135,47.0
400,63.0
36,30.0
196,7.0
78,63.0
145,47.0
175,100.0
200,150.0
90,43.0
650,22.0
163,63.0
450,118.0
825,63.0
78,13.0
400,250.0
400,128.0
182,38.0
150,137.5
475,118.0
252,38.0
240,38.0
125,49.0
450,13.0
600,435.0
124,125.0
79,31.0
85,38.0
1020,128.0
176,118.0
75,13.0
300,250.0
107,52.0
200,137.5
200,36.0
300,212.5
350,38.0
91,63.0
925,75.0
350,125.0
98,63.0
68,13.0
700,38.0
150,30.0
625,118.0
850,118.0
91,30.0
650,250.0
550,200.0
375,30.0
66,63.0
65,43.0
287,128.0
94,7.0
142,36.0
54,36.0
41,63.0
120,63.0
111,38.0
275,212.5
140,47.0
264,63.0
425,30.0
525,128.0
78,38.0
112,52.0
42,36.0
228,23.0
137,30.0
102,47.0
91,47.0
425,52.0
69,47.0
325,30.0
87,43.0
400,118.0
38,23.0
58,38.0
169,47.0
293,118.0
700,63.0
203,31.0
271,47.0
85,23.0
158,118.0
325,137.5
91,30.0
112,63.0
188,63.0
233,30.0
58,31.0
289,7.0
250,200.0
119,38.0
117,30.0
65,38.0
50,41.666666666666664
425,36.0
450,38.0
525,118.0
254,36.0
125,36.0
300,75.0
87,30.0
525,128.0
150,43.0
87,30.0
116,63.0
53,43.0
119,7.0
225,83.33333333333333
247,125.0
125,38.0
275,52.0
84,63.0
175,38.0
350,250.0
725,63.0
68,23.0
210,30.0
117,63.0
800,47.0
68,39.0
106,125.0
475,125.0
900,47.0
48,36.0
725,36.0
120,118.0
161,47.0
425,30.0
161,52.0
68,38.0
250,23.0
91,23.0
375,250.0
225,83.33333333333333
98,47.0
725,435.0
58,23.0
116,31.0
208,47.0
26,13.0
100,150.0
124,43.0
41,43.0
625,63.0
70,13.0
900,47.0
575,63.0
65,23.0
625,63.0
525,47.0
83,43.0
170,30.0
113,38.0
248,128.0
95,30.0
375,63.0
825,30.0
218,118.0
36,36.0
525,485.0
95,47.0
825,118.0
182,125.0
123,125.0
675,47.0
145,43.0
68,52.0
88,13.0
145,36.0
200,150.0
120,30.0
158,118.0
175,36.0
300,36.0
250,41.666666666666664
225,47.0
600,47.0
1075,63.0
56,23.0
200,137.5
275,23.0
122,30.0
200,47.0
56,36.0
128,63.0
950,38.0
450,36.0
122,118.0
325,200.0
700,125.0
31,36.0
54,36.0
425,36.0
90,47.0
126,75.0
700,125.0
173,22.0
275,75.0
36,36.0
147,30.0
75,23.0
142,63.0
217,38.0
775,118.0
800,435.0
145,43.0
175,100.0
550,47.0
189,38.0
91,38.0
575,435.0
300,38.0
520,485.0
500,30.0
116,38.0
215,118.0
196,118.0
44,47.0
175,128.0
135,125.0
150,100.0
275,137.5
65,30.0
300,250.0
350,63.0
38,47.0
47,38.0
150,31.0
525,128.0
98,63.0
143,38.0
1000,47.0
112,38.0
105,63.0
575,38.0
315,39.0
91,125.0
175,38.0
231,118.0
196,118.0
400,100.0
125,125.0
125,47.0
81,36.0
90,23.0
83,30.0
200,36.0
94,47.0
575,75.0
62,36.0
201,125.0
625,63.0
50,36.0
725,31.0
231,63.0
96,38.0
175,150.0
140,38.0
