y_real,y_pred_local
52,184.0
275,500.0
206,271.0
155,264.0
182,158.0
182,775.0
375,825.0
65,158.0
175,775.0
725,271.0
250,184.0
50,91.0
650,215.0
231,232.0
475,825.0
138,158.0
105,232.0
925,825.0
311,825.0
350,231.0
125,487.5
252,775.0
120,120.0
25,375.0
98,825.0
300,231.0
100,825.0
500,218.0
250,248.0
300,825.0
203,264.0
575,400.0
80,247.0
275,487.5
275,218.0
75,232.0
70,487.5
221,263.0
202,248.0
325,525.0
317,775.0
1045,775.0
112,248.0
495,825.0
168,233.0
123,91.0
119,232.0
61,91.0
525,750.0
116,231.0
700,263.0
200,825.0
35,165.5
168,248.0
83,487.5
238,264.0
116,165.5
49,165.5
500,116.0
450,184.0
203,248.0
119,124.0
225,248.0
155,165.5
475,825.0
1220,825.0
203,233.0
44,158.0
350,231.0
245,271.0
325,775.0
575,825.0
550,825.0
175,487.5
99,271.0
54,165.5
56,165.5
163,487.5
425,775.0
75,120.0
225,232.0
325,240.0
525,487.5
375,487.5
204,240.0
350,231.0
29,487.5
56,232.0
525,775.0
70,271.0
675,158.0
650,487.5
123,247.0
263,825.0
279,165.5
135,240.0
236,233.0
250,750.0
56,158.0
625,263.0
145,233.0
500,825.0
98,825.0
263,202.0
150,775.0
500,165.5
150,825.0
600,750.0
84,202.0
100,487.5
350,762.5
275,120.0
300,167.0
111,176.0
325,825.0
200,750.0
600,775.0
51,165.5
52,165.5
91,120.0
216,825.0
189,825.0
224,271.0
165,233.0
240,233.0
124,124.0
231,271.0
545,775.0
325,775.0
120,750.0
115,120.0
225,750.0
725,775.0
90,232.0
162,247.0
163,825.0
350,750.0
450,775.0
225,675.0
200,231.0
131,240.0
125,275.0
111,825.0
825,825.0
87,158.0
203,264.0
105,232.0
169,247.0
181,825.0
91,233.0
38,232.0
850,775.0
60,124.0
26,537.5
575,231.0
289,271.0
400,247.0
104,825.0
72,233.0
123,825.0
925,271.0
70,184.0
108,215.0
203,215.0
218,231.0
105,825.0
750,775.0
900,762.5
75,487.5
202,263.0
120,131.0
61,233.0
47,184.0
175,487.5
248,825.0
87,400.0
90,231.0
85,271.0
119,231.0
106,271.0
150,825.0
225,263.0
56,400.0
68,158.0
149,240.0
173,825.0
600,825.0
125,218.0
900,750.0
100,487.5
750,750.0
125,165.5
116,187.0
550,825.0
225,158.0
150,400.0
150,202.0
375,487.5
250,167.0
113,155.0
475,124.0
275,248.0
208,271.0
198,248.0
133,825.0
145,165.5
725,231.0
203,271.0
112,750.0
59,248.0
239,248.0
525,775.0
94,271.0
50,187.0
575,825.0
182,202.0
425,158.0
825,775.0
325,537.5
75,375.0
105,232.0
300,775.0
475,487.5
125,487.5
775,825.0
600,762.5
109,271.0
232,271.0
500,400.0
225,750.0
525,400.0
450,750.0
140,158.0
825,775.0
140,231.0
143,124.0
250,184.0
65,248.0
500,825.0
400,775.0
196,117.0
96,240.0
145,247.0
138,155.0
925,825.0
128,233.0
175,750.0
525,762.5
124,271.0
111,825.0
248,233.0
38,120.0
39,124.0
36,165.5
105,825.0
150,487.5
300,165.5
221,263.0
126,231.0
38,232.0
250,675.0
900,537.5
98,775.0
39,120.0
675,233.0
111,271.0
450,231.0
225,487.5
420,271.0
325,231.0
87,202.0
500,825.0
109,91.0
150,750.0
207,271.0
69,240.0
149,271.0
117,117.0
400,487.5
30,487.5
149,247.0
150,825.0
150,233.0
250,487.5
204,232.0
75,240.0
175,537.5
193,124.0
147,775.0
225,762.5
175,537.5
91,231.0
100,232.0
125,187.0
150,825.0
425,263.0
725,750.0
375,750.0
500,825.0
325,231.0
210,232.0
315,263.0
120,158.0
240,165.5
81,202.0
136,263.0
650,825.0
225,775.0
75,176.0
58,158.0
333,248.0
475,825.0
120,487.5
30,232.0
68,202.0
160,120.0
155,158.0
550,487.5
58,158.0
575,233.0
113,162.0
114,187.0
725,500.0
30,124.0
625,825.0
116,202.0
200,218.0
775,487.5
203,248.0
119,176.0
475,825.0
250,231.0
221,825.0
91,165.5
700,775.0
123,400.0
88,233.0
126,233.0
95,248.0
550,825.0
91,271.0
425,158.0
575,240.0
104,232.0
63,232.0
475,487.5
36,124.0
