y_real,y_pred_local
52,96.0
275,320.0
206,90.0
155,81.0
182,96.0
182,81.0
375,96.0
65,96.0
175,81.0
725,81.0
250,96.0
50,98.0
650,81.0
231,102.0
475,102.0
138,96.0
105,96.0
925,320.0
311,81.0
350,102.0
125,81.0
252,126.0
120,98.0
25,320.0
98,96.0
300,102.0
100,96.0
500,320.0
250,102.0
300,102.0
203,81.0
575,98.0
80,126.0
275,325.0
275,320.0
75,96.0
70,81.0
221,140.0
202,96.0
325,320.0
317,81.0
1045,81.0
112,102.0
495,81.0
168,81.0
123,98.0
119,102.0
61,98.0
525,325.0
116,96.0
700,126.0
200,102.0
35,98.0
168,102.0
83,81.0
238,81.0
116,98.0
49,98.0
500,102.0
450,96.0
203,102.0
119,96.0
225,102.0
155,98.0
475,300.0
1220,90.0
203,90.0
44,96.0
350,320.0
245,81.0
325,320.0
575,320.0
550,300.0
175,81.0
99,140.0
54,98.0
56,98.0
163,81.0
425,320.0
75,98.0
225,96.0
325,96.0
525,81.0
375,81.0
204,102.0
350,320.0
29,81.0
56,96.0
525,325.0
70,126.0
675,96.0
650,81.0
123,140.0
263,96.0
279,98.0
135,96.0
236,90.0
250,325.0
56,96.0
625,140.0
145,81.0
500,320.0
98,96.0
263,81.0
150,81.0
500,98.0
150,96.0
600,140.0
84,96.0
100,325.0
350,96.0
275,98.0
300,320.0
111,102.0
325,320.0
200,325.0
600,81.0
51,98.0
52,98.0
91,98.0
216,126.0
189,96.0
224,126.0
165,140.0
240,90.0
124,102.0
231,140.0
545,320.0
325,325.0
120,126.0
115,98.0
225,320.0
725,81.0
90,96.0
162,90.0
163,81.0
350,325.0
450,325.0
225,325.0
200,320.0
131,96.0
125,325.0
111,96.0
825,96.0
87,96.0
203,81.0
105,102.0
169,81.0
181,126.0
91,126.0
38,102.0
850,140.0
60,96.0
26,96.0
575,96.0
289,90.0
400,126.0
104,96.0
72,126.0
123,96.0
925,140.0
70,102.0
108,126.0
203,90.0
218,96.0
105,96.0
750,140.0
900,102.0
75,81.0
202,140.0
120,81.0
61,140.0
47,102.0
175,81.0
248,140.0
87,98.0
90,96.0
85,140.0
119,96.0
106,126.0
150,96.0
225,140.0
56,98.0
68,96.0
149,96.0
173,96.0
600,325.0
125,320.0
900,140.0
100,325.0
750,126.0
125,98.0
116,102.0
550,320.0
225,96.0
150,325.0
150,96.0
375,81.0
250,320.0
113,96.0
475,96.0
275,102.0
208,81.0
198,102.0
133,96.0
145,98.0
725,96.0
203,126.0
112,126.0
59,96.0
239,102.0
525,320.0
94,140.0
50,102.0
575,320.0
182,81.0
425,96.0
825,140.0
325,96.0
75,320.0
105,96.0
300,325.0
475,450.0
125,81.0
775,450.0
600,96.0
109,126.0
232,90.0
500,325.0
225,320.0
525,320.0
450,325.0
140,96.0
825,90.0
140,102.0
143,96.0
250,96.0
65,96.0
500,320.0
400,325.0
196,81.0
96,102.0
145,126.0
138,96.0
925,96.0
128,140.0
175,320.0
525,96.0
124,140.0
111,126.0
248,90.0
38,98.0
39,102.0
36,98.0
105,96.0
150,325.0
300,98.0
221,140.0
126,96.0
38,96.0
250,320.0
900,102.0
98,96.0
39,98.0
675,140.0
111,81.0
450,96.0
225,81.0
420,90.0
325,320.0
