y_real,y_pred_local
52,79.5
275,206.25
206,115.0
155,154.0
182,77.0
182,182.0
375,133.0
65,98.0
175,131.0
725,115.0
250,79.5
50,61.0
650,143.0
231,87.0
475,112.0
138,77.0
105,87.0
925,387.5
311,179.0
350,112.0
125,87.0
252,116.0
120,61.0
25,191.66666666666666
98,112.0
300,115.0
100,133.0
500,275.0
250,75.0
300,133.0
203,154.0
575,68.0
80,69.0
275,200.0
275,275.0
75,87.0
70,56.0
221,38.0
202,75.0
325,191.66666666666666
317,182.0
1045,131.0
112,75.0
495,179.0
168,154.0
123,61.0
119,87.0
61,61.0
525,300.0
116,112.0
700,38.0
200,112.0
35,65.0
168,94.0
83,56.0
238,154.0
116,65.0
49,65.0
500,79.5
450,79.5
203,75.0
119,81.0
225,94.0
155,63.5
475,450.0
1220,179.0
203,143.0
44,98.0
350,387.5
245,115.0
325,325.0
575,622.5
550,400.0
175,87.0
99,90.0
54,63.5
56,65.0
163,56.0
425,325.0
75,59.0
225,87.0
325,81.0
525,56.0
375,56.0
204,81.0
350,387.5
29,87.0
56,87.0
525,400.0
70,90.0
675,77.0
650,56.0
123,69.0
263,133.0
279,68.0
135,81.0
236,165.0
250,300.0
56,77.0
625,38.0
145,165.0
500,387.5
98,112.0
263,182.0
150,182.0
500,68.0
150,133.0
600,116.0
84,112.0
100,300.0
350,112.0
275,59.0
300,287.5
111,105.0
325,450.0
200,225.0
600,131.0
51,68.0
52,65.0
91,59.0
216,116.0
189,133.0
224,116.0
165,80.0
240,154.0
124,47.0
231,90.0
545,525.0
325,400.0
120,116.0
115,59.0
225,300.0
725,131.0
90,87.0
162,143.0
163,179.0
350,300.0
450,400.0
225,291.6666666666667
200,400.0
131,75.0
125,200.0
111,112.0
825,112.0
87,77.0
203,154.0
105,77.0
169,143.0
181,116.0
91,91.0
38,87.0
850,116.0
60,77.0
26,112.0
575,112.0
289,131.0
400,69.0
104,133.0
72,80.0
123,133.0
925,90.0
70,79.5
108,69.0
203,143.0
218,115.0
105,133.0
750,116.0
900,112.0
75,56.0
202,103.0
120,87.0
61,80.0
47,79.5
175,56.0
248,116.0
87,68.0
90,112.0
85,116.0
119,115.0
106,90.0
150,133.0
225,38.0
56,68.0
68,77.0
149,75.0
173,133.0
600,400.0
125,300.0
900,116.0
100,250.0
750,116.0
125,68.0
116,49.0
550,622.5
225,77.0
150,250.0
150,112.0
375,56.0
250,287.5
113,54.0
475,57.0
275,94.0
208,131.0
198,94.0
133,133.0
145,63.5
725,112.0
203,116.0
112,116.0
59,75.0
239,94.0
525,525.0
94,90.0
50,47.0
575,622.5
182,182.0
425,77.0
825,116.0
325,112.0
75,191.66666666666666
105,98.0
300,400.0
475,200.0
125,87.0
775,400.0
600,112.0
109,90.0
232,115.0
500,250.0
225,275.0
525,550.0
450,300.0
140,77.0
825,131.0
140,115.0
143,81.0
250,79.5
65,94.0
500,400.0
400,400.0
196,87.0
96,81.0
145,69.0
138,57.0
925,133.0
128,75.0
175,275.0
525,112.0
124,90.0
111,116.0
248,143.0
38,59.0
39,77.0
36,68.0
105,133.0
150,300.0
300,68.0
221,103.0
126,112.0
38,72.0
250,350.0
900,112.0
98,95.0
39,59.0
675,91.0
111,131.0
450,112.0
225,56.0
420,115.0
325,400.0
87,112.0
500,179.0
109,61.0
150,116.0
207,115.0
69,75.0
149,116.0
117,87.0
400,87.0
30,56.0
149,143.0
150,133.0
150,91.0
250,250.0
204,72.0
75,75.0
175,112.0
193,105.0
147,131.0
225,325.0
175,112.0
91,115.0
100,62.5
125,49.0
150,112.0
425,38.0
725,116.0
375,300.0
500,133.0
325,400.0
210,87.0
315,38.0
120,98.0
240,68.0
81,95.0
136,103.0
650,116.0
225,95.0
75,57.0
58,77.0
333,75.0
475,387.5
120,56.0
30,87.0
68,112.0
160,59.0
155,77.0
550,300.0
58,77.0
575,91.0
113,79.5
114,49.0
725,250.0
30,47.0
625,450.0
116,116.0
200,275.0
775,56.0
203,94.0
119,105.0
475,115.0
250,112.0
221,179.0
91,59.0
700,95.0
123,68.0
88,75.0
126,80.0
95,75.0
550,179.0
91,103.0
425,77.0
575,75.0
104,72.0
63,72.0
475,56.0
36,47.0
700,94.0
450,387.5
700,112.0
79,94.0
675,112.0
147,72.0
144,116.0
116,133.0
550,400.0
350,300.0
300,116.0
223,143.0
93,90.0
320,400.0
173,115.0
670,550.0
475,94.0
192,69.0
275,300.0
189,182.0
175,325.0
163,115.0
158,105.0
51,57.0
216,154.0
425,300.0
275,400.0
130,77.0
1125,622.5
174,62.5
210,75.0
325,400.0
325,400.0
44,62.5
825,115.0
120,131.0
63,116.0
575,68.0
132,115.0
375,112.0
154,59.0
350,400.0
90,112.0
278,87.0
179,81.0
175,275.0
300,400.0
96,87.0
45,65.0
68,90.0
210,68.0
77,65.0
400,63.5
62,61.0
170,81.0
450,87.0
120,95.0
84,116.0
425,115.0
133,72.0
250,275.0
725,112.0
375,387.5
208,115.0
300,300.0
450,212.5
219,133.0
147,105.0
213,80.0
95,182.0
53,68.0
174,133.0
400,112.0
175,68.0
319,179.0
135,69.0
243,77.0
138,133.0
132,56.0
109,62.5
184,143.0
400,400.0
98,79.5
125,300.0
96,62.5
150,206.25
248,133.0
98,179.0
135,116.0
400,75.0
36,98.0
196,47.0
78,75.0
145,90.0
175,275.0
200,300.0
90,79.5
650,68.0
163,95.0
450,131.0
825,115.0
78,79.5
400,450.0
400,115.0
182,87.0
150,362.5
475,179.0
252,87.0
240,62.5
125,75.0
450,47.0
600,512.5
124,143.0
79,75.0
85,87.0
1020,154.0
176,179.0
75,79.5
300,400.0
107,81.0
200,362.5
200,56.0
300,300.0
350,87.0
91,94.0
925,90.0
350,300.0
98,133.0
68,47.0
700,112.0
150,112.0
625,179.0
850,179.0
91,112.0
650,400.0
550,325.0
375,112.0
66,94.0
65,79.5
287,115.0
94,59.5
142,87.0
54,56.0
41,95.0
120,133.0
111,77.0
275,300.0
140,116.0
264,115.0
425,77.0
525,154.0
78,87.0
112,105.0
42,68.0
228,59.0
137,77.0
102,90.0
91,116.0
425,81.0
69,116.0
325,112.0
87,57.0
400,179.0
38,68.0
58,87.0
169,116.0
293,182.0
700,75.0
203,69.0
271,90.0
85,59.0
158,182.0
325,362.5
91,77.0
112,115.0
188,115.0
233,77.0
58,69.0
289,47.0
250,350.0
119,87.0
117,112.0
65,87.0
50,191.66666666666666
425,68.0
450,112.0
525,179.0
254,56.0
125,68.0
300,90.0
87,77.0
525,154.0
150,79.5
87,112.0
116,75.0
53,77.0
119,59.5
225,225.0
247,143.0
125,112.0
275,105.0
84,94.0
175,62.5
350,450.0
725,133.0
68,59.0
210,72.0
117,133.0
800,90.0
68,38.0
106,150.0
475,131.0
900,116.0
48,68.0
725,56.0
120,182.0
161,116.0
425,112.0
161,105.0
68,72.0
250,59.0
91,61.0
375,450.0
225,225.0
98,90.0
725,550.0
58,63.5
116,75.0
208,90.0
26,54.0
100,212.5
124,79.5
41,79.5
625,94.0
70,79.5
900,116.0
575,95.0
65,59.0
625,133.0
525,116.0
83,79.5
170,77.0
113,87.0
248,154.0
95,112.0
375,115.0
825,77.0
218,179.0
36,65.0
525,525.0
95,116.0
825,179.0
182,143.0
123,165.0
675,116.0
145,79.5
68,81.0
88,79.5
145,65.0
200,212.5
120,77.0
158,182.0
175,68.0
300,87.0
250,206.25
225,90.0
600,116.0
1075,133.0
56,63.5
200,362.5
275,59.0
122,112.0
200,116.0
56,65.0
128,75.0
950,112.0
450,68.0
122,179.0
325,300.0
700,400.0
31,56.0
54,56.0
425,68.0
90,116.0
126,103.0
700,143.0
173,68.0
275,90.0
36,87.0
147,112.0
75,59.0
142,94.0
217,112.0
775,182.0
800,550.0
145,57.0
175,275.0
550,116.0
189,112.0
91,87.0
575,550.0
300,87.0
520,525.0
500,112.0
116,112.0
215,182.0
196,179.0
44,116.0
175,154.0
135,154.0
150,275.0
275,291.6666666666667
65,77.0
300,275.0
350,95.0
38,116.0
47,87.0
150,91.0
525,115.0
98,133.0
143,112.0
1000,116.0
112,112.0
105,94.0
575,112.0
315,38.0
91,131.0
175,112.0
231,179.0
196,179.0
400,275.0
125,154.0
125,90.0
81,56.0
90,61.0
83,77.0
200,68.0
94,116.0
575,90.0
62,65.0
201,143.0
625,115.0
50,56.0
725,69.0
231,133.0
96,112.0
175,212.5
140,77.0
375,115.0
158,77.0
475,143.0
223,77.0
425,69.0
145,72.0
53,59.0
100,287.5
138,112.0
175,56.0
300,300.0
119,112.0
675,75.0
325,112.0
152,65.0
204,72.0
175,250.0
125,131.0
500,560.0
248,112.0
375,87.0
84,90.0
142,91.0
45,77.0
119,56.0
119,77.0
180,112.0
116,131.0
550,112.0
95,133.0
150,191.66666666666666
74,116.0
225,116.0
125,112.0
298,179.0
91,95.0
288,90.0
575,79.5
225,275.0
113,57.0
775,182.0
600,56.0
175,250.0
281,72.0
194,116.0
138,81.0
53,79.5
208,179.0
625,133.0
650,200.0
225,115.0
203,133.0
925,112.0
147,87.0
450,87.0
101,47.0
158,68.0
224,182.0
54,62.5
375,133.0
350,49.0
525,133.0
49,90.0
186,131.0
60,77.0
123,94.0
45,77.0
105,77.0
60,72.0
173,115.0
160,116.0
111,154.0
152,49.0
156,131.0
375,90.0
75,59.5
74,81.0
200,250.0
58,95.0
1025,115.0
128,154.0
91,81.0
825,525.0
233,116.0
111,61.0
150,75.0
182,165.0
400,87.0
224,57.0
125,68.0
198,95.0
725,68.0
675,77.0
117,115.0
140,115.0
232,95.0
233,182.0
300,300.0
700,94.0
113,103.0
194,179.0
44,56.0
800,90.0
109,47.0
182,77.0
225,87.0
83,79.5
160,179.0
270,87.0
263,182.0
375,115.0
350,200.0
250,200.0
165,131.0
147,56.0
61,90.0
65,116.0
200,79.5
149,115.0
143,77.0
575,400.0
68,56.0
400,387.5
104,115.0
775,400.0
131,154.0
128,116.0
99,62.5
53,68.0
150,47.0
175,250.0
140,57.0
98,77.0
225,77.0
152,112.0
56,68.0
176,87.0
101,116.0
525,275.0
500,182.0
51,56.0
189,112.0
40,61.0
325,387.5
74,59.0
145,77.0
250,63.5
350,400.0
50,87.0
169,95.0
475,81.0
75,56.0
900,622.5
875,116.0
94,90.0
63,57.0
400,116.0
181,133.0
248,75.0
261,179.0
149,57.0
575,400.0
215,112.0
182,179.0
850,90.0
225,115.0
49,49.0
176,115.0
111,57.0
69,105.0
520,131.0
149,112.0
450,90.0
525,131.0
38,72.0
650,143.0
99,90.0
525,325.0
101,61.0
149,143.0
175,212.5
400,300.0
206,112.0
51,68.0
950,131.0
125,79.5
155,56.0
775,75.0
169,87.0
875,133.0
200,79.5
62,68.0
275,69.0
275,291.6666666666667
149,179.0
500,400.0
86,112.0
178,69.0
300,300.0
116,68.0
350,400.0
173,112.0
210,65.0
33,47.0
350,38.0
293,94.0
575,182.0
58,68.0
325,300.0
275,68.0
192,47.0
175,56.0
105,63.5
131,77.0
600,112.0
1075,622.5
94,133.0
150,250.0
300,115.0
255,179.0
75,116.0
250,300.0
825,116.0
124,115.0
25,79.5
275,112.0
725,300.0
34,61.0
675,622.5
65,72.0
250,275.0
175,68.0
223,87.0
85,90.0
420,131.0
225,87.0
248,112.0
625,131.0
195,90.0
425,49.0
158,77.0
111,87.0
179,79.5
34,54.0
1000,300.0
131,165.0
122,131.0
168,116.0
95,87.0
232,94.0
450,133.0
675,154.0
675,131.0
600,115.0
210,116.0
145,105.0
136,179.0
263,165.0
475,94.0
203,143.0
350,59.0
152,56.0
175,250.0
825,77.0
163,112.0
0,59.5
233,131.0
225,300.0
550,450.0
26,68.0
196,179.0
125,206.25
34,47.0
41,91.0
275,112.0
102,116.0
59,65.0
47,87.0
325,133.0
175,112.0
181,77.0
106,65.0
200,275.0
194,75.0
225,212.5
80,77.0
56,87.0
240,77.0
181,116.0
725,87.0
625,115.0
160,115.0
225,79.5
38,68.0
130,56.0
225,350.0
625,387.5
65,77.0
975,112.0
247,69.0
500,90.0
60,68.0
147,90.0
142,115.0
470,525.0
275,400.0
20,54.0
112,87.0
109,143.0
325,400.0
200,75.0
425,90.0
231,112.0
27,77.0
51,77.0
50,68.0
44,68.0
278,72.0
200,79.5
68,79.5
105,115.0
225,400.0
81,90.0
500,133.0
131,87.0
173,154.0
72,68.0
256,165.0
400,56.0
65,81.0
700,62.5
81,81.0
275,325.0
109,94.0
69,75.0
400,400.0
74,79.5
210,77.0
150,61.0
209,115.0
91,56.0
800,77.0
275,250.0
225,250.0
600,325.0
150,87.0
240,150.0
175,38.0
113,79.5
675,143.0
101,87.0
375,387.5
425,56.0
145,80.0
350,325.0
116,81.0
136,79.5
225,300.0
187,154.0
264,103.0
54,116.0
109,154.0
90,90.0
150,200.0
975,87.0
134,179.0
58,63.5
98,54.0
272,75.0
206,182.0
47,62.5
250,350.0
167,131.0
105,77.0
74,91.0
128,95.0
225,75.0
190,77.0
65,77.0
625,400.0
116,81.0
825,115.0
189,179.0
575,87.0
202,133.0
90,75.0
272,131.0
160,49.0
100,63.5
450,450.0
350,291.6666666666667
250,300.0
250,87.0
77,62.5
194,143.0
145,115.0
100,287.5
475,133.0
374,77.0
111,94.0
325,133.0
215,116.0
83,94.0
425,112.0
123,94.0
140,75.0
70,81.0
200,200.0
73,133.0
259,116.0
94,68.0
83,87.0
200,56.0
475,62.5
52,68.0
150,206.25
275,133.0
42,63.5
250,300.0
167,154.0
600,133.0
233,143.0
425,116.0
138,116.0
800,133.0
225,95.0
72,75.0
124,75.0
156,116.0
500,131.0
184,143.0
137,133.0
300,400.0
245,133.0
250,362.5
238,154.0
94,133.0
300,90.0
600,68.0
153,143.0
273,116.0
69,116.0
74,59.0
120,116.0
300,90.0
175,115.0
325,300.0
308,179.0
218,87.0
173,143.0
1075,115.0
27,47.0
650,112.0
195,116.0
775,112.0
145,115.0
350,77.0
77,49.0
150,200.0
49,90.0
775,275.0
60,47.0
194,143.0
133,133.0
20,47.0
475,622.5
200,200.0
126,115.0
175,116.0
525,450.0
224,116.0
225,68.0
175,191.66666666666666
85,77.0
104,116.0
525,91.0
475,400.0
725,133.0
200,225.0
256,154.0
165,112.0
210,95.0
138,90.0
625,112.0
174,133.0
300,115.0
375,387.5
98,115.0
120,47.0
246,115.0
525,512.5
131,87.0
525,179.0
75,77.0
175,87.0
600,116.0
171,115.0
117,90.0
300,400.0
101,77.0
475,179.0
1000,622.5
53,87.0
400,287.5
400,112.0
575,77.0
231,112.0
250,200.0
375,115.0
256,116.0
123,133.0
124,131.0
217,87.0
1000,116.0
325,291.6666666666667
85,61.0
278,131.0
124,47.0
550,200.0
500,300.0
270,116.0
175,112.0
51,65.0
425,112.0
525,49.0
42,65.0
144,182.0
925,56.0
325,250.0
59,77.0
125,87.0
107,94.0
61,98.0
49,57.0
475,250.0
300,450.0
350,81.0
182,143.0
88,72.0
333,38.0
500,550.0
163,94.0
87,38.0
750,90.0
650,300.0
163,112.0
143,75.0
200,68.0
150,87.0
19,63.5
525,300.0
875,115.0
384,154.0
150,154.0
175,275.0
325,200.0
123,87.0
750,400.0
56,90.0
700,400.0
325,81.0
400,94.0
375,112.0
325,69.0
150,191.66666666666666
650,622.5
44,112.0
180,133.0
125,133.0
520,560.0
272,165.0
203,182.0
450,75.0
218,69.0
32,47.0
238,94.0
75,49.0
78,56.0
94,68.0
600,165.0
188,115.0
27,68.0
233,115.0
625,116.0
102,112.0
500,115.0
425,200.0
525,112.0
200,300.0
179,150.0
400,49.0
126,56.0
46,57.0
204,143.0
131,103.0
65,87.0
400,387.5
375,212.5
475,112.0
196,165.0
102,63.5
111,56.0
1075,179.0
450,400.0
200,250.0
135,112.0
44,103.0
550,300.0
206,87.0
175,200.0
35,63.5
155,105.0
87,94.0
85,115.0
280,115.0
65,72.0
216,115.0
90,57.0
273,182.0
425,112.0
117,112.0
138,87.0
213,47.0
158,131.0
176,75.0
550,250.0
225,79.5
60,90.0
350,362.5
188,90.0
133,81.0
46,65.0
128,57.0
218,77.0
98,133.0
33,62.5
128,75.0
78,77.0
109,103.0
200,112.0
169,133.0
600,112.0
275,112.0
200,68.0
425,525.0
60,87.0
140,133.0
108,95.0
75,77.0
101,91.0
250,300.0
200,91.0
105,59.5
525,400.0
184,59.0
150,56.0
210,62.5
550,116.0
154,38.0
60,90.0
850,38.0
525,300.0
425,200.0
225,225.0
111,77.0
1070,525.0
145,105.0
550,560.0
225,112.0
300,300.0
650,77.0
100,90.0
176,87.0
81,133.0
161,68.0
550,550.0
300,90.0
325,116.0
88,105.0
63,133.0
225,250.0
69,87.0
218,87.0
675,56.0
124,79.5
60,68.0
100,154.0
175,212.5
123,75.0
322,62.5
550,179.0
625,400.0
300,81.0
950,90.0
625,49.0
68,87.0
625,300.0
68,81.0
