y_real,y_pred_local
52,62.0
275,200.0
206,155.0
155,155.0
182,87.0
182,164.0
375,120.0
65,87.0
175,149.0
725,119.5
250,62.0
50,44.0
650,138.0
231,56.0
475,87.0
138,49.0
105,105.0
925,350.0
311,150.0
350,105.0
125,75.0
252,96.0
120,42.0
25,150.0
98,105.0
300,96.0
100,120.0
500,200.0
250,68.0
300,120.0
203,155.0
575,50.0
80,57.5
275,150.0
275,200.0
75,105.0
70,45.0
221,98.0
202,68.0
325,150.0
317,164.0
1045,149.0
112,68.0
495,150.0
168,125.0
123,44.0
119,56.0
61,44.0
525,300.0
116,87.0
700,98.0
200,105.0
35,53.0
168,72.0
83,45.0
238,155.0
116,53.0
49,53.0
500,49.0
450,62.0
203,68.0
119,74.0
225,72.0
155,50.0
475,375.0
1220,150.0
203,138.0
44,87.0
350,337.5
245,119.5
325,275.0
575,572.5
550,300.0
175,75.0
99,87.0
54,50.0
56,53.0
163,45.0
425,275.0
75,53.0
225,68.0
325,75.0
525,45.0
375,45.0
204,75.0
350,337.5
29,75.0
56,68.0
525,350.0
70,87.0
675,87.0
650,45.0
123,57.5
263,120.0
279,58.0
135,75.0
236,125.0
250,350.0
56,49.0
625,98.0
145,125.0
500,350.0
98,87.0
263,149.0
150,149.0
500,58.0
150,120.0
600,96.0
84,87.0
100,275.0
350,105.0
275,53.0
300,125.0
111,74.0
325,375.0
200,187.5
600,149.0
51,50.0
52,53.0
91,53.0
216,96.0
189,120.0
224,96.0
165,78.0
240,125.0
124,41.0
231,96.0
545,550.0
325,350.0
120,96.0
115,53.0
225,225.0
725,149.0
90,105.0
162,138.0
163,150.0
350,350.0
450,350.0
225,212.5
200,350.0
131,75.0
125,300.0
111,87.0
825,105.0
87,87.0
203,155.0
105,59.5
169,138.0
181,96.0
91,74.0
38,56.0
850,96.0
60,62.5
26,87.0
575,105.0
289,152.0
400,57.5
104,120.0
72,78.0
123,120.0
925,87.0
70,33.5
108,57.5
203,138.0
218,96.0
105,120.0
750,96.0
900,105.0
75,45.0
202,73.0
120,84.0
61,78.0
47,33.5
175,45.0
248,96.0
87,50.0
90,87.0
85,96.0
119,91.0
106,87.0
150,120.0
225,98.0
56,50.0
68,49.0
149,68.0
173,120.0
600,350.0
125,225.0
900,96.0
100,200.0
750,96.0
125,58.0
116,66.0
550,572.5
225,60.0
150,175.0
150,87.0
375,45.0
250,237.5
113,41.0
475,87.0
275,72.0
208,152.0
198,83.0
133,120.0
145,50.0
725,105.0
203,96.0
112,96.0
59,68.0
239,72.0
525,525.0
94,87.0
50,42.333333333333336
575,572.5
182,164.0
425,60.0
825,96.0
325,87.0
75,150.0
105,105.0
300,350.0
475,150.0
125,75.0
775,350.0
600,105.0
109,87.0
232,119.5
500,175.0
225,175.0
525,508.3333333333333
450,350.0
140,60.0
825,149.0
140,96.0
143,74.0
250,33.5
65,72.0
500,300.0
400,350.0
196,50.0
96,75.0
145,57.5
138,49.0
925,120.0
128,74.0
175,175.0
525,105.0
124,87.0
111,96.0
248,138.0
38,53.0
39,62.5
36,53.0
105,120.0
150,275.0
300,58.0
221,73.0
126,105.0
38,56.0
250,300.0
900,87.0
98,91.0
39,53.0
675,74.0
111,152.0
450,87.0
225,45.0
420,119.5
325,300.0
87,87.0
500,150.0
109,44.0
150,96.0
207,119.5
69,75.0
149,96.0
117,50.0
400,75.0
30,75.0
149,138.0
150,120.0
150,74.0
250,200.0
204,56.0
75,68.0
175,87.0
193,74.0
147,149.0
225,350.0
175,87.0
91,96.0
100,56.0
125,66.0
150,105.0
425,98.0
725,96.0
375,300.0
500,120.0
325,300.0
210,68.0
315,98.0
120,87.0
240,58.0
81,91.0
136,73.0
650,96.0
225,83.0
75,49.0
58,49.0
333,68.0
475,350.0
120,45.0
30,68.0
68,87.0
160,53.0
155,60.0
550,275.0
58,60.0
575,74.0
113,33.5
114,66.0
725,215.0
30,42.333333333333336
625,375.0
116,96.0
200,200.0
775,45.0
203,83.0
119,74.0
475,91.0
250,87.0
221,150.0
91,50.0
700,83.0
123,50.0
88,74.0
126,78.0
95,68.0
550,150.0
91,50.0
425,60.0
575,75.0
104,56.0
63,56.0
475,45.0
36,42.333333333333336
700,72.0
450,337.5
700,105.0
79,83.0
675,105.0
147,56.0
144,96.0
116,120.0
550,300.0
350,225.0
300,96.0
223,138.0
93,87.0
320,350.0
173,91.0
670,508.3333333333333
475,72.0
192,57.5
275,225.0
189,164.0
175,300.0
163,119.5
158,75.0
51,49.0
216,125.0
425,225.0
275,350.0
130,87.0
1125,572.5
174,59.5
210,75.0
325,300.0
325,350.0
44,59.5
825,96.0
120,152.0
63,96.0
575,58.0
132,119.5
375,105.0
154,53.0
350,350.0
90,87.0
278,105.0
179,74.0
175,200.0
300,300.0
96,56.0
45,53.0
68,87.0
210,50.0
77,53.0
400,50.0
62,42.0
170,74.0
450,105.0
120,91.0
84,96.0
425,91.0
133,60.0
250,300.0
725,87.0
375,350.0
208,119.5
300,350.0
450,250.0
219,120.0
147,74.0
213,98.0
95,164.0
53,58.0
174,120.0
400,105.0
175,58.0
319,150.0
135,57.5
243,87.0
138,120.0
132,45.0
109,59.5
184,138.0
400,350.0
98,62.0
125,275.0
96,56.0
150,200.0
248,120.0
98,150.0
135,96.0
400,75.0
36,87.0
196,44.0
78,68.0
145,87.0
175,200.0
200,225.0
90,62.0
650,58.0
163,83.0
450,149.0
825,91.0
78,33.5
400,375.0
400,119.5
182,105.0
150,225.0
475,150.0
252,56.0
240,59.5
125,75.0
450,41.0
600,412.5
124,138.0
79,74.0
85,68.0
1020,155.0
176,150.0
75,33.5
300,300.0
107,75.0
200,225.0
200,45.0
300,300.0
350,105.0
91,83.0
925,87.0
350,350.0
98,120.0
68,41.0
700,105.0
150,87.0
625,150.0
850,150.0
91,87.0
650,350.0
550,300.0
375,87.0
66,72.0
65,62.0
287,119.5
94,44.0
142,84.0
54,75.0
41,91.0
120,120.0
111,59.5
275,300.0
140,96.0
264,91.0
425,87.0
525,155.0
78,68.0
112,74.0
42,50.0
228,53.0
137,87.0
102,87.0
91,96.0
425,75.0
69,96.0
325,87.0
87,49.0
400,150.0
38,50.0
58,68.0
169,96.0
293,149.0
700,75.0
203,57.5
271,87.0
85,53.0
158,149.0
325,225.0
91,49.0
112,91.0
188,91.0
233,87.0
58,57.5
289,42.333333333333336
250,300.0
119,68.0
117,87.0
65,56.0
50,150.0
425,50.0
450,105.0
525,150.0
254,45.0
125,50.0
300,87.0
87,60.0
525,155.0
150,49.0
87,87.0
116,68.0
53,62.5
119,44.0
225,162.5
247,138.0
125,105.0
275,74.0
84,72.0
175,56.0
350,375.0
725,120.0
68,53.0
210,60.0
117,120.0
800,87.0
68,98.0
106,119.5
475,152.0
900,96.0
48,50.0
725,45.0
120,164.0
161,96.0
425,87.0
161,74.0
68,56.0
250,53.0
91,44.0
375,375.0
225,175.0
98,87.0
725,508.3333333333333
58,50.0
116,74.0
208,87.0
26,41.0
100,250.0
124,62.0
41,49.0
625,72.0
70,33.5
900,96.0
575,83.0
65,53.0
625,120.0
525,96.0
83,62.0
170,87.0
113,105.0
248,141.0
95,87.0
375,96.0
825,87.0
218,150.0
36,53.0
525,525.0
95,96.0
825,150.0
182,138.0
123,125.0
675,96.0
145,62.0
68,75.0
88,33.5
145,53.0
200,250.0
120,49.0
158,164.0
175,50.0
300,75.0
250,200.0
225,87.0
600,96.0
1075,120.0
56,50.0
200,225.0
275,53.0
122,87.0
200,96.0
56,53.0
128,68.0
950,105.0
450,50.0
122,150.0
325,225.0
700,350.0
31,45.0
54,45.0
425,50.0
90,96.0
126,50.0
700,138.0
173,58.0
275,87.0
36,50.0
147,87.0
75,53.0
142,72.0
217,105.0
775,164.0
800,508.3333333333333
145,62.5
175,175.0
550,96.0
189,105.0
91,105.0
575,575.0
300,105.0
520,525.0
500,87.0
116,105.0
215,164.0
196,150.0
44,96.0
175,141.0
135,125.0
150,200.0
275,275.0
65,49.0
300,300.0
350,83.0
38,96.0
47,68.0
150,74.0
525,119.5
98,120.0
143,105.0
1000,96.0
112,105.0
105,72.0
575,105.0
315,98.0
91,152.0
175,105.0
231,150.0
196,150.0
400,200.0
125,125.0
125,87.0
81,45.0
90,44.0
83,87.0
200,50.0
94,96.0
575,87.0
62,53.0
201,138.0
625,96.0
50,75.0
725,57.5
231,120.0
96,105.0
175,237.5
140,59.5
375,91.0
158,49.0
475,138.0
223,49.0
425,57.5
145,60.0
53,53.0
100,125.0
138,105.0
175,45.0
300,225.0
119,105.0
675,75.0
325,87.0
152,53.0
204,66.0
175,175.0
125,152.0
500,510.0
248,105.0
375,105.0
84,87.0
142,74.0
45,49.0
119,45.0
119,60.0
180,87.0
116,152.0
550,105.0
95,120.0
150,150.0
74,96.0
225,96.0
125,87.0
298,150.0
91,91.0
288,87.0
575,62.0
225,175.0
113,49.0
775,164.0
600,45.0
175,175.0
281,66.0
194,96.0
138,75.0
53,62.0
208,150.0
625,120.0
650,150.0
225,91.0
203,120.0
925,105.0
147,105.0
450,75.0
101,42.333333333333336
158,58.0
224,149.0
54,59.5
375,120.0
350,66.0
525,120.0
49,87.0
186,152.0
60,60.0
123,72.0
45,62.5
105,87.0
60,56.0
173,155.0
160,96.0
111,125.0
152,66.0
156,152.0
375,87.0
75,44.0
74,75.0
200,200.0
58,91.0
1025,119.5
128,141.0
91,74.0
825,550.0
233,96.0
111,44.0
150,75.0
182,125.0
400,68.0
224,49.0
125,58.0
198,83.0
725,50.0
675,87.0
117,155.0
140,155.0
232,91.0
233,164.0
300,350.0
700,72.0
113,73.0
194,150.0
44,45.0
800,87.0
109,44.0
182,59.5
225,50.0
83,33.5
160,150.0
270,84.0
263,164.0
375,96.0
350,150.0
250,300.0
165,152.0
147,45.0
61,87.0
65,96.0
200,62.0
149,119.5
143,62.5
575,300.0
68,45.0
400,337.5
104,119.5
775,350.0
131,141.0
128,96.0
99,56.0
53,58.0
150,42.333333333333336
175,175.0
140,49.0
98,49.0
225,60.0
152,105.0
56,58.0
176,105.0
101,96.0
525,200.0
500,164.0
51,45.0
189,105.0
40,42.0
325,337.5
74,50.0
145,59.5
250,50.0
350,350.0
50,75.0
169,91.0
475,75.0
75,45.0
900,572.5
875,96.0
94,87.0
63,49.0
400,96.0
181,120.0
248,68.0
261,150.0
149,49.0
575,350.0
215,105.0
182,150.0
850,87.0
225,91.0
49,66.0
176,91.0
111,62.5
69,74.0
520,152.0
149,87.0
450,87.0
525,152.0
38,56.0
650,138.0
99,87.0
525,300.0
101,44.0
149,138.0
175,237.5
400,225.0
206,105.0
51,50.0
950,152.0
125,33.5
155,45.0
775,68.0
169,105.0
875,120.0
200,33.5
62,58.0
275,57.5
275,275.0
149,150.0
500,350.0
86,105.0
178,57.5
300,225.0
116,58.0
350,300.0
173,87.0
210,53.0
33,44.0
350,98.0
293,72.0
575,164.0
58,58.0
325,225.0
275,50.0
192,42.333333333333336
175,45.0
105,50.0
131,87.0
600,87.0
1075,572.5
94,120.0
150,175.0
300,96.0
255,150.0
75,96.0
250,225.0
825,96.0
124,96.0
25,62.0
275,87.0
725,275.0
34,44.0
675,572.5
65,56.0
250,300.0
175,50.0
223,105.0
85,87.0
420,152.0
225,105.0
248,105.0
625,149.0
195,87.0
425,66.0
158,87.0
111,84.0
179,49.0
34,41.0
1000,225.0
131,125.0
122,152.0
168,96.0
95,105.0
232,72.0
450,120.0
675,155.0
675,149.0
600,119.5
210,96.0
145,75.0
136,150.0
263,125.0
475,72.0
203,138.0
350,53.0
152,45.0
175,175.0
825,87.0
163,105.0
0,44.0
233,149.0
225,225.0
550,375.0
26,58.0
196,150.0
125,200.0
34,42.333333333333336
41,74.0
275,87.0
102,96.0
59,53.0
47,75.0
325,120.0
175,87.0
181,87.0
106,53.0
200,200.0
194,75.0
225,237.5
80,49.0
56,105.0
240,59.5
181,96.0
725,68.0
625,91.0
160,96.0
225,33.5
38,50.0
130,45.0
225,300.0
625,350.0
65,59.5
975,105.0
247,74.0
500,87.0
60,58.0
147,87.0
142,91.0
470,525.0
275,300.0
20,41.0
112,68.0
109,138.0
325,300.0
200,75.0
425,87.0
231,105.0
27,60.0
51,49.0
50,50.0
44,50.0
278,56.0
200,33.5
68,62.0
105,155.0
225,350.0
81,87.0
500,120.0
131,84.0
173,141.0
72,58.0
256,125.0
400,45.0
65,75.0
700,56.0
81,74.0
275,350.0
109,72.0
69,68.0
400,350.0
74,62.0
210,60.0
150,44.0
209,119.5
91,45.0
800,87.0
275,215.0
225,200.0
600,350.0
150,75.0
240,119.5
175,98.0
113,49.0
675,138.0
101,68.0
375,337.5
425,45.0
145,78.0
350,300.0
116,75.0
136,62.0
225,225.0
187,141.0
264,50.0
54,96.0
109,141.0
90,87.0
150,150.0
975,105.0
134,150.0
58,50.0
98,41.0
272,68.0
206,149.0
47,59.5
250,300.0
167,152.0
105,87.0
74,74.0
128,91.0
225,75.0
190,87.0
65,59.5
625,350.0
116,74.0
825,119.5
189,150.0
575,105.0
202,120.0
90,68.0
272,152.0
160,66.0
100,50.0
450,375.0
350,275.0
250,225.0
250,105.0
77,56.0
194,138.0
145,119.5
100,125.0
475,120.0
374,62.5
111,83.0
325,120.0
215,96.0
83,83.0
425,87.0
123,72.0
140,68.0
70,75.0
200,150.0
73,120.0
259,96.0
94,50.0
83,68.0
200,45.0
475,56.0
52,53.0
150,200.0
275,120.0
42,50.0
250,275.0
167,155.0
600,120.0
233,138.0
425,96.0
138,96.0
800,120.0
225,83.0
72,68.0
124,68.0
156,96.0
500,152.0
184,138.0
137,120.0
300,350.0
245,120.0
250,225.0
238,155.0
94,120.0
300,87.0
600,58.0
153,138.0
273,96.0
69,96.0
74,50.0
120,96.0
300,87.0
175,119.5
325,225.0
308,150.0
218,105.0
173,138.0
1075,119.5
27,42.333333333333336
650,87.0
195,96.0
775,87.0
145,96.0
350,59.5
77,66.0
150,300.0
49,87.0
775,300.0
60,42.333333333333336
194,138.0
133,120.0
20,42.333333333333336
475,572.5
200,150.0
126,155.0
175,96.0
525,375.0
224,96.0
225,58.0
175,150.0
85,87.0
104,96.0
525,74.0
475,300.0
725,120.0
200,187.5
256,155.0
165,105.0
210,91.0
138,87.0
625,87.0
174,120.0
300,119.5
375,350.0
98,119.5
120,42.333333333333336
246,155.0
525,412.5
131,105.0
525,150.0
75,49.0
175,75.0
600,96.0
171,119.5
117,87.0
300,300.0
101,87.0
475,150.0
1000,572.5
53,75.0
400,237.5
400,87.0
575,60.0
231,105.0
250,300.0
375,96.0
256,96.0
123,120.0
124,149.0
217,105.0
1000,96.0
325,275.0
85,42.0
278,149.0
124,42.333333333333336
550,300.0
500,225.0
270,96.0
175,87.0
51,53.0
425,105.0
525,66.0
42,53.0
144,149.0
925,45.0
325,200.0
59,49.0
125,68.0
107,72.0
61,87.0
49,49.0
475,200.0
300,375.0
350,75.0
182,138.0
88,56.0
333,98.0
500,508.3333333333333
163,72.0
87,98.0
750,87.0
650,350.0
163,105.0
143,68.0
200,50.0
150,105.0
19,50.0
525,225.0
875,96.0
384,141.0
150,155.0
175,200.0
325,150.0
123,105.0
750,350.0
56,87.0
700,350.0
325,75.0
400,72.0
375,105.0
325,57.5
150,150.0
650,572.5
44,105.0
180,120.0
125,120.0
520,510.0
272,125.0
203,164.0
450,68.0
218,74.0
32,42.333333333333336
238,83.0
75,66.0
78,45.0
94,50.0
600,125.0
188,91.0
27,58.0
233,155.0
625,96.0
102,105.0
500,119.5
425,150.0
525,105.0
200,275.0
179,119.5
400,66.0
126,45.0
46,49.0
204,138.0
131,73.0
65,50.0
400,350.0
375,237.5
475,87.0
196,125.0
102,50.0
111,45.0
1075,150.0
450,300.0
200,215.0
135,87.0
44,73.0
550,225.0
206,56.0
175,150.0
35,50.0
155,74.0
87,83.0
85,91.0
280,91.0
65,56.0
216,119.5
90,62.5
273,149.0
425,105.0
117,105.0
138,75.0
213,42.333333333333336
158,152.0
176,68.0
550,200.0
225,49.0
60,96.0
350,225.0
188,87.0
133,75.0
46,53.0
128,87.0
218,87.0
98,120.0
33,56.0
128,74.0
78,60.0
109,73.0
200,87.0
169,120.0
600,87.0
275,105.0
200,50.0
425,550.0
60,68.0
140,120.0
108,83.0
75,49.0
101,74.0
250,350.0
200,74.0
105,44.0
525,350.0
184,50.0
150,45.0
210,59.5
550,96.0
154,98.0
60,87.0
850,98.0
525,225.0
425,150.0
225,175.0
111,49.0
1070,550.0
145,74.0
550,510.0
225,105.0
300,275.0
650,87.0
100,87.0
176,84.0
81,120.0
161,50.0
550,575.0
300,87.0
325,96.0
88,75.0
63,120.0
225,175.0
69,56.0
218,84.0
675,45.0
124,49.0
60,53.0
100,141.0
175,250.0
123,68.0
322,59.5
550,150.0
625,350.0
300,75.0
950,87.0
625,66.0
68,105.0
625,350.0
68,75.0
149,75.0
45,50.0
187,155.0
149,96.0
150,58.0
138,150.0
47,44.0
63,53.0
240,91.0
46,49.0
65,96.0
700,120.0
209,87.0
213,150.0
117,120.0
111,72.0
350,350.0
128,68.0
306,138.0
104,72.0
138,96.0
625,87.0
81,45.0
200,350.0
575,575.0
475,175.0
700,105.0
75,68.0
147,60.0
225,87.0
53,45.0
53,98.0
700,74.0
125,300.0
105,59.5
113,105.0
179,125.0
575,350.0
233,152.0
107,53.0
825,150.0
149,120.0
75,75.0
50,150.0
425,350.0
125,75.0
700,575.0
54,73.0
202,150.0
350,75.0
35,44.0
196,84.0
875,150.0
725,87.0
45,53.0
675,275.0
128,72.0
74,78.0
149,149.0
375,350.0
168,87.0
49,42.0
19,66.0
200,87.0
273,96.0
176,120.0
248,119.5
375,120.0
263,119.5
150,200.0
33,58.0
224,42.333333333333336
250,96.0
142,152.0
450,60.0
100,200.0
196,66.0
91,96.0
150,105.0
550,152.0
176,59.5
200,275.0
450,75.0
195,138.0
200,96.0
175,150.0
675,152.0
425,72.0
94,96.0
131,84.0
175,300.0
219,75.0
675,105.0
88,73.0
194,155.0
167,138.0
56,49.0
125,105.0
850,138.0
281,68.0
140,60.0
109,68.0
300,120.0
175,87.0
75,87.0
225,96.0
525,200.0
56,42.0
26,66.0
450,250.0
163,91.0
158,150.0
175,187.5
200,83.0
36,50.0
143,91.0
69,62.5
400,75.0
73,53.0
175,87.0
162,105.0
26,33.5
225,33.5
525,200.0
20,50.0
117,57.5
174,78.0
305,120.0
51,49.0
319,56.0
70,45.0
144,119.5
140,44.0
400,575.0
100,57.5
149,105.0
300,375.0
200,50.0
149,33.5
400,300.0
225,300.0
245,45.0
22,33.5
150,237.5
350,300.0
350,150.0
200,87.0
180,119.5
200,60.0
195,78.0
165,50.0
125,42.333333333333336
825,375.0
600,572.5
294,68.0
54,68.0
100,350.0
105,73.0
850,412.5
70,49.0
275,56.0
81,105.0
44,42.333333333333336
169,155.0
173,83.0
102,42.333333333333336
143,125.0
290,120.0
65,87.0
180,152.0
161,149.0
135,87.0
132,72.0
65,44.0
550,237.5
275,96.0
224,119.5
105,66.0
475,225.0
175,50.0
625,58.0
225,175.0
15,42.0
208,87.0
149,50.0
31,41.0
134,125.0
650,87.0
58,96.0
275,87.0
525,164.0
117,87.0
119,125.0
173,87.0
272,73.0
45,44.0
88,96.0
625,375.0
275,300.0
188,96.0
27,87.0
350,45.0
375,120.0
575,119.5
108,91.0
224,138.0
35,33.5
48,105.0
88,44.0
75,66.0
112,96.0
175,87.0
400,105.0
575,375.0
142,87.0
104,53.0
21,44.0
135,150.0
209,119.5
125,74.0
600,50.0
147,152.0
325,150.0
156,96.0
137,87.0
475,375.0
74,44.0
850,572.5
44,44.0
275,375.0
500,150.0
190,74.0
200,200.0
87,87.0
90,41.0
700,350.0
280,50.0
450,87.0
150,50.0
137,91.0
58,120.0
475,212.5
182,96.0
40,50.0
650,105.0
95,105.0
189,105.0
192,87.0
1025,164.0
223,150.0
175,96.0
275,300.0
196,152.0
231,96.0
125,50.0
124,152.0
350,337.5
128,87.0
91,41.0
72,41.0
113,149.0
160,87.0
128,42.333333333333336
51,62.5
247,87.0
500,96.0
98,62.0
306,49.0
122,53.0
150,149.0
112,68.0
131,73.0
128,87.0
74,49.0
140,74.0
98,49.0
500,150.0
85,83.0
182,42.0
925,96.0
425,75.0
59,56.0
128,62.5
425,508.3333333333333
54,56.0
180,58.0
