y_real,y_pred_local
52,72.0
275,275.0
206,525.0
155,158.0
182,74.0
182,167.0
375,131.5
65,84.0
175,160.0
725,160.0
250,72.0
50,52.0
650,123.0
231,124.0
475,466.6666666666667
138,122.0
105,74.0
925,415.0
311,210.0
350,400.0
125,400.0
252,165.0
120,75.0
25,275.0
98,119.0
300,251.5
100,131.5
500,275.0
250,128.0
300,466.6666666666667
203,158.0
575,200.66666666666666
80,123.0
275,500.0
275,275.0
75,74.0
70,138.0
221,145.0
202,72.0
325,275.0
317,167.0
1045,160.0
112,128.0
495,176.5
168,158.0
123,75.0
119,124.0
61,75.0
525,425.0
116,117.0
700,123.0
200,450.0
35,70.0
168,159.5
83,112.0
238,158.0
116,105.66666666666667
49,52.0
500,128.0
450,72.0
203,124.0
119,72.0
225,437.5
155,75.0
475,450.0
1220,637.5
203,173.0
44,84.0
350,415.0
245,160.0
325,275.0
575,600.0
550,475.0
175,400.0
99,120.0
54,75.0
56,119.0
163,66.5
425,275.0
75,52.0
225,119.0
325,72.0
525,233.33333333333334
375,112.0
204,140.0
350,415.0
29,47.0
56,119.0
525,600.0
70,128.0
675,74.0
650,233.33333333333334
123,145.0
263,113.5
279,66.0
135,72.0
236,173.0
250,425.0
56,122.0
625,145.0
145,123.0
500,415.0
98,111.5
263,160.0
150,160.0
500,425.0
150,119.75
600,201.0
84,104.0
100,500.0
350,84.0
275,52.0
300,275.0
111,96.0
325,450.0
200,500.0
600,160.0
51,52.0
52,52.0
91,75.0
216,166.0
189,174.0
224,120.0
165,145.0
240,182.0
124,96.0
231,160.0
545,600.0
325,600.0
120,120.0
115,52.0
225,425.0
725,160.0
90,74.0
162,173.0
163,176.5
350,425.0
450,600.0
225,425.0
200,431.25
131,72.0
125,425.0
111,111.5
825,152.0
87,74.0
203,158.0
105,140.0
169,123.0
181,104.0
91,123.0
38,124.0
850,400.0
60,72.0
26,84.0
575,106.0
289,207.0
400,123.0
104,113.5
72,123.0
123,113.5
925,425.0
70,96.0
108,123.0
203,149.0
218,94.0
105,174.0
750,400.0
900,132.0
75,88.0
202,145.0
120,47.0
61,145.0
47,96.0
175,233.33333333333334
248,475.0
87,70.0
90,111.5
85,201.0
119,94.0
106,128.0
150,119.75
225,145.0
56,70.0
68,122.0
149,72.0
173,113.5
600,600.0
125,425.0
900,201.0
100,500.0
750,120.0
125,52.0
116,166.0
550,600.0
225,115.0
150,500.0
150,104.0
375,233.33333333333334
250,425.0
113,72.0
475,72.0
275,437.5
208,160.0
198,125.0
133,113.5
145,75.0
725,106.0
203,120.0
112,120.0
59,72.0
239,159.5
525,425.0
94,124.0
50,85.0
575,700.0
182,160.0
425,115.0
825,400.0
325,84.0
75,275.0
105,84.0
300,600.0
475,475.0
125,400.0
775,650.0
600,84.0
109,128.0
232,178.5
500,500.0
225,275.0
525,425.0
450,425.0
140,72.0
825,233.0
140,134.33333333333334
143,72.0
250,72.0
65,74.0
500,475.0
400,600.0
196,47.0
96,140.0
145,123.0
138,72.0
925,113.5
128,145.0
175,275.0
525,84.0
124,120.0
111,165.0
248,173.0
38,52.0
39,128.0
36,70.0
105,113.5
150,500.0
300,425.0
221,145.0
126,106.0
38,72.0
250,275.0
900,125.0
98,84.0
39,75.0
675,145.0
111,160.0
450,117.0
225,120.0
420,178.5
325,415.0
87,104.0
500,176.5
109,75.0
150,201.0
207,160.0
69,72.0
149,201.0
117,47.0
400,47.0
30,81.0
149,149.0
150,113.5
150,145.0
250,500.0
204,166.0
75,72.0
175,125.0
193,96.0
147,160.0
225,425.0
175,125.0
91,94.0
100,166.0
125,72.0
150,117.0
425,123.0
725,120.0
375,425.0
500,113.5
325,415.0
210,119.0
315,145.0
120,84.0
240,60.0
81,94.0
136,145.0
650,104.0
225,125.0
75,128.0
58,122.0
333,124.0
475,415.0
120,120.0
30,128.0
68,104.0
160,75.0
155,128.0
550,500.0
58,72.0
575,123.0
113,72.0
114,166.0
725,425.0
30,72.0
625,450.0
116,120.0
200,275.0
775,112.0
203,84.0
119,96.0
475,170.0
250,300.0
221,176.5
91,52.0
700,125.0
123,200.66666666666666
88,145.0
126,123.0
95,122.0
550,637.5
91,123.0
425,128.0
575,72.0
104,72.0
63,72.0
475,112.0
36,72.0
700,74.0
450,415.0
700,119.75
79,125.0
675,152.0
147,166.0
144,120.0
116,119.75
550,475.0
350,275.0
300,637.5
223,149.0
93,124.0
320,431.25
173,170.0
670,425.0
475,437.5
192,145.0
275,275.0
189,167.0
175,275.0
163,160.0
158,96.0
51,72.0
216,158.0
425,425.0
275,600.0
130,74.0
1125,700.0
174,72.0
210,140.0
325,475.0
325,431.25
44,72.0
825,251.5
120,233.0
63,120.0
575,425.0
132,178.5
375,341.6666666666667
154,52.0
350,431.25
90,117.0
278,74.0
179,85.0
175,275.0
300,415.0
96,124.0
45,52.0
68,120.0
210,70.0
77,70.0
400,52.0
62,75.0
170,85.0
450,74.0
120,120.0
84,120.0
425,152.0
133,72.0
250,275.0
725,341.6666666666667
375,415.0
208,160.0
300,425.0
450,425.0
219,174.0
147,96.0
213,145.0
95,167.0
53,52.0
174,119.75
400,106.0
175,52.0
319,176.5
135,145.0
243,74.0
138,113.5
132,175.0
109,140.0
184,149.0
400,431.25
98,72.0
125,500.0
96,166.0
150,275.0
248,466.6666666666667
98,210.0
135,120.0
400,72.0
36,84.0
196,140.0
78,72.0
145,128.0
175,275.0
200,425.0
90,128.0
650,425.0
163,84.0
450,233.0
825,152.0
78,96.0
400,450.0
400,178.5
182,74.0
150,425.0
475,475.0
252,115.0
240,140.0
125,72.0
450,72.0
600,425.0
124,173.0
79,145.0
85,74.0
1020,158.0
176,176.5
75,96.0
300,415.0
107,85.0
200,425.0
200,233.33333333333334
300,425.0
350,74.0
91,84.0
925,124.0
350,425.0
98,113.5
68,96.0
700,400.0
150,466.6666666666667
625,210.0
850,210.0
91,84.0
650,537.5
550,275.0
375,117.0
66,125.0
65,72.0
287,178.5
94,140.0
142,47.0
54,81.0
41,84.0
120,165.0
111,140.0
275,425.0
140,165.0
264,170.0
425,275.0
525,525.0
78,128.0
112,72.0
42,70.0
228,75.0
137,74.0
102,120.0
91,120.0
425,72.0
69,165.0
325,341.6666666666667
87,72.0
400,637.5
38,52.0
58,119.0
169,120.0
293,160.0
700,166.0
203,145.0
271,120.0
85,52.0
158,160.0
325,425.0
91,93.0
112,94.0
188,94.0
233,74.0
58,123.0
289,140.0
250,275.0
119,119.0
117,117.0
65,115.0
50,275.0
425,200.66666666666666
450,84.0
525,475.0
254,88.0
125,70.0
300,123.0
87,72.0
525,158.0
150,72.0
87,105.0
116,122.0
53,72.0
119,72.0
225,500.0
247,149.0
125,400.0
275,72.0
84,74.0
175,166.0
350,450.0
725,113.5
68,52.0
210,166.0
117,174.0
800,128.0
68,145.0
106,160.0
475,550.0
900,104.0
48,200.66666666666666
725,112.0
120,167.0
161,165.0
425,125.0
161,72.0
68,72.0
250,52.0
91,75.0
375,450.0
225,500.0
98,128.0
725,425.0
58,52.0
116,145.0
208,120.0
26,72.0
100,425.0
124,72.0
41,72.0
625,437.5
70,96.0
900,104.0
575,125.0
65,52.0
625,119.75
525,120.0
83,72.0
170,125.0
113,142.5
248,525.0
95,111.5
375,251.5
825,275.0
218,176.5
36,70.0
525,425.0
95,120.0
825,176.5
182,149.0
123,123.0
675,201.0
145,128.0
68,140.0
88,72.0
145,70.0
200,425.0
120,74.0
158,167.0
175,200.66666666666666
300,47.0
250,275.0
225,128.0
600,475.0
1075,466.6666666666667
56,52.0
