y_real,y_pred_local
52,203.0
275,725.0
206,179.0
155,179.0
182,217.0
182,290.0
375,244.0
65,175.0
175,215.0
725,179.0
250,203.0
50,179.0
650,179.0
231,203.0
475,244.0
138,179.0
105,188.0
925,825.0
311,301.5
350,231.0
125,252.0
252,252.0
120,179.0
25,725.0
98,259.0
300,233.0
100,244.0
500,662.5
250,179.0
300,248.0
203,179.0
575,215.0
80,179.0
275,787.5
275,662.5
75,188.0
70,233.0
221,179.0
202,179.0
325,725.0
317,290.0
1045,215.0
112,179.0
495,301.5
168,179.0
123,179.0
119,203.0
61,179.0
525,800.0
116,233.0
700,179.0
200,248.0
35,217.0
168,208.0
83,233.0
238,179.0
116,217.0
49,217.0
500,203.0
450,203.0
203,179.0
119,179.0
225,208.0
155,179.0
475,950.0
1220,301.5
203,179.0
44,175.0
350,775.0
245,208.0
325,800.0
575,1075.0
550,950.0
175,252.0
99,208.0
54,179.0
56,217.0
163,233.0
425,800.0
75,179.0
225,203.0
325,179.0
525,233.0
375,233.0
204,179.0
350,775.0
29,252.0
56,203.0
525,800.0
70,208.0
675,208.0
650,233.0
123,179.0
263,244.0
279,208.0
135,179.0
236,179.0
250,800.0
56,179.0
625,179.0
145,179.0
500,825.0
98,233.0
263,300.0
150,215.0
500,208.0
150,244.0
600,215.0
84,233.0
100,725.0
350,215.0
275,179.0
300,725.0
111,179.0
325,825.0
200,675.0
600,215.0
51,208.0
52,217.0
91,179.0
216,233.0
189,244.0
224,175.0
165,179.0
240,179.0
124,179.0
231,217.0
545,1070.0
325,800.0
120,215.0
115,179.0
225,775.0
725,215.0
90,188.0
162,179.0
163,301.5
350,800.0
450,800.0
225,725.0
200,825.0
131,179.0
125,725.0
111,233.0
825,259.0
87,208.0
203,179.0
105,203.0
169,179.0
181,208.0
91,179.0
38,203.0
850,252.0
60,203.0
26,215.0
575,231.0
289,217.0
400,179.0
104,248.0
72,179.0
123,244.0
925,208.0
70,179.0
108,179.0
203,179.0
218,233.0
105,244.0
750,252.0
900,215.0
75,233.0
202,179.0
120,196.0
61,179.0
47,179.0
175,233.0
248,233.0
87,215.0
90,233.0
85,217.0
119,233.0
106,208.0
150,244.0
225,179.0
56,215.0
68,179.0
149,179.0
173,244.0
600,900.0
125,662.5
900,215.0
100,675.0
750,215.0
125,208.0
116,179.0
550,1075.0
225,179.0
150,675.0
150,233.0
375,233.0
250,725.0
113,179.0
475,203.0
275,208.0
208,175.0
198,175.0
133,259.0
145,179.0
725,231.0
203,175.0
112,215.0
59,179.0
239,208.0
525,1070.0
94,179.0
50,179.0
575,1137.5
182,300.0
425,179.0
825,252.0
325,215.0
75,725.0
105,208.0
300,800.0
475,787.5
125,252.0
775,900.0
600,215.0
109,208.0
232,179.0
500,675.0
225,737.5
525,725.0
450,800.0
140,179.0
825,215.0
140,233.0
143,179.0
250,179.0
65,217.0
500,825.0
400,800.0
196,196.0
96,179.0
145,179.0
138,203.0
925,244.0
128,179.0
175,737.5
525,215.0
124,208.0
111,196.0
248,179.0
38,179.0
39,203.0
36,175.0
105,244.0
150,725.0
300,208.0
221,179.0
126,231.0
38,203.0
250,725.0
900,215.0
98,215.0
39,179.0
675,179.0
111,208.0
450,233.0
225,233.0
420,179.0
325,775.0
87,233.0
500,301.5
109,179.0
150,215.0
207,208.0
69,179.0
149,217.0
