y_real,y_pred_local
52,20.0
275,166.66666666666666
206,104.0
155,160.0
182,73.0
182,136.0
375,75.0
65,73.0
175,158.0
725,104.0
250,22.0
50,34.0
650,141.0
231,56.0
475,73.0
138,50.0
105,87.0
925,350.0
311,136.0
350,73.0
125,26.0
252,102.0
120,46.0
25,150.0
98,73.0
300,98.0
100,75.0
500,187.5
250,52.0
300,75.0
203,160.0
575,48.0
80,39.0
275,183.33333333333334
275,187.5
75,87.0
70,56.0
221,52.0
202,52.0
325,125.0
317,136.0
1045,158.0
112,52.0
495,136.0
168,150.0
123,34.0
119,56.0
61,34.0
525,300.0
116,73.0
700,52.0
200,73.0
35,48.0
168,65.0
83,56.0
238,160.0
116,48.0
49,43.0
500,27.0
450,22.0
203,52.0
119,84.0
225,65.0
155,58.0
475,325.0
1220,136.0
203,150.0
44,73.0
350,350.0
245,104.0
325,258.3333333333333
575,522.5
550,250.0
175,26.0
99,84.0
54,58.0
56,43.0
163,56.0
425,258.3333333333333
75,38.0
225,56.0
325,84.0
525,56.0
375,56.0
204,84.0
350,350.0
29,26.0
56,56.0
525,350.0
70,87.0
675,87.0
650,56.0
123,90.0
263,75.0
279,43.0
135,84.0
236,150.0
250,350.0
56,50.0
625,52.0
145,150.0
500,350.0
98,73.0
263,158.0
150,158.0
500,43.0
150,75.0
600,102.0
84,73.0
100,183.33333333333334
350,73.0
275,46.0
300,75.0
111,63.0
325,325.0
200,166.66666666666666
600,158.0
51,58.0
52,43.0
91,46.0
216,102.0
189,75.0
224,102.0
165,78.0
240,150.0
124,47.0
231,84.0
545,537.5
325,350.0
120,102.0
115,38.0
225,225.0
725,158.0
90,87.0
162,141.0
163,136.0
350,350.0
450,350.0
225,162.5
200,300.0
131,84.0
125,256.25
111,73.0
825,73.0
87,87.0
203,160.0
105,59.0
169,141.0
181,102.0
91,65.0
38,61.0
850,102.0
60,59.0
26,73.0
575,73.0
289,158.0
400,90.0
104,75.0
72,78.0
123,75.0
925,84.0
70,22.0
108,39.0
203,141.0
218,98.0
105,75.0
750,102.0
900,73.0
75,56.0
202,50.0
120,26.0
61,78.0
47,22.0
175,56.0
248,102.0
87,48.0
90,73.0
85,102.0
119,88.0
106,84.0
150,75.0
