y_real,y_pred_local
52,143.0
275,475.0
206,168.0
155,188.0
182,100.0
182,252.5
375,475.0
65,125.0
175,537.5
725,625.0
250,143.0
50,112.0
650,112.0
231,120.0
475,248.0
138,63.0
105,79.0
925,350.0
311,90.0
350,210.0
125,224.0
252,252.5
120,56.0
25,143.0
98,116.0
300,143.0
100,300.0
500,275.0
250,155.0
300,180.0
203,188.0
575,350.0
80,112.0
275,475.0
275,275.0
75,125.0
70,119.0
221,184.0
202,105.0
325,143.0
317,88.0
1045,537.5
112,155.0
495,825.0
168,112.0
123,77.0
119,120.0
61,77.0
525,427.5
116,252.5
700,400.0
200,210.0
35,95.0
168,140.0
83,119.0
238,188.0
116,152.0
49,95.0
500,147.0
450,143.0
203,123.0
119,143.0
225,362.5
155,50.0
475,300.0
1220,306.0
203,219.0
44,125.0
350,300.0
245,210.0
325,108.0
575,350.0
550,161.0
175,224.0
99,151.5
54,50.0
56,152.0
163,138.0
425,108.0
75,65.0
225,63.0
325,143.0
525,153.0
375,475.0
204,131.0
350,300.0
29,39.0
56,63.0
525,350.0
70,210.0
675,250.0
650,248.0
123,124.0
263,575.0
279,83.0
135,143.0
236,219.0
250,400.0
56,63.0
625,224.0
145,112.0
500,350.0
98,248.0
263,88.0
150,101.0
500,175.0
150,168.0
600,537.5
84,105.0
100,150.0
350,217.0
275,400.0
300,143.0
111,147.0
325,575.0
200,175.0
600,537.5
51,53.0
52,95.0
91,56.0
216,216.0
189,300.0
224,142.0
165,184.0
240,176.0
124,147.0
231,152.0
545,350.0
325,350.0
120,537.5
115,65.0
225,350.0
725,537.5
90,79.0
162,124.0
163,248.0
350,400.0
450,350.0
225,112.0
200,375.0
131,143.0
125,400.0
111,248.0
825,825.0
87,250.0
203,188.0
105,127.0
169,112.0
181,825.0
91,112.0
38,136.0
850,224.0
60,143.0
26,292.0
575,116.0
289,256.0
400,112.0
104,575.0
72,112.0
123,575.0
925,427.5
70,147.0
108,112.0
203,124.0
218,252.5
105,300.0
750,224.0
900,217.0
75,138.0
202,107.0
120,77.0
61,184.0
47,147.0
175,221.0
248,248.0
87,77.0
90,248.0
85,152.0
119,252.5
106,147.0
150,850.0
225,224.0
56,350.0
68,63.0
149,105.0
173,575.0
600,210.0
125,275.0
900,537.5
100,275.0
750,537.5
125,175.0
116,80.0
550,350.0
225,375.0
150,175.0
150,105.0
375,208.0
250,143.0
113,143.0
475,143.0
275,362.5
208,142.0
198,140.0
133,90.0
145,50.0
725,116.0
203,142.0
112,101.0
59,105.0
239,140.0
525,525.0
94,151.5
50,90.0
575,210.0
182,88.0
425,375.0
825,224.0
325,292.0
75,143.0
105,112.0
300,350.0
475,900.0
125,224.0
775,800.0
600,217.0
109,152.5
232,168.0
500,175.0
225,287.5
525,400.0
450,400.0
140,105.0
825,537.5
140,248.0
143,143.0
250,143.0
65,125.0
500,575.0
400,350.0
196,77.0
96,131.0
145,112.0
138,143.0
925,300.0
128,219.0
175,287.5
525,217.0
124,151.5
111,248.0
248,219.0
38,65.0
39,127.0
36,51.0
105,575.0
150,150.0
300,175.0
221,107.0
126,116.0
38,137.0
250,143.0
900,292.0
98,101.0
39,56.0
675,184.0
111,500.0
450,252.5
225,475.0
420,168.0
325,300.0
87,105.0
500,825.0
109,77.0
150,537.5
207,210.0
69,143.0
149,152.0
117,77.0
400,275.0
30,39.0
149,124.0
150,300.0
150,184.0
250,275.0
204,136.0
75,105.0
175,292.0
193,147.0
147,537.5
225,400.0
175,292.0
91,88.0
100,128.0
125,475.0
150,116.0
425,400.0
725,537.5
375,427.5
500,300.0
325,300.0
210,63.0
315,224.0
120,125.0
240,83.0
81,88.0
136,107.0
650,825.0
225,108.0
75,147.0
58,100.0
333,123.0
475,350.0
120,119.0
30,120.0
68,105.0
160,112.0
155,155.0
550,150.0
58,105.0
575,112.0
113,143.0
114,80.0
725,475.0
30,143.0
625,850.0
116,88.0
200,275.0
775,475.0
203,142.0
119,147.0
475,180.0
250,143.0
221,248.0
91,65.0
700,108.0
123,350.0
88,219.0
126,112.0
95,95.0
550,306.0
91,65.0
425,155.0
575,475.0
104,137.0
63,137.0
475,475.0
36,143.0
700,362.5
450,300.0
700,700.0
79,140.0
675,825.0
147,136.0
144,537.5
116,475.0
550,189.0
350,362.5
300,256.0
223,124.0
93,151.5
320,400.0
173,143.0
670,400.0
475,362.5
192,124.0
275,362.5
189,88.0
175,475.0
163,210.0
158,147.0
51,143.0
216,112.0
425,275.0
275,350.0
130,100.0
1125,210.0
174,143.0
210,88.0
325,575.0
325,400.0
44,143.0
825,143.0
120,256.0
63,100.0
575,175.0
132,168.0
375,210.0
154,65.0
350,375.0
90,252.5
278,125.0
179,109.0
175,275.0
300,350.0
96,120.0
45,95.0
68,151.5
210,350.0
77,95.0
400,625.0
62,56.0
170,109.0
450,350.0
120,248.0
84,537.5
425,825.0
133,105.0
250,400.0
725,184.0
375,350.0
208,188.0
300,400.0
450,143.0
219,300.0
147,91.0
213,184.0
95,252.5
53,53.0
174,174.0
400,116.0
175,175.0
319,167.0
135,124.0
243,125.0
138,575.0
132,256.0
109,128.0
184,124.0
400,375.0
98,143.0
125,150.0
96,128.0
150,475.0
248,248.0
98,90.0
135,88.0
400,475.0
36,125.0
196,131.0
78,105.0
145,210.0
175,275.0
200,275.0
90,147.0
650,175.0
163,108.0
450,537.5
825,825.0
78,147.0
400,300.0
400,168.0
182,125.0
150,225.0
475,153.0
252,74.0
240,128.0
125,143.0
450,143.0
600,537.5
124,124.0
79,219.0
85,78.0
1020,400.0
176,825.0
75,147.0
300,350.0
107,90.0
200,225.0
200,248.0
300,427.5
350,350.0
91,142.0
925,151.5
350,400.0
98,90.0
68,91.0
700,210.0
150,198.0
625,800.0
850,850.0
91,105.0
650,189.0
550,475.0
375,252.5
66,140.0
65,143.0
287,168.0
94,88.0
142,77.0
54,39.0
41,101.0
120,90.0
111,127.0
275,427.5
140,88.0
264,143.0
425,250.0
525,224.0
78,96.0
112,143.0
42,77.0
228,56.0
137,100.0
102,151.5
91,100.0
425,143.0
69,167.0
325,184.0
87,143.0
400,306.0
38,53.0
58,100.0
169,100.0
293,101.0
700,80.0
203,124.0
271,151.5
85,65.0
158,101.0
325,225.0
91,155.0
112,252.5
188,252.5
233,79.0
58,112.0
289,120.0
250,143.0
119,63.0
117,252.5
65,74.0
50,143.0
425,350.0
450,217.0
525,306.0
254,138.0
125,350.0
300,625.0
87,105.0
525,400.0
150,143.0
87,105.0
116,95.0
53,143.0
119,143.0
225,400.0
247,124.0
125,210.0
275,143.0
84,100.0
175,128.0
350,575.0
725,300.0
68,65.0
210,123.0
117,300.0
800,427.5
68,224.0
106,147.0
475,500.0
900,825.0
48,147.0
725,475.0
120,252.5
161,248.0
425,292.0
161,143.0
68,137.0
250,400.0
91,77.0
375,575.0
225,225.0
98,210.0
725,400.0
58,53.0
116,219.0
208,151.5
26,143.0
100,143.0
124,143.0
41,143.0
625,362.5
70,147.0
900,825.0
575,108.0
65,65.0
625,600.0
525,537.5
83,143.0
170,140.0
113,140.0
248,175.0
95,248.0
375,143.0
825,250.0
218,248.0
36,51.0
525,525.0
95,142.0
825,825.0
182,124.0
123,112.0
675,537.5
145,147.0
68,120.0
88,143.0
145,95.0
200,143.0
120,78.0
158,88.0
175,350.0
300,275.0
250,475.0
225,210.0
600,221.0
1075,180.0
56,53.0
200,225.0
275,400.0
122,105.0
200,224.0
56,95.0
128,95.0
950,217.0
450,350.0
122,248.0
325,275.0
700,700.0
31,138.0
54,138.0
425,350.0
90,142.0
126,65.0
700,112.0
173,83.0
275,625.0
36,77.0
147,90.0
75,56.0
142,95.0
217,217.0
775,252.5
800,400.0
145,143.0
175,287.5
550,153.0
189,575.0
91,79.0
575,225.0
300,350.0
520,525.0
500,292.0
116,116.0
215,252.5
196,825.0
44,142.0
175,175.0
135,112.0
150,275.0
275,112.0
65,63.0
300,400.0
350,108.0
38,100.0
47,100.0
150,112.0
525,625.0
98,90.0
143,575.0
1000,224.0
112,217.0
105,362.5
575,116.0
315,224.0
91,125.0
175,210.0
231,800.0
196,90.0
400,275.0
125,112.0
125,427.5
81,119.0
90,77.0
83,100.0
200,350.0
94,142.0
575,625.0
62,152.0
201,124.0
625,252.5
50,39.0
725,124.0
231,208.0
96,116.0
175,143.0
140,128.0
375,180.0
158,63.0
475,112.0
223,96.0
425,112.0
145,123.0
53,65.0
100,143.0
138,105.0
175,256.0
300,275.0
119,116.0
675,475.0
325,143.0
152,152.0
204,123.0
175,175.0
125,125.0
500,112.0
248,105.0
375,350.0
84,152.5
142,112.0
45,96.0
119,119.0
119,74.0
180,161.0
116,142.0
550,825.0
95,575.0
150,143.0
74,88.0
225,216.0
125,475.0
298,306.0
91,101.0
288,151.5
575,147.0
225,287.5
113,143.0
775,252.5
600,256.0
175,175.0
281,123.0
194,88.0
138,143.0
53,143.0
208,216.0
625,575.0
650,550.0
225,143.0
203,300.0
925,210.0
147,350.0
450,275.0
101,90.0
158,83.0
224,88.0
54,143.0
375,300.0
350,475.0
525,300.0
49,152.5
186,256.0
60,105.0
123,95.0
45,143.0
105,79.0
60,137.0
173,168.0
160,142.0
111,112.0
152,143.0
156,142.0
375,625.0
75,88.0
74,143.0
200,275.0
58,88.0
1025,625.0
128,112.0
91,143.0
825,350.0
233,88.0
111,77.0
150,80.0
182,112.0
400,525.0
224,147.0
125,175.0
198,108.0
725,350.0
675,250.0
117,188.0
140,188.0
232,88.0
233,88.0
300,400.0
700,362.5
113,107.0
194,240.0
44,138.0
800,427.5
109,143.0
182,143.0
225,77.0
83,143.0
160,167.0
270,77.0
263,252.5
375,252.5
350,475.0
250,400.0
165,100.0
147,119.0
61,147.0
65,88.0
200,143.0
149,188.0
143,143.0
575,300.0
68,138.0
400,300.0
104,210.0
775,350.0
131,112.0
128,152.0
99,128.0
53,53.0
150,90.0
175,175.0
140,147.0
98,100.0
225,375.0
152,825.0
56,53.0
176,79.0
101,101.0
525,275.0
500,306.0
51,475.0
189,189.0
40,56.0
325,300.0
74,112.0
145,127.0
250,625.0
350,375.0
50,39.0
169,88.0
475,143.0
75,138.0
900,350.0
875,256.0
94,210.0
63,143.0
400,248.0
181,475.0
248,123.0
261,825.0
149,143.0
575,350.0
215,248.0
182,90.0
850,427.5
225,180.0
49,143.0
176,825.0
111,143.0
69,143.0
