y_real,y_pred_local
52,140.0
275,140.0
206,90.0
155,90.0
182,450.0
182,300.0
375,450.0
65,450.0
175,300.0
725,87.0
250,140.0
50,135.0
650,90.0
231,117.0
475,450.0
138,117.0
105,117.0
925,450.0
311,300.0
350,450.0
125,450.0
252,450.0
120,135.0
25,140.0
98,450.0
300,450.0
100,450.0
500,117.0
250,117.0
300,450.0
203,90.0
575,450.0
80,158.0
275,450.0
275,117.0
75,450.0
70,450.0
221,450.0
202,140.0
325,140.0
317,300.0
1045,300.0
112,117.0
495,300.0
168,90.0
123,135.0
119,117.0
61,135.0
525,450.0
116,450.0
700,450.0
200,450.0
35,450.0
168,117.0
83,450.0
238,90.0
116,450.0
49,450.0
500,140.0
450,140.0
203,117.0
119,140.0
225,450.0
155,135.0
475,450.0
1220,300.0
203,90.0
44,450.0
350,450.0
245,87.0
325,450.0
575,300.0
550,450.0
175,450.0
99,450.0
54,135.0
56,450.0
163,450.0
425,450.0
75,135.0
225,117.0
325,140.0
525,450.0
375,450.0
204,140.0
350,450.0
29,450.0
56,117.0
525,450.0
70,450.0
675,450.0
650,450.0
123,158.0
263,450.0
279,135.0
135,140.0
236,90.0
250,450.0
56,117.0
625,450.0
145,90.0
500,450.0
98,450.0
263,300.0
150,300.0
500,450.0
150,450.0
600,450.0
84,450.0
100,450.0
350,450.0
275,135.0
300,140.0
111,140.0
325,450.0
200,450.0
600,300.0
51,135.0
52,450.0
91,135.0
216,450.0
189,450.0
224,450.0
165,158.0
240,90.0
124,140.0
231,450.0
545,300.0
325,450.0
120,450.0
115,135.0
225,450.0
725,300.0
90,117.0
162,90.0
163,300.0
350,450.0
450,450.0
225,122.0
200,450.0
131,140.0
125,122.0
111,450.0
825,450.0
87,450.0
203,90.0
105,140.0
169,90.0
181,450.0
91,158.0
38,140.0
850,450.0
60,140.0
26,450.0
575,450.0
289,300.0
400,158.0
104,450.0
72,450.0
123,450.0
925,450.0
70,140.0
108,158.0
203,90.0
218,450.0
105,450.0
750,450.0
900,450.0
75,450.0
202,450.0
120,450.0
61,158.0
47,140.0
175,450.0
248,450.0
87,450.0
90,450.0
85,450.0
119,450.0
106,450.0
150,450.0
225,450.0
56,450.0
68,117.0
149,140.0
173,450.0
600,450.0
125,117.0
900,450.0
100,450.0
750,450.0
125,450.0
116,140.0
