y_real,y_pred_local
52,98.0
275,200.0
206,190.5
155,98.0
182,66.66666666666667
182,83.0
375,149.0
65,66.66666666666667
175,174.5
725,98.0
250,98.0
50,44.0
650,120.0
231,101.0
475,221.0
138,98.0
105,112.0
925,437.5
311,169.0
350,208.0
125,157.0
252,83.0
120,63.0
25,200.0
98,85.0
300,201.0
100,149.0
500,200.0
250,90.0
300,217.0
203,115.0
575,145.0
80,116.0
275,425.0
275,200.0
75,101.0
70,111.0
221,109.0
202,85.0
325,200.0
317,83.0
1045,174.5
112,90.0
495,188.0
168,98.0
123,43.0
119,101.0
61,43.0
525,400.0
116,158.0
700,116.0
200,221.0
35,58.0
168,173.0
83,111.0
238,115.0
116,77.0
49,58.0
500,152.0
450,152.0
203,90.0
119,85.0
225,173.0
155,93.0
475,300.0
1220,298.0
203,131.5
44,66.66666666666667
350,437.5
245,173.0
325,300.0
575,275.0
550,525.0
175,157.0
99,158.0
54,93.0
56,77.0
163,128.0
425,300.0
75,44.0
225,120.0
325,85.0
525,198.0
375,111.0
204,140.0
350,437.5
29,59.0
56,120.0
525,441.6666666666667
70,100.0
675,81.0
650,140.0
123,124.0
263,143.0
279,30.0
135,85.0
236,131.5
250,487.5
56,65.5
625,109.0
145,98.0
500,437.5
98,105.0
263,174.5
150,174.5
500,30.0
150,165.0
600,375.0
84,131.0
100,225.0
350,101.0
275,44.0
300,200.0
111,98.0
325,300.0
200,150.0
600,174.5
51,109.0
52,58.0
91,39.0
216,218.0
189,149.0
224,195.0
165,124.0
240,169.5
124,64.0
231,202.0
545,625.0
325,441.6666666666667
120,123.5
115,44.0
225,425.0
725,174.5
90,112.0
162,175.0
163,83.0
350,487.5
450,441.6666666666667
225,400.0
200,350.0
131,85.0
125,400.0
111,105.0
825,165.0
87,59.0
203,98.0
105,152.0
169,120.0
181,188.0
91,116.0
38,109.0
850,233.0
60,152.0
26,131.0
575,101.0
289,166.0
400,116.0
104,143.0
72,109.0
123,119.0
925,158.0
70,64.0
108,116.0
203,175.0
218,158.0
105,149.0
750,233.0
900,215.0
75,128.0
202,190.5
120,59.0
61,124.0
47,64.0
175,198.0
248,217.0
87,75.0
90,105.0
85,202.0
119,158.0
106,85.0
150,150.0
225,109.0
56,75.0
68,65.5
149,85.0
173,143.0
600,650.0
125,425.0
900,233.0
100,200.0
750,123.5
125,58.0
116,87.33333333333333
550,275.0
225,58.0
150,162.5
