y_real,y_pred_local
52,98.0
275,400.0
206,231.0
155,224.0
182,58.0
182,203.0
375,120.0
65,58.0
175,203.0
725,203.0
250,98.0
50,94.0
650,139.5
231,105.0
475,68.0
138,58.0
105,105.0
925,450.0
311,203.0
350,105.0
125,44.0
252,98.0
120,53.0
25,400.0
98,105.0
300,158.0
100,120.0
500,200.0
250,158.0
300,158.0
203,224.0
575,44.0
80,122.0
275,150.0
275,200.0
75,105.0
70,44.0
221,123.0
202,150.0
325,316.6666666666667
317,203.0
1045,203.0
112,158.0
495,203.0
168,174.0
123,110.0
119,105.0
61,124.0
525,150.0
116,58.0
700,131.0
200,105.0
35,44.0
168,158.0
83,44.0
238,203.0
116,44.0
49,44.0
500,153.0
450,98.0
203,158.0
119,100.0
225,158.0
155,53.0
475,450.0
1220,231.0
203,238.0
44,58.0
350,450.0
245,203.0
325,450.0
575,700.0
550,200.0
175,44.0
99,123.0
54,53.0
56,44.0
163,44.0
425,450.0
75,93.5
225,105.0
325,100.0
525,44.0
375,44.0
204,174.0
350,450.0
29,44.0
56,105.0
525,150.0
70,98.0
675,58.0
650,44.0
123,134.33333333333334
263,120.0
279,44.0
135,128.0
236,248.0
250,150.0
56,58.0
625,123.0
145,177.5
500,450.0
98,58.0
263,203.0
150,203.0
500,44.0
150,120.0
600,123.0
84,58.0
100,150.0
350,105.0
275,108.0
300,329.1666666666667
111,140.0
325,450.0
200,150.0
600,203.0
51,44.0
52,44.0
91,53.0
216,98.0
189,120.0
224,98.0
165,123.0
240,231.0
124,136.0
231,123.0
545,700.0
325,150.0
120,98.0
115,93.5
225,350.0
725,203.0
90,105.0
162,155.0
163,203.0
350,150.0
450,150.0
225,391.6666666666667
200,350.0
131,128.0
125,525.0
111,58.0
825,105.0
87,58.0
203,203.0
105,105.0
169,139.5
181,98.0
91,130.5
38,105.0
850,123.0
60,113.0
26,58.0
575,105.0
289,231.0
400,94.0
104,120.0
72,131.0
123,120.0
925,123.0
70,124.0
108,108.0
203,208.0
218,120.0
105,120.0
750,123.0
900,105.0
75,44.0
202,123.0
120,44.0
61,123.0
47,124.0
175,44.0
248,123.0
87,44.0
90,58.0
85,123.0
119,120.0
106,98.0
150,120.0
225,123.0
56,44.0
68,58.0
149,150.0
173,120.0
600,150.0
125,350.0
900,123.0
100,150.0
750,98.0
125,44.0
116,68.0
550,700.0
225,58.0
150,150.0
150,58.0
375,44.0
250,367.5
113,86.66666666666667
475,98.0
275,158.0
208,203.0
198,158.0
133,120.0
145,53.0
725,105.0
203,98.0
112,98.0
59,150.0
239,158.0
525,700.0
94,123.0
50,68.0
575,700.0
182,203.0
425,58.0
825,123.0
325,58.0
75,400.0
105,105.0
300,150.0
475,150.0
125,44.0
775,150.0
600,105.0
109,98.0
232,231.0
500,150.0
225,200.0
525,740.0
450,150.0
140,58.0
825,231.0
140,158.0
143,100.0
250,70.0
65,120.0
500,200.0
400,150.0
196,44.0
96,174.0
145,94.0
138,138.0
925,120.0
128,179.0
175,200.0
525,105.0
124,123.0
111,98.0
248,238.0
38,93.5
39,123.0
36,44.0
105,120.0
150,150.0
300,44.0
221,123.0
126,105.0
38,88.0
250,416.6666666666667
900,68.0
98,120.0
39,53.0
675,123.0
111,203.0
450,58.0
225,44.0
420,231.0
325,200.0
87,58.0
500,203.0
109,109.0
150,123.0
207,203.0
69,128.0
149,123.0
117,44.0
400,44.0
30,44.0
149,228.0
150,120.0
150,123.0
250,150.0
204,105.0
75,150.0
175,68.0
193,140.0
147,203.0
225,350.0
175,68.0
91,120.0
100,105.0
125,58.0
150,105.0
425,131.0
725,98.0
375,150.0
500,120.0
325,200.0
210,105.0
315,123.0
120,58.0
240,44.0
81,120.0
136,123.0
650,98.0
225,158.0
75,158.0
58,58.0
333,158.0
475,450.0
120,44.0
30,105.0
68,58.0
160,53.0
155,68.0
550,150.0
58,58.0
575,130.5
113,96.2
114,68.0
725,450.0
30,112.0
625,450.0
116,98.0
200,200.0
775,44.0
203,120.0
119,140.0
475,158.0
250,68.0
221,203.0
91,83.0
700,158.0
123,44.0
88,179.0
126,131.0
95,125.0
550,231.0
91,98.0
425,68.0
575,128.0
104,88.0
63,88.0
475,44.0
36,112.0
700,120.0
450,450.0
700,105.0
79,158.0
675,105.0
147,105.0
144,98.0
116,120.0
550,200.0
350,450.0
300,123.0
223,211.0
93,123.0
320,350.0
173,158.0
670,740.0
475,158.0
192,179.0
275,450.0
189,203.0
175,462.5
163,203.0
158,140.5
51,138.0
216,174.0
425,350.0
275,150.0
130,58.0
1125,700.0
174,88.0
210,174.0
325,200.0
325,350.0
44,88.0
825,158.0
120,231.0
63,98.0
575,44.0
132,231.0
375,105.0
154,108.0
350,350.0
90,58.0
278,105.0
179,170.0
175,200.0
300,200.0
96,105.0
45,44.0
68,123.0
210,44.0
77,44.0
400,83.0
62,53.0
170,170.0
450,105.0
120,158.0
84,98.0
425,120.0
133,58.0
250,200.0
725,68.0
375,450.0
208,203.0
300,150.0
450,450.0
219,120.0
147,140.0
213,123.0
95,203.0
53,44.0
174,120.0
400,105.0
175,44.0
