y_real,y_pred_local
52,122.0
275,300.0
206,138.0
155,138.0
182,124.0
182,165.0
375,125.0
65,87.0
175,167.0
725,138.0
250,122.0
50,73.0
650,138.0
231,122.0
475,125.0
138,124.0
105,122.0
925,412.5
311,156.0
350,124.0
125,65.0
252,115.0
120,73.0
25,300.0
98,115.0
300,109.0
100,125.0
500,300.0
250,124.0
300,109.0
203,138.0
575,73.0
80,131.0
275,200.0
275,300.0
75,122.0
70,70.0
221,131.0
202,124.0
325,300.0
317,162.0
1045,167.0
112,124.0
495,149.0
168,138.0
123,73.0
119,122.0
61,73.0
525,450.0
116,90.0
700,131.0
200,135.0
35,73.0
168,124.0
83,70.0
238,138.0
116,73.0
49,73.0
500,122.0
450,122.0
203,124.0
119,124.0
225,124.0
155,73.0
475,412.5
1220,149.0
203,138.0
44,87.0
350,462.5
245,167.0
325,462.5
575,566.6666666666666
550,525.0
175,65.0
99,131.0
54,73.0
56,73.0
163,52.0
425,462.5
75,73.0
225,122.0
325,124.0
525,70.0
375,70.0
204,124.0
350,462.5
29,56.0
56,122.0
525,450.0
70,131.0
675,124.0
650,70.0
123,131.0
263,112.0
279,73.0
135,124.0
236,138.0
250,450.0
56,124.0
625,131.0
145,138.0
500,412.5
98,98.0
263,162.0
150,162.0
500,73.0
150,150.0
600,131.0
84,90.0
100,237.5
350,122.0
275,73.0
300,300.0
111,124.0
325,412.5
200,237.5
600,167.0
51,73.0
52,73.0
91,73.0
216,131.0
189,101.0
224,131.0
165,131.0
240,138.0
124,124.0
231,131.0
545,575.0
325,450.0
120,131.0
115,73.0
225,450.0
725,167.0
90,122.0
162,138.0
163,149.0
350,450.0
450,450.0
225,450.0
200,450.0
131,124.0
125,450.0
111,98.0
825,115.0
87,124.0
203,138.0
105,122.0
169,138.0
181,148.0
91,131.0
38,122.0
850,115.0
60,122.0
26,87.0
575,124.0
289,167.0
400,131.0
104,109.0
72,131.0
123,112.0
925,131.0
70,124.0
108,131.0
203,138.0
218,109.0
105,101.0
750,115.0
900,122.0
75,52.0
202,131.0
120,65.0
61,131.0
47,124.0
175,144.0
248,138.0
87,73.0
90,98.0
85,131.0
119,109.0
106,131.0
150,182.0
225,131.0
56,73.0
68,124.0
149,124.0
173,112.0
600,525.0
125,450.0
900,131.0
100,237.5
750,131.0
125,73.0
116,124.0
550,566.6666666666666
225,124.0
150,237.5
150,90.0
375,115.0
250,450.0
113,124.0
475,122.0
275,124.0
208,167.0
198,109.0
133,109.0
145,73.0
725,124.0
203,131.0
112,131.0
59,124.0
239,124.0
525,575.0
94,131.0
50,124.0
575,566.6666666666666
182,162.0
425,124.0
825,115.0
325,87.0
75,300.0
105,122.0
300,450.0
475,450.0
125,65.0
775,687.5
600,122.0
109,131.0
232,138.0
500,237.5
225,300.0
525,550.0
450,450.0
140,124.0
825,167.0
140,109.0
143,124.0
250,124.0
65,124.0
500,325.0
400,450.0
196,65.0
96,124.0
145,131.0
138,122.0
925,117.0
128,131.0
175,300.0
525,122.0
124,131.0
111,115.0
248,138.0
38,73.0
39,122.0
36,73.0
105,112.0
150,237.5
300,73.0
221,131.0
126,113.0
38,122.0
250,462.5
900,87.0
98,109.0
39,73.0
675,131.0
111,167.0
450,90.0
225,70.0
420,138.0
325,300.0
87,90.0
500,149.0
109,73.0
150,131.0
207,167.0
69,124.0
149,131.0
117,65.0
400,65.0
30,56.0
149,138.0
150,117.0
150,131.0
250,237.5
204,122.0
75,124.0
175,87.0
193,124.0
147,167.0
225,450.0
175,87.0
91,109.0
100,122.0
125,124.0
150,113.0
425,131.0
725,131.0
375,450.0
500,117.0
325,300.0
210,122.0
315,131.0
120,87.0
240,73.0
81,109.0
136,131.0
650,148.0
225,109.0
75,122.0
58,124.0
333,124.0
475,412.5
120,70.0
30,122.0
68,90.0
160,73.0
155,124.0
550,237.5
58,124.0
575,131.0
113,124.0
114,124.0
725,450.0
30,124.0
625,562.5
116,115.0
200,300.0
775,70.0
203,109.0
119,124.0
475,109.0
250,90.0
221,149.0
91,73.0
700,109.0
123,73.0
88,131.0
126,131.0
95,124.0
