y_real,y_pred_local
52,129.0
275,350.0
206,88.0
155,88.0
182,126.0
182,126.0
375,126.0
65,126.0
175,126.0
725,88.0
250,129.0
50,98.0
650,196.0
231,120.0
475,126.0
138,88.0
105,120.0
925,450.0
311,126.0
350,126.0
125,126.0
252,126.0
120,88.0
25,325.0
98,126.0
300,126.0
100,126.0
500,350.0
250,88.0
300,126.0
203,88.0
575,126.0
80,133.0
275,450.0
275,350.0
75,126.0
70,126.0
221,88.0
202,88.0
325,325.0
317,126.0
1045,126.0
112,88.0
495,126.0
168,98.0
123,218.0
119,120.0
61,218.0
525,350.0
116,126.0
700,88.0
200,126.0
35,126.0
168,88.0
83,126.0
238,88.0
116,126.0
49,126.0
500,129.0
450,129.0
203,88.0
119,98.0
225,126.0
155,88.0
475,450.0
1220,126.0
203,218.0
44,126.0
350,450.0
245,88.0
325,450.0
575,450.0
550,450.0
175,126.0
99,88.0
54,88.0
56,126.0
163,126.0
425,450.0
75,88.0
225,120.0
325,98.0
525,126.0
375,126.0
204,98.0
350,450.0
29,126.0
56,120.0
525,450.0
70,88.0
675,126.0
650,126.0
123,218.0
263,126.0
279,88.0
135,98.0
236,218.0
250,450.0
56,88.0
625,88.0
145,218.0
500,450.0
98,126.0
263,126.0
150,126.0
500,126.0
150,126.0
600,126.0
84,126.0
100,450.0
350,126.0
275,88.0
300,325.0
111,196.0
325,450.0
200,350.0
600,126.0
51,88.0
52,126.0
91,88.0
216,126.0
189,126.0
224,126.0
165,98.0
240,98.0
124,218.0
231,126.0
545,450.0
325,450.0
120,126.0
115,88.0
225,400.0
725,126.0
90,120.0
162,138.0
163,126.0
350,450.0
450,450.0
225,425.0
200,450.0
131,88.0
125,375.0
111,126.0
825,126.0
87,126.0
203,88.0
105,120.0
169,138.0
181,126.0
91,98.0
38,120.0
850,126.0
60,120.0
26,126.0
575,126.0
289,126.0
400,218.0
104,126.0
72,98.0
123,126.0
925,126.0
70,88.0
108,133.0
203,196.0
218,126.0
105,126.0
750,126.0
900,126.0
75,126.0
202,88.0
120,126.0
61,98.0
47,88.0
175,126.0
248,126.0
87,126.0
90,126.0
85,126.0
119,126.0
106,88.0
150,126.0
225,88.0
56,126.0
68,88.0
149,88.0
173,126.0
600,450.0
125,400.0
900,126.0
100,450.0
750,126.0
125,126.0
116,88.0
550,450.0
225,88.0
150,450.0
150,126.0
375,126.0
250,325.0
113,88.0
475,218.0
275,126.0
208,126.0
198,126.0
133,126.0
145,88.0
725,126.0
203,126.0
112,126.0
59,88.0
239,88.0
525,450.0
94,88.0
50,98.0
575,450.0
182,126.0
425,88.0
825,126.0
325,126.0
75,325.0
105,126.0
300,450.0
475,450.0
125,126.0
775,450.0
600,126.0
109,88.0
232,88.0
500,450.0
225,350.0
525,375.0
450,450.0
140,88.0
825,126.0
140,126.0
143,98.0
250,88.0
65,126.0
500,450.0
400,450.0
196,126.0
96,98.0
145,218.0
138,129.0
925,126.0
128,218.0
175,350.0
525,126.0
124,88.0
111,126.0
248,218.0
38,88.0
39,120.0
36,126.0
105,126.0
150,450.0
300,126.0
221,88.0
126,126.0
38,120.0
250,475.0
900,126.0
98,126.0
39,88.0
675,98.0
111,126.0
450,126.0
225,126.0
420,88.0
325,450.0
87,126.0
500,126.0
109,133.0
150,126.0
207,88.0
69,98.0
149,126.0
117,126.0
400,126.0
30,126.0
149,196.0
150,126.0
150,98.0
250,450.0
204,120.0
75,88.0
175,126.0
193,218.0
147,126.0
225,450.0
175,126.0
91,126.0
100,120.0
125,88.0
150,126.0
425,88.0
725,126.0
375,350.0
500,126.0
325,450.0
210,120.0
315,88.0
120,126.0
240,88.0
81,126.0
136,88.0
650,126.0
225,126.0
75,129.0
58,88.0
333,88.0
475,450.0
120,126.0
30,120.0
68,126.0
160,88.0
155,88.0
550,450.0
58,88.0
575,98.0
113,88.0
114,88.0
725,400.0
30,98.0
625,450.0
116,126.0
200,350.0
775,126.0
203,126.0
119,196.0
475,126.0
250,126.0
221,126.0
91,88.0
700,126.0
123,126.0
88,218.0
126,98.0
95,88.0
550,126.0
91,88.0
425,88.0
575,88.0
104,120.0
63,120.0
475,126.0
36,218.0
700,126.0
450,450.0
700,126.0
79,126.0
675,126.0
147,120.0
144,126.0
116,126.0
550,450.0
350,350.0
300,126.0
223,196.0
93,88.0
320,450.0
173,126.0
670,375.0
475,126.0
192,218.0
275,350.0
189,126.0
175,350.0
163,88.0
158,196.0
51,129.0
216,98.0
425,400.0
275,450.0
130,126.0
1125,450.0
174,120.0
210,98.0
325,450.0
325,450.0
44,120.0
825,126.0
120,126.0
63,126.0
575,126.0
132,88.0
375,126.0
154,88.0
350,450.0
90,126.0
278,126.0
179,98.0
175,350.0
300,450.0
96,120.0
45,126.0
68,88.0
210,126.0
77,126.0
400,88.0
62,88.0
170,98.0
450,126.0
120,126.0
84,126.0
425,126.0
133,88.0
250,450.0
725,126.0
375,450.0
208,88.0
300,450.0
450,325.0
219,126.0
147,218.0
213,98.0
95,126.0
53,88.0
174,126.0
400,126.0
175,126.0
319,126.0
135,133.0
243,126.0
138,126.0
132,126.0
109,120.0
184,196.0
400,450.0
98,129.0
125,450.0
96,120.0
150,350.0
248,126.0
98,126.0
135,126.0
400,88.0
36,126.0
196,98.0
78,88.0
145,88.0
175,350.0
200,400.0
90,129.0
650,126.0
163,126.0
450,126.0
825,126.0
78,88.0
400,450.0
400,88.0
182,126.0
150,375.0
475,126.0
252,120.0
240,120.0
125,98.0
450,218.0
600,350.0
124,218.0
79,218.0
85,120.0
1020,88.0
176,126.0
75,88.0
300,450.0
107,98.0
200,375.0
200,126.0
300,350.0
350,126.0
91,126.0
