y_real,y_pred_local
52,106.0
275,150.0
206,138.0
155,210.0
182,140.0
182,775.0
375,825.0
65,140.0
175,512.5
725,591.6666666666666
250,106.0
50,138.0
650,341.3333333333333
231,143.0
475,825.0
138,158.0
105,207.0
925,675.0
311,252.0
350,575.0
125,500.0
252,500.0
120,169.0
25,387.5
98,135.0
300,550.0
100,167.0
500,425.0
250,458.3333333333333
300,887.5
203,210.0
575,261.6666666666667
80,140.0
275,525.0
275,425.0
75,52.0
70,181.0
221,169.0
202,147.0
325,375.0
317,169.0
1045,512.5
112,458.3333333333333
495,493.6666666666667
168,122.0
123,500.0
119,143.0
61,500.0
525,525.0
116,525.0
700,450.0
200,500.0
35,126.0
168,207.0
83,181.0
238,135.0
116,126.0
49,52.0
500,341.3333333333333
450,106.0
203,147.0
119,143.0
225,795.0
155,387.5
475,700.0
1220,493.6666666666667
203,231.0
44,140.0
350,550.0
245,207.0
325,512.5
575,493.6666666666667
550,575.0
175,500.0
99,135.0
54,387.5
56,52.0
163,150.0
425,512.5
75,114.5
225,158.0
325,512.5
525,138.0
375,138.0
204,122.0
350,550.0
29,195.0
56,158.0
525,500.0
70,138.0
675,525.0
650,525.0
123,500.0
263,887.5
279,101.0
135,122.0
236,218.0
250,575.0
56,158.0
625,450.0
145,218.0
500,675.0
98,195.0
263,173.0
150,173.0
500,412.5
150,575.0
600,575.0
84,173.0
100,493.6666666666667
350,525.0
275,450.0
300,341.3333333333333
111,104.33333333333333
325,887.5
200,412.5
600,512.5
51,101.0
52,52.0
91,210.0
216,138.0
189,700.0
224,232.0
165,475.0
240,122.0
124,375.0
231,52.0
545,775.0
325,500.0
120,575.0
115,114.5
225,525.0
725,512.5
90,207.0
162,140.0
163,195.0
350,575.0
450,500.0
225,500.0
200,575.0
131,137.0
125,450.0
111,195.0
825,675.0
87,525.0
203,135.0
105,325.0
169,140.0
181,493.6666666666667
91,138.0
38,123.0
850,500.0
60,63.0
26,500.0
575,575.0
289,173.0
400,500.0
104,887.5
72,122.0
123,181.0
925,525.0
70,106.0
108,341.3333333333333
203,341.3333333333333
218,550.0
105,700.0
750,500.0
900,525.0
75,150.0
202,68.0
120,143.0
61,475.0
47,106.0
175,138.0
248,625.0
87,173.0
90,195.0
85,173.0
119,195.0
106,135.0
150,575.0
225,450.0
56,261.6666666666667
68,158.0
149,210.0
173,887.5
600,625.0
125,475.0
900,575.0
100,500.0
750,575.0
125,412.5
116,150.0
550,493.6666666666667
225,425.0
150,261.6666666666667
150,152.0
375,475.0
250,341.3333333333333
113,104.33333333333333
475,475.0
275,795.0
208,232.0
198,232.0
133,252.0
145,387.5
725,575.0
203,232.0
112,173.0
59,109.5
239,207.0
525,512.5
94,138.0
50,387.5
575,887.5
182,143.0
425,425.0
825,500.0
325,500.0
75,387.5
105,142.0
300,500.0
475,475.0
125,500.0
775,475.0
600,525.0
109,135.0
232,591.6666666666666
500,261.6666666666667
225,525.0
525,675.0
450,575.0
140,123.0
825,512.5
140,169.0
143,143.0
250,106.0
65,52.0
500,500.0
400,500.0
196,173.0
96,122.0
145,500.0
138,138.0
925,700.0
128,111.0
175,525.0
525,525.0
124,135.0
111,195.0
248,231.0
38,114.5
39,63.0
36,126.0
105,181.0
150,493.6666666666667
300,412.5
221,210.0
126,195.0
38,109.5
250,341.3333333333333
900,500.0
98,173.0
39,210.0
675,475.0
111,795.0
450,525.0
225,525.0
420,591.6666666666666
325,525.0
87,152.0
500,493.6666666666667
109,140.0
150,575.0
207,207.0
69,122.0
149,173.0
117,173.0
400,500.0
30,195.0
149,140.0
150,700.0
150,138.0
250,500.0
204,109.5
75,210.0
175,500.0
193,375.0
147,512.5
225,525.0
175,500.0
91,169.0
100,445.0
125,150.0
150,195.0
425,450.0
725,575.0
375,525.0
500,700.0
325,525.0
210,158.0
315,450.0
120,140.0
240,101.0
81,143.0
136,210.0
650,493.6666666666667
225,512.5
75,138.0
58,207.0
333,147.0
475,675.0
120,525.0
30,475.0
68,152.0
160,114.5
155,425.0
550,493.6666666666667
58,123.0
575,475.0
113,106.0
114,42.0
725,445.0
30,106.5
625,575.0
116,143.0
200,425.0
775,138.0
203,173.0
119,104.33333333333333
475,675.0
250,525.0
221,195.0
91,114.5
700,512.5
123,261.6666666666667
88,111.0
126,122.0
95,158.0
550,493.6666666666667
91,68.0
425,425.0
575,525.0
104,109.5
63,210.0
475,138.0
36,106.5
700,795.0
450,550.0
700,575.0
79,173.0
675,675.0
147,210.0
144,575.0
116,575.0
550,700.0
350,795.0
300,493.6666666666667
223,341.3333333333333
93,250.0
320,675.0
173,195.0
670,675.0
475,795.0
192,500.0
275,795.0
189,169.0
175,525.0
163,158.0
158,106.0
51,138.0
216,122.0
425,475.0
275,500.0
130,140.0
1125,887.5
174,116.0
210,122.0
325,500.0
325,675.0
44,116.0
825,550.0
120,232.0
63,173.0
575,412.5
132,591.6666666666666
375,675.0
154,210.0
350,575.0
90,525.0
278,52.0
179,143.0
175,425.0
300,675.0
96,143.0
45,52.0
68,135.0
210,261.6666666666667
77,126.0
400,387.5
62,169.0
170,143.0
450,525.0
120,143.0
84,575.0
425,675.0
133,109.5
250,500.0
725,675.0
375,675.0
208,138.0
300,575.0
450,325.0
219,700.0
147,375.0
213,122.0
95,775.0
53,101.0
174,575.0
400,575.0
175,412.5
319,154.0
135,106.0
243,52.0
138,887.5
132,154.0
109,116.0
184,341.3333333333333
400,575.0
98,106.0
125,493.6666666666667
96,445.0
150,150.0
248,575.0
98,228.0
135,173.0
400,525.0
36,140.0
196,116.0
78,147.0
145,138.0
175,425.0
200,475.0
90,106.0
650,412.5
163,512.5
450,512.5
825,675.0
78,106.0
400,700.0
400,591.6666666666666
182,52.0
150,250.0
475,231.0
252,143.0
240,116.0
125,122.0
450,375.0
600,795.0
124,500.0
79,111.0
85,207.0
1020,675.0
176,493.6666666666667
75,341.3333333333333
300,675.0
107,512.5
200,250.0
200,525.0
300,525.0
350,525.0
91,232.0
925,250.0
350,575.0
98,196.0
68,375.0
700,575.0
150,500.0
625,231.0
850,575.0
