y_real,y_pred_local
52,65.0
275,141.66666666666666
206,473.3333333333333
155,154.0
182,90.0
182,161.5
375,94.0
65,68.0
175,165.0
725,154.0
250,65.0
50,45.0
650,154.0
231,195.0
475,425.0
138,58.0
105,81.0
925,450.0
311,184.5
350,190.0
125,58.0
252,59.0
120,118.75
25,141.66666666666666
98,54.0
300,305.0
100,75.0
500,141.66666666666666
250,231.25
300,145.0
203,154.0
575,118.75
80,44.0
275,312.5
275,141.66666666666666
75,77.0
70,27.0
221,158.33333333333334
202,68.0
325,141.66666666666666
317,165.0
1045,165.0
112,231.25
495,196.0
168,154.0
123,118.75
119,195.0
61,118.75
525,237.5
116,70.5
700,44.0
200,145.0
35,31.0
168,231.25
83,80.5
238,137.0
116,118.75
49,45.0
500,183.33333333333334
450,65.0
203,231.25
119,50.0
225,231.25
155,118.75
475,450.0
1220,400.0
203,473.3333333333333
44,68.0
350,325.0
245,154.0
325,325.0
575,614.0
550,266.6666666666667
175,58.0
99,158.33333333333334
54,118.75
56,118.75
163,27.0
425,325.0
75,45.0
225,90.0
325,50.0
525,58.0
375,80.5
204,231.25
350,325.0
29,41.0
56,90.0
525,370.0
70,46.0
675,52.0
650,58.0
123,158.33333333333334
263,63.0
279,118.75
135,50.0
236,473.3333333333333
250,262.5
56,58.0
625,158.33333333333334
145,154.0
500,450.0
98,81.0
263,165.0
150,155.5
500,118.75
150,75.0
600,265.0
84,85.5
100,258.3333333333333
350,83.0
275,45.0
300,141.66666666666666
111,231.25
325,450.0
200,183.33333333333334
600,165.0
51,45.0
52,45.0
91,118.75
216,59.0
189,75.0
224,90.0
165,158.33333333333334
240,473.3333333333333
124,66.66666666666667
231,265.0
545,560.0
325,370.0
120,90.0
115,45.0
225,275.0
725,165.0
90,81.0
162,473.3333333333333
163,161.5
350,262.5
450,370.0
225,237.5
200,310.0
131,50.0
125,237.5
111,81.0
825,54.0
87,52.0
203,154.0
105,183.33333333333334
169,154.0
181,59.0
91,44.0
38,195.0
850,233.33333333333334
60,65.0
26,68.0
575,113.0
289,473.3333333333333
400,44.0
104,63.0
72,44.0
123,56.0
925,158.33333333333334
70,66.66666666666667
108,44.0
203,473.3333333333333
218,78.0
105,75.0
750,233.33333333333334
900,195.0
75,27.0
202,158.33333333333334
120,60.0
61,158.33333333333334
47,66.66666666666667
175,58.0
248,233.33333333333334
87,42.0
90,81.0
85,265.0
119,78.5
106,77.0
150,75.0
225,158.33333333333334
56,53.0
68,58.0
149,50.0
173,63.0
600,350.0
125,275.0
900,265.0
100,183.33333333333334
750,90.0
125,45.0
116,66.66666666666667
550,614.0
225,42.333333333333336
150,183.33333333333334
150,60.5
375,58.0
250,250.0
113,42.333333333333336
475,65.0
275,231.25
208,165.0
198,231.25
133,63.0
145,53.0
725,113.0
203,90.0
112,115.0
59,63.0
239,231.25
525,560.0
94,158.33333333333334
50,66.66666666666667
575,475.0
182,165.0
425,42.333333333333336
825,233.33333333333334
325,68.0
75,141.66666666666666
105,75.0
300,370.0
475,312.5
125,58.0
775,350.0
600,83.0
109,56.0
232,473.3333333333333
500,183.33333333333334
225,175.0
525,535.0
450,262.5
140,42.333333333333336
825,473.3333333333333
140,231.25
143,50.0
250,42.333333333333336
65,63.0
500,266.6666666666667
400,370.0
196,36.0
96,231.25
145,44.0
138,65.0
925,75.0
128,158.33333333333334
175,175.0
525,83.0
124,158.33333333333334
111,100.0
248,473.3333333333333
38,45.0
39,183.33333333333334
36,29.0
105,106.0
150,258.3333333333333
300,118.75
221,158.33333333333334
126,113.0
38,74.0
250,300.0
900,155.0
98,91.0
39,118.75
675,158.33333333333334
111,154.0
450,60.5
225,27.0
420,473.3333333333333
325,260.0
87,70.5
500,196.0
109,118.75
150,265.0
207,154.0
69,50.0
149,265.0
117,36.0
400,41.0
30,47.5
149,473.3333333333333
150,75.0
150,158.33333333333334
250,183.33333333333334
204,183.33333333333334
75,50.0
175,61.0
193,231.25
147,165.0
225,310.0
175,155.0
91,91.0
100,183.33333333333334
125,42.333333333333336
150,54.0
425,44.0
725,90.0
375,237.5
500,75.0
325,260.0
210,90.0
315,158.33333333333334
120,68.0
240,118.75
81,91.0
136,80.0
650,59.0
225,231.25
75,183.33333333333334
58,58.0
333,231.25
475,450.0
120,27.0
30,195.0
68,70.5
160,118.75
155,66.66666666666667
550,258.3333333333333
58,42.333333333333336
575,44.0
113,42.333333333333336
114,66.66666666666667
725,250.0
30,42.333333333333336
625,450.0
116,74.0
200,141.66666666666666
775,27.0
203,91.0
119,231.25
475,145.0
250,158.33333333333334
221,161.5
91,45.0
700,231.25
123,118.75
88,158.33333333333334
126,44.0
95,63.0
550,400.0
91,46.0
425,66.66666666666667
575,50.0
104,81.0
63,74.0
475,27.0
36,42.333333333333336
700,63.0
450,325.0
700,54.0
79,231.25
675,54.0
147,183.33333333333334
144,90.0
116,75.0
550,266.6666666666667
350,300.0
300,233.33333333333334
223,473.3333333333333
93,158.33333333333334
320,287.5
173,128.0
670,535.0
475,231.25
192,158.33333333333334
275,300.0
189,165.0
175,300.0
163,154.0
158,231.25
51,65.0
216,154.0
425,275.0
275,370.0
130,90.0
1125,475.0
174,65.0
210,231.25
325,266.6666666666667
325,287.5
44,65.0
825,128.0
120,473.3333333333333
63,77.0
575,118.75
132,473.3333333333333
375,145.0
154,45.0
350,310.0
90,70.5
278,77.0
179,231.25
175,141.66666666666666
300,266.6666666666667
96,195.0
45,45.0
68,158.33333333333334
210,53.0
77,31.0
400,45.0
62,62.0
170,231.25
450,81.0
120,231.25
84,90.0
425,113.0
133,44.0
250,260.0
725,145.0
375,450.0
208,154.0
300,262.5
450,250.0
219,75.0
147,231.25
213,158.33333333333334
95,161.5
53,45.0
174,75.0
400,113.0
175,45.0
319,161.5
135,158.33333333333334
243,77.5
138,63.0
132,58.0
109,183.33333333333334
184,473.3333333333333
400,310.0
98,65.0
125,258.3333333333333
96,183.33333333333334
150,141.66666666666666
248,425.0
98,196.0
135,52.0
400,50.0
36,68.0
196,66.66666666666667
78,68.0
145,46.0
175,141.66666666666666
200,275.0
90,183.33333333333334
650,118.75
163,91.0
450,473.3333333333333
825,113.0
78,66.66666666666667
400,450.0
400,473.3333333333333
182,77.0
150,237.5
475,425.0
252,90.0
240,183.33333333333334
125,50.0
450,42.333333333333336
600,535.0
124,473.3333333333333
79,158.33333333333334
85,81.0
1020,154.0
176,196.0
75,66.66666666666667
300,266.6666666666667
107,231.25
200,237.5
200,58.0
300,237.5
350,81.0
91,91.0
925,158.33333333333334
350,262.5
98,63.0
68,66.66666666666667
700,128.0
150,158.33333333333334
625,184.5
850,184.5
91,72.0
650,287.5
550,300.0
375,70.5
66,231.25
65,65.0
287,473.3333333333333
94,66.66666666666667
142,60.0
54,47.5
41,91.0
120,113.0
111,183.33333333333334
275,237.5
140,59.0
264,128.0
425,155.0
525,473.3333333333333
78,195.0
112,50.0
42,42.0
228,118.75
137,90.0
102,158.33333333333334
91,77.0
425,50.0
69,59.0
325,145.0
87,65.0
400,400.0
38,45.0
58,90.0
169,77.0
293,165.0
700,231.25
203,158.33333333333334
271,158.33333333333334
85,45.0
158,165.0
325,237.5
91,155.0
112,78.5
188,78.5
233,46.0
58,44.0
289,66.66666666666667
250,300.0
119,90.0
117,70.5
65,90.0
50,141.66666666666666
425,118.75
450,83.0
525,425.0
254,27.0
125,53.0
300,46.0
87,42.333333333333336
525,154.0
150,65.0
87,60.5
116,63.0
53,65.0
119,42.333333333333336
225,183.33333333333334
247,473.3333333333333
125,128.0
275,50.0
84,91.0
175,183.33333333333334
350,450.0
725,75.0
68,45.0
210,66.66666666666667
117,75.0
800,77.0
68,158.33333333333334
106,154.0
475,473.3333333333333
900,59.0
48,118.75
725,27.0
120,161.5
161,59.0
425,155.0
161,50.0
68,74.0
250,45.0
91,118.75
375,450.0
225,183.33333333333334
98,70.0
725,535.0
58,45.0
116,158.33333333333334
208,109.5
26,42.333333333333336
100,250.0
124,65.0
41,65.0
625,231.25
70,66.66666666666667
900,59.0
575,231.25
65,45.0
625,75.0
525,90.0
83,65.0
170,155.0
113,195.0
248,473.3333333333333
95,46.0
375,128.0
825,155.0
218,161.5
36,31.0
525,560.0
95,68.5
825,196.0
182,473.3333333333333
123,154.0
675,265.0
145,183.33333333333334
68,231.25
88,42.333333333333336
145,31.0
200,250.0
120,46.0
158,165.0
175,118.75
300,41.0
250,141.66666666666666
225,46.0
600,233.33333333333334
1075,145.0
56,45.0
200,237.5
275,45.0
122,70.5
200,233.33333333333334
56,31.0
128,63.0
950,195.0
450,53.0
122,161.5
325,300.0
700,350.0
31,47.5
54,47.5
425,118.75
90,90.0
126,46.0
700,154.0
173,118.75
275,46.0
36,36.0
147,81.0
75,62.0
142,63.0
217,195.0
775,161.5
800,535.0
145,65.0
175,175.0
550,233.33333333333334
189,54.0
91,81.0
575,535.0
300,81.0
520,560.0
500,68.0
116,113.0
215,161.5
196,196.0
44,68.5
175,473.3333333333333
135,154.0
150,141.66666666666666
275,237.5
65,58.0
300,260.0
350,91.0
38,77.0
47,90.0
150,44.0
525,154.0
98,63.0
143,54.0
1000,233.33333333333334
112,83.0
105,63.0
575,113.0
315,158.33333333333334
91,154.0
175,128.0
231,184.5
196,184.5
400,141.66666666666666
125,154.0
125,158.33333333333334
81,27.0
90,118.75
83,90.0
200,53.0
94,68.5
575,46.0
62,118.75
201,473.3333333333333
625,91.0
50,47.5
725,158.33333333333334
231,425.0
96,113.0
175,250.0
140,96.0
375,145.0
158,58.0
475,154.0
223,155.0
425,44.0
145,102.0
53,45.0
100,141.66666666666666
138,88.0
175,58.0
300,300.0
119,54.0
675,50.0
325,128.0
152,118.75
204,66.66666666666667
175,183.33333333333334
125,154.0
500,535.0
248,98.0
375,91.0
84,77.0
142,44.0
45,155.0
119,27.0
119,42.333333333333336
180,81.0
116,165.0
550,54.0
95,63.0
150,141.66666666666666
74,74.0
225,59.0
125,81.0
298,400.0
91,91.0
288,158.33333333333334
575,183.33333333333334
225,175.0
113,65.0
775,161.5
600,58.0
175,183.33333333333334
281,66.66666666666667
194,59.0
138,50.0
53,65.0
208,184.5
625,63.0
650,312.5
225,305.0
203,75.0
925,190.0
147,81.0
450,41.0
101,66.66666666666667
158,118.75
224,165.0
54,65.0
375,75.0
350,42.333333333333336
525,75.0
49,77.0
186,473.3333333333333
60,42.333333333333336
123,98.0
45,65.0
105,46.0
60,74.0
173,473.3333333333333
160,90.0
111,154.0
152,42.333333333333336
156,165.0
375,46.0
75,66.66666666666667
74,50.0
200,183.33333333333334
58,91.0
1025,154.0
128,154.0
91,50.0
825,560.0
233,59.0
111,118.75
150,231.25
182,154.0
400,90.0
224,183.33333333333334
125,118.75
198,231.25
725,53.0
675,52.0
117,140.0
140,154.0
232,91.0
233,165.0
300,262.5
700,231.25
113,158.33333333333334
194,184.5
44,27.0
800,158.33333333333334
109,42.333333333333336
182,65.0
225,36.0
83,42.333333333333336
160,118.0
270,41.0
263,161.5
375,91.0
350,312.5
250,237.5
165,154.0
147,27.0
61,77.0
65,90.0
200,65.0
149,154.0
143,65.0
575,260.0
68,47.5
400,325.0
104,154.0
775,370.0
131,154.0
128,265.0
99,183.33333333333334
53,45.0
150,66.66666666666667
175,183.33333333333334
140,183.33333333333334
98,58.0
225,42.333333333333336
152,54.0
56,45.0
176,81.0
101,52.0
525,141.66666666666666
500,509.0
51,27.0
189,54.0
40,118.75
325,325.0
74,118.75
145,183.33333333333334
250,45.0
350,310.0
50,41.0
169,91.0
475,50.0
75,98.0
900,614.0
875,233.33333333333334
94,46.0
63,65.0
400,416.6666666666667
181,75.0
248,231.25
261,184.5
149,65.0
575,350.0
215,195.0
182,118.0
850,158.33333333333334
225,128.0
49,42.333333333333336
176,113.0
111,65.0
69,50.0
520,154.0
149,81.0
450,46.0
525,154.0
38,74.0
650,154.0
99,158.33333333333334
525,300.0
101,45.0
149,154.0
175,250.0
400,300.0
206,54.0
51,53.0
950,473.3333333333333
125,42.333333333333336
155,84.0
775,63.0
169,81.0
875,75.0
200,42.333333333333336
62,118.75
275,44.0
275,237.5
149,161.5
500,350.0
86,90.0
178,158.33333333333334
300,300.0
116,118.75
350,266.6666666666667
173,81.0
210,118.75
33,42.333333333333336
350,44.0
293,91.0
575,509.0
58,45.0
325,300.0
275,118.75
192,66.66666666666667
175,58.0
105,118.75
131,44.0
600,145.0
1075,475.0
94,56.0
150,183.33333333333334
300,128.0
255,184.5
75,77.0
250,275.0
825,90.0
124,91.0
25,65.0
275,155.0
725,258.3333333333333
34,45.0
675,614.0
65,74.0
250,260.0
175,53.0
223,195.0
85,158.33333333333334
420,473.3333333333333
225,195.0
248,195.0
625,155.5
195,46.0
425,66.66666666666667
158,90.0
111,78.5
179,183.33333333333334
34,42.333333333333336
1000,275.0
131,137.0
122,165.0
168,59.0
95,77.0
232,231.25
450,75.0
675,154.0
675,165.0
600,154.0
210,90.0
145,231.25
136,161.5
263,473.3333333333333
475,231.25
203,473.3333333333333
350,45.0
152,47.5
175,183.33333333333334
825,155.0
163,54.0
0,42.333333333333336
233,165.0
225,300.0
550,450.0
26,118.75
196,184.5
125,141.66666666666666
34,66.66666666666667
41,44.0
275,128.0
102,59.0
59,31.0
47,41.0
325,63.0
175,128.0
181,90.0
106,45.0
200,141.66666666666666
194,231.25
225,250.0
80,58.0
56,77.0
240,65.0
181,90.0
725,90.0
625,305.0
160,91.0
225,42.333333333333336
38,42.0
130,47.5
225,300.0
625,325.0
65,65.0
975,195.0
247,158.33333333333334
500,46.0
60,118.75
147,46.0
142,113.0
470,560.0
275,260.0
20,42.333333333333336
112,195.0
109,473.3333333333333
325,260.0
200,231.25
425,158.33333333333334
231,88.0
27,42.333333333333336
51,58.0
50,118.75
44,53.0
278,183.33333333333334
200,42.333333333333336
68,65.0
105,154.0
225,370.0
81,46.0
500,75.0
131,90.0
173,154.0
72,118.75
256,473.3333333333333
400,27.0
65,50.0
700,183.33333333333334
81,50.0
275,310.0
109,231.25
69,50.0
400,287.5
74,183.33333333333334
210,42.333333333333336
150,118.75
209,473.3333333333333
91,27.0
800,155.0
275,250.0
225,183.33333333333334
600,310.0
150,58.0
240,154.0
175,44.0
113,65.0
675,154.0
101,81.0
375,325.0
425,80.5
145,158.33333333333334
350,300.0
116,231.25
136,183.33333333333334
225,275.0
187,473.3333333333333
264,158.33333333333334
54,77.0
109,167.0
90,46.0
150,312.5
975,195.0
134,161.5
58,45.0
98,42.333333333333336
272,231.25
206,165.0
47,65.0
250,300.0
167,154.0
105,155.0
74,44.0
128,231.25
225,231.25
190,155.0
65,65.0
625,310.0
116,50.0
825,473.3333333333333
189,118.0
575,195.0
202,63.0
90,231.25
272,473.3333333333333
160,42.333333333333336
100,118.75
450,450.0
350,237.5
250,300.0
250,77.0
77,74.0
194,473.3333333333333
145,154.0
100,141.66666666666666
475,75.0
374,183.33333333333334
111,231.25
325,425.0
215,68.5
83,91.0
425,60.5
123,63.0
140,231.25
70,231.25
200,312.5
73,75.0
259,59.0
94,118.75
83,81.0
200,150.0
475,183.33333333333334
52,29.0
150,141.66666666666666
275,75.0
42,45.0
250,258.3333333333333
167,154.0
600,75.0
233,473.3333333333333
425,416.6666666666667
138,59.0
800,145.0
225,91.0
72,63.0
124,231.25
156,115.0
500,154.0
184,473.3333333333333
137,63.0
300,287.5
245,145.0
250,237.5
238,154.0
94,75.0
300,158.33333333333334
600,118.75
153,154.0
273,74.0
69,90.0
74,118.75
120,68.5
300,46.0
175,473.3333333333333
325,300.0
308,196.0
218,77.0
173,473.3333333333333
1075,154.0
27,42.333333333333336
650,155.0
195,59.0
775,128.0
145,91.0
350,183.33333333333334
77,66.66666666666667
150,237.5
49,46.0
775,260.0
60,66.66666666666667
194,473.3333333333333
133,56.0
20,42.333333333333336
475,475.0
200,312.5
126,154.0
175,77.5
525,450.0
224,233.33333333333334
225,45.0
175,141.66666666666666
85,46.0
104,59.0
525,44.0
475,266.6666666666667
725,75.0
200,183.33333333333334
256,473.3333333333333
165,54.0
210,91.0
138,46.0
625,155.0
174,113.0
300,473.3333333333333
375,450.0
98,154.0
120,66.66666666666667
246,154.0
525,535.0
131,195.0
525,184.5
