y_real,y_pred_local
52,158.0
275,575.0
206,142.0
155,800.0
182,196.0
182,475.0
375,775.0
65,196.0
175,475.0
725,128.0
250,158.0
50,123.0
650,158.0
231,575.0
475,775.0
138,196.0
105,218.0
925,169.0
311,169.0
350,218.0
125,475.0
252,475.0
120,146.5
25,425.0
98,725.0
300,475.0
100,775.0
500,196.0
250,128.0
300,169.0
203,800.0
575,475.0
80,158.0
275,169.0
275,196.0
75,218.0
70,225.0
221,146.5
202,575.0
325,550.0
317,475.0
1045,475.0
112,128.0
495,169.0
168,212.5
123,550.0
119,575.0
61,550.0
525,475.0
116,196.0
700,525.0
200,725.0
35,475.0
168,128.0
83,225.0
238,800.0
116,475.0
49,475.0
500,158.0
450,158.0
203,78.0
119,123.0
225,475.0
155,275.0
475,675.0
1220,169.0
203,550.0
44,196.0
350,475.0
245,128.0
325,475.0
575,169.0
550,775.0
175,475.0
99,128.0
54,128.0
56,475.0
163,169.0
425,475.0
75,525.0
225,218.0
325,425.0
525,675.0
375,675.0
204,173.0
350,475.0
29,169.0
56,218.0
525,475.0
70,128.0
675,196.0
650,169.0
123,550.0
263,169.0
279,128.0
135,173.0
236,123.0
250,475.0
56,196.0
625,525.0
145,123.0
500,169.0
98,675.0
263,475.0
150,475.0
500,475.0
150,775.0
600,475.0
84,196.0
100,169.0
350,218.0
275,525.0
300,158.0
111,158.0
325,169.0
200,475.0
600,475.0
51,128.0
52,475.0
91,525.0
216,675.0
189,675.0
224,475.0
165,425.0
240,212.5
124,550.0
231,475.0
545,475.0
325,475.0
120,475.0
115,525.0
225,218.0
725,475.0
90,218.0
162,167.0
163,169.0
350,475.0
450,475.0
225,550.0
200,218.0
131,146.5
125,525.0
111,675.0
825,725.0
87,196.0
203,800.0
105,425.0
169,167.0
181,169.0
91,123.0
38,575.0
850,475.0
60,123.0
26,196.0
575,218.0
289,475.0
400,550.0
104,169.0
72,212.5
123,225.0
925,475.0
70,158.0
108,158.0
203,158.0
218,475.0
105,675.0
750,450.0
900,218.0
75,169.0
202,525.0
120,475.0
61,425.0
47,158.0
175,775.0
248,169.0
87,475.0
90,196.0
85,475.0
119,169.0
106,128.0
150,775.0
225,525.0
56,475.0
68,196.0
149,575.0
173,169.0
600,169.0
125,218.0
900,475.0
100,475.0
750,475.0
125,475.0
116,575.0
550,169.0
225,196.0
150,475.0
150,196.0
375,775.0
250,158.0
113,167.0
475,550.0
275,475.0
208,475.0
198,475.0
133,169.0
145,128.0
725,218.0
203,156.0
112,475.0
59,575.0
239,128.0
525,475.0
94,128.0
50,425.0
575,169.0
182,475.0
425,196.0
825,475.0
325,196.0
75,425.0
105,218.0
300,475.0
475,775.0
125,475.0
775,775.0
600,218.0
109,128.0
232,128.0
500,475.0
225,196.0
525,800.0
450,475.0
140,575.0
825,475.0
140,475.0
143,123.0
250,158.0
65,475.0
500,675.0
400,475.0
196,475.0
96,173.0
145,550.0
138,167.0
925,675.0
128,123.0
175,196.0
525,218.0
124,128.0
111,169.0
248,550.0
38,525.0
39,123.0
36,475.0
105,225.0
150,169.0
300,475.0
221,525.0
126,218.0
38,575.0
250,158.0
900,196.0
98,475.0
39,525.0
675,425.0
111,475.0
450,196.0
225,169.0
420,128.0
325,196.0
87,196.0
500,169.0
109,158.0
150,475.0
207,128.0
69,146.5
149,475.0
117,475.0
400,475.0
30,169.0
149,158.0
150,675.0
150,123.0
250,475.0
204,575.0
75,575.0
175,196.0
193,550.0
147,475.0
225,218.0
175,196.0
91,475.0
100,575.0
125,575.0
150,725.0
425,525.0
725,475.0
375,475.0
500,675.0
325,196.0
210,218.0
315,525.0
120,196.0
240,128.0
81,475.0
136,525.0
650,169.0
225,475.0
75,158.0
58,196.0
333,575.0
475,169.0
120,169.0
30,218.0
68,196.0
160,525.0
155,196.0
550,169.0
58,575.0
575,425.0
113,158.0
114,146.5
725,575.0
30,123.0
625,775.0
116,475.0
200,196.0
775,675.0
203,475.0
119,158.0
475,169.0
250,196.0
221,169.0
91,525.0
700,475.0
123,475.0
88,123.0
126,212.5
95,128.0
550,169.0
91,525.0
425,196.0
575,575.0
104,575.0
63,575.0
475,675.0
36,550.0
700,475.0
450,475.0
700,775.0
79,475.0
675,725.0
147,575.0
144,529.0
116,775.0
550,675.0
350,475.0
300,169.0
223,158.0
93,128.0
320,725.0
173,169.0
670,800.0
475,475.0
192,52.0
275,475.0
189,475.0
175,575.0
163,128.0
158,158.0
51,158.0
216,212.5
425,218.0
275,475.0
130,196.0
1125,169.0
174,146.5
210,146.5
325,675.0
325,725.0
44,146.5
825,475.0
120,475.0
63,475.0
575,475.0
132,128.0
375,725.0
154,525.0
350,218.0
90,196.0
278,218.0
179,123.0
175,196.0
300,675.0
96,575.0
45,475.0
68,128.0
210,475.0
77,475.0
400,128.0
62,146.5
170,123.0
450,218.0
120,475.0
84,475.0
425,169.0
133,575.0
250,196.0
725,675.0
375,169.0
208,800.0
300,475.0
450,425.0
219,675.0
147,52.0
213,146.5
95,475.0
53,128.0
174,775.0
400,218.0
175,475.0
319,169.0
135,158.0
243,196.0
138,169.0
132,169.0
109,146.5
184,52.0
400,218.0
98,158.0
125,169.0
96,575.0
150,575.0
248,775.0
98,169.0
135,475.0
400,575.0
36,196.0
196,173.0
78,575.0
145,128.0
175,196.0
200,218.0
90,158.0
650,475.0
163,475.0
450,475.0
825,169.0
78,158.0
400,675.0
400,128.0
182,218.0
150,128.0
475,675.0
252,575.0
240,146.5
125,146.5
450,550.0
600,475.0
124,550.0
79,123.0
85,218.0
1020,800.0
176,169.0
75,158.0
300,675.0
107,425.0
200,128.0
200,169.0
300,475.0
350,218.0
91,475.0
925,128.0
350,475.0
98,169.0
68,550.0
700,218.0
150,675.0
625,675.0
850,775.0
91,196.0
650,675.0
550,575.0
375,196.0
66,475.0
65,158.0
287,128.0
94,146.5
142,475.0
54,169.0
41,475.0
120,169.0
111,425.0
275,475.0
140,475.0
264,169.0
425,196.0
525,800.0
78,218.0
112,167.0
42,475.0
228,525.0
137,196.0
102,128.0
91,475.0
425,425.0
69,169.0
325,675.0
87,167.0
400,169.0
38,128.0
58,218.0
169,475.0
293,475.0
700,575.0
203,158.0
271,128.0
85,525.0
158,475.0
325,128.0
91,196.0
112,169.0
188,350.0
233,196.0
58,550.0
289,425.0
250,158.0
119,218.0
117,196.0
65,575.0
50,425.0
425,191.66666666666666
450,218.0
525,169.0
254,169.0
125,475.0
300,128.0
87,575.0
525,800.0
150,158.0
87,196.0
116,128.0
53,123.0
119,146.5
225,525.0
247,158.0
125,218.0
275,550.0
84,475.0
175,575.0
350,169.0
725,675.0
68,72.0
210,575.0
117,775.0
800,475.0
68,525.0
106,128.0
475,475.0
900,169.0
48,475.0
725,675.0
120,475.0
161,169.0
425,125.0
161,167.0
68,575.0
250,525.0
91,550.0
375,169.0
225,128.0
98,128.0
725,800.0
58,128.0
116,123.0
208,128.0
26,167.0
100,425.0
124,158.0
41,158.0
625,475.0
70,158.0
900,169.0
575,475.0
65,525.0
625,775.0
525,475.0
83,158.0
170,196.0
113,218.0
248,146.5
95,350.0
375,475.0
825,196.0
218,169.0
36,475.0
525,475.0
95,475.0
825,169.0
182,158.0
123,123.0
675,475.0
145,158.0
68,425.0
88,158.0
145,475.0
200,425.0
120,196.0
158,475.0
175,475.0
300,475.0
250,575.0
225,128.0
600,775.0
1075,169.0
56,128.0
200,128.0
275,525.0
122,196.0
200,475.0
56,475.0
128,128.0
950,218.0
450,475.0
122,169.0
325,128.0
700,675.0
31,169.0
54,169.0
425,475.0
90,475.0
126,525.0
700,158.0
173,128.0
275,128.0
36,475.0
147,675.0
75,525.0
142,128.0
217,218.0
775,475.0
800,800.0
145,123.0
175,196.0
550,675.0
189,725.0
91,218.0
575,128.0
300,218.0
520,475.0
500,196.0
116,218.0
215,169.0
196,169.0
44,475.0
175,146.5
135,212.5
150,196.0
275,425.0
65,196.0
300,196.0
350,475.0
38,475.0
47,218.0
150,425.0
525,128.0
98,169.0
143,725.0
1000,475.0
112,218.0
105,475.0
575,218.0
315,525.0
91,475.0
175,218.0
231,675.0
196,169.0
400,196.0
125,212.5
125,475.0
81,169.0
90,123.0
83,196.0
200,475.0
94,475.0
575,128.0
62,475.0
201,167.0
625,475.0
50,169.0
725,52.0
231,775.0
96,218.0
175,550.0
140,173.0
375,169.0
158,196.0
475,550.0
223,196.0
425,158.0
145,575.0
53,525.0
100,158.0
138,218.0
175,169.0
300,128.0
119,725.0
675,575.0
325,196.0
152,475.0
204,575.0
175,475.0
125,475.0
500,425.0
248,218.0
375,218.0
84,128.0
142,123.0
45,196.0
119,225.0
119,575.0
180,775.0
116,475.0
550,725.0
95,169.0
150,425.0
74,475.0
225,775.0
125,775.0
298,169.0
91,475.0
288,128.0
575,56.0
225,196.0
113,158.0
775,475.0
600,169.0
175,475.0
281,575.0
194,475.0
138,54.0
53,158.0
208,775.0
625,169.0
650,775.0
225,350.0
203,675.0
925,350.0
147,218.0
450,475.0
101,425.0
158,128.0
224,475.0
54,146.5
375,675.0
350,575.0
525,675.0
49,128.0
186,475.0
60,575.0
123,128.0
45,123.0
105,196.0
60,575.0
173,800.0
160,475.0
111,212.5
152,146.5
