y_real,y_pred_local
52,59.0
275,350.0
206,370.0
155,113.0
182,108.0
182,150.0
375,72.0
65,108.0
175,537.5
725,500.0
250,59.0
50,68.0
650,113.0
231,200.0
475,150.0
138,31.0
105,142.0
925,375.0
311,150.0
350,192.5
125,87.5
252,120.0
120,75.0
25,266.6666666666667
98,95.0
300,343.75
100,88.0
500,412.5
250,150.0
300,200.0
203,158.0
575,87.5
80,122.0
275,266.6666666666667
275,412.5
75,162.5
70,100.0
221,137.5
202,88.0
325,279.1666666666667
317,104.0
1045,537.5
112,150.0
495,150.0
168,113.0
123,75.0
119,200.0
61,75.0
525,475.0
116,350.0
700,87.5
200,192.5
35,38.5
168,212.5
83,46.5
238,182.0
116,120.0
49,162.5
500,100.0
450,59.0
203,200.0
119,59.0
225,212.5
155,62.5
475,375.0
1220,450.0
203,475.0
44,38.0
350,375.0
245,138.0
325,375.0
575,650.0
550,375.0
175,87.5
99,275.0
54,62.5
56,120.0
163,81.0
425,375.0
75,94.0
225,44.0
325,106.66666666666667
525,87.5
375,54.0
204,181.25
350,250.0
29,29.0
56,44.0
525,475.0
70,78.0
675,105.0
650,87.5
123,150.0
263,112.0
279,120.0
135,102.0
236,475.0
250,475.0
56,31.0
625,137.5
145,113.0
500,375.0
98,90.0
263,537.5
150,182.0
500,120.0
150,375.0
600,230.0
84,91.0
100,266.6666666666667
350,181.33333333333334
275,81.0
300,275.0
111,181.25
325,375.0
200,266.6666666666667
600,537.5
51,46.5
52,162.5
91,62.5
216,400.0
189,88.0
224,120.0
165,150.0
240,475.0
124,75.0
231,275.0
545,650.0
325,475.0
120,120.0
115,95.0
225,537.5
725,120.0
90,44.0
162,475.0
163,150.0
350,475.0
450,475.0
225,350.0
200,375.0
131,102.0
125,393.75
111,90.0
825,350.0
87,105.0
203,84.0
105,117.5
169,122.0
181,400.0
91,100.0
38,200.0
850,200.0
60,45.0
26,181.33333333333334
575,350.0
289,490.0
400,91.0
104,112.0
72,113.0
123,112.0
925,275.0
70,125.0
108,88.0
203,475.0
218,120.0
105,88.0
750,200.0
900,192.5
75,81.0
202,137.5
120,34.0
