y_real,y_pred_local
52,51.0
275,141.66666666666666
206,177.5
155,144.5
182,44.0
182,145.0
375,122.0
65,44.0
175,152.5
725,144.5
250,51.0
50,36.0
650,144.5
231,62.5
475,262.5
138,65.75
105,73.0
925,410.0
311,143.0
350,300.0
125,125.0
252,90.0
120,36.5
25,250.0
98,52.0
300,300.0
100,65.0
500,141.66666666666666
250,64.0
300,225.0
203,144.5
575,64.0
80,40.0
275,75.0
275,141.66666666666666
75,52.0
70,51.0
221,105.0
202,116.0
325,250.0
317,104.0
1045,152.5
112,83.0
495,151.5
168,144.5
123,36.0
119,62.5
61,36.0
525,270.0
116,44.0
700,44.0
200,210.0
35,45.0
168,119.0
83,63.5
238,106.0
116,55.0
49,49.0
500,56.0
450,51.0
203,85.0
119,51.0
225,225.0
155,38.5
475,410.0
1220,435.0
203,156.0
44,251.0
350,310.0
245,144.5
325,310.0
575,375.0
550,175.0
175,125.0
99,68.0
54,38.5
56,55.0
163,47.0
425,310.0
75,40.0
225,50.0
325,51.0
525,162.5
375,63.5
204,70.0
350,1000.0
29,94.0
56,50.0
525,200.0
70,91.0
675,44.0
650,162.5
123,40.0
263,81.0
279,39.0
135,51.0
236,166.0
250,200.0
56,65.75
625,105.0
145,144.5
500,410.0
98,44.0
263,174.5
150,176.0
500,26.0
150,65.0
600,200.0
84,44.0
100,75.0
350,52.0
275,36.5
300,250.0
111,58.0
325,410.0
200,83.33333333333333
600,152.5
51,41.0
52,49.0
91,40.0
216,51.0
189,65.0
224,120.0
165,111.0
240,166.0
124,37.5
231,112.0
545,375.0
325,200.0
120,90.0
115,40.0
225,310.0
725,176.0
90,79.0
162,156.0
163,84.0
350,200.0
450,200.0
225,137.5
200,200.0
131,57.5
125,137.5
111,44.0
825,63.0
87,44.0
203,111.0
105,85.0
169,144.5
181,45.0
91,33.0
38,75.0
850,200.0
60,69.0
26,44.0
575,52.0
289,124.0
400,40.0
104,81.0
72,33.0
123,83.0
925,112.0
70,37.5
108,40.0
203,156.0
218,100.0
105,65.0
750,200.0
900,125.0
75,51.0
202,68.0
120,36.0
61,111.0
47,37.5
175,162.5
248,250.0
87,94.0
90,44.0
85,85.0
119,135.0
106,35.0
150,65.0
225,105.0
56,50.5
68,65.75
149,93.0
173,83.0
600,200.0
125,141.66666666666666
900,200.0
100,165.0
750,90.0
125,65.0
116,45.0
550,375.0
225,65.75
150,165.0
150,102.0
375,162.5
250,250.0
113,37.5
475,36.0
275,225.0
208,152.5
198,123.0
133,85.33333333333333
145,99.0
725,52.0
203,80.0
112,135.0
59,93.0
239,119.0
525,1225.0
94,68.0
50,37.5
575,375.0
182,182.0
425,65.75
825,200.0
325,102.0
75,250.0
105,52.0
300,200.0
475,75.0
125,125.0
775,200.0
600,52.0
109,49.5
232,139.0
500,165.0
225,260.0
525,435.0
450,200.0
140,65.75
825,447.5
140,79.0
143,51.0
250,37.5
65,152.5
500,175.0
400,200.0
196,94.0
96,70.0
145,40.0
138,36.0
925,65.0
128,45.0
175,260.0
525,52.0
124,68.0
111,135.0
248,156.0
38,40.0
39,39.0
36,259.0
105,122.0
150,75.0
300,26.0
221,105.0
126,102.0
38,65.0
250,200.0
900,100.0
98,174.5
39,40.0
675,79.0
111,152.5
450,102.0
225,51.0
420,139.0
325,175.0
87,44.0
500,151.5
109,36.0
150,200.0
207,144.5
69,57.5
149,85.0
117,94.0
400,94.0
30,94.0
149,156.0
150,65.0
150,79.0
250,165.0
204,65.0
75,93.0
175,94.0
193,58.0
147,152.5
225,310.0
175,100.0
91,104.0
100,175.0
125,45.0
150,52.0
425,44.0
725,90.0
375,270.0
500,122.0
325,175.0
210,50.0
315,105.0
120,39.0
240,17.5
81,182.0
136,118.0
650,45.0
225,163.66666666666666
75,56.0
58,65.75
333,116.0
475,410.0
120,51.0
30,30.0
68,87.0
160,40.0
155,65.75
550,75.0
58,65.75
575,33.0
113,37.5
114,51.0
725,141.66666666666666
30,37.5
625,410.0
116,90.0
200,141.66666666666666
775,51.0
203,152.5
119,58.0
475,225.0
