y_real,y_pred_local
52,74.0
275,19.0
206,289.0
155,425.0
182,219.0
182,425.0
375,219.0
65,219.0
175,425.0
725,425.0
250,74.0
50,23.0
650,74.0
231,75.0
475,219.0
138,75.0
105,75.0
925,111.0
311,425.0
350,219.0
125,168.0
252,225.0
120,68.0
25,19.0
98,219.0
300,219.0
100,219.0
500,19.0
250,75.0
300,219.0
203,425.0
575,168.0
80,70.0
275,56.0
275,19.0
75,219.0
70,168.0
221,68.0
202,75.0
325,19.0
317,425.0
1045,425.0
112,75.0
495,425.0
168,75.0
123,140.0
119,75.0
61,140.0
525,56.0
116,219.0
700,225.0
200,219.0
35,168.0
168,75.0
83,135.0
238,425.0
116,168.0
49,168.0
500,74.0
450,74.0
203,75.0
119,23.0
225,75.0
155,168.0
475,111.0
1220,425.0
203,140.0
44,219.0
350,111.0
245,425.0
325,111.0
575,111.0
550,19.0
175,168.0
99,225.0
54,168.0
56,168.0
163,168.0
425,111.0
75,168.0
225,75.0
325,75.0
525,168.0
375,135.0
204,75.0
350,111.0
29,168.0
56,75.0
525,56.0
70,225.0
675,75.0
650,168.0
123,140.0
263,219.0
279,168.0
135,75.0
236,23.0
250,56.0
56,75.0
625,225.0
145,23.0
500,111.0
98,219.0
263,425.0
150,425.0
500,168.0
150,219.0
600,225.0
84,219.0
100,56.0
350,219.0
275,168.0
300,19.0
111,23.0
325,111.0
200,56.0
600,425.0
51,168.0
52,168.0
91,168.0
216,225.0
189,219.0
224,225.0
165,68.0
240,75.0
124,225.0
231,225.0
545,111.0
325,56.0
120,225.0
115,168.0
225,56.0
725,425.0
90,75.0
162,70.0
163,425.0
350,56.0
450,56.0
225,56.0
200,56.0
131,128.0
125,56.0
111,219.0
825,219.0
87,75.0
203,425.0
105,75.0
169,70.0
181,225.0
91,23.0
38,75.0
850,225.0
60,72.0
26,219.0
575,219.0
289,425.0
400,140.0
104,219.0
72,68.0
123,219.0
925,225.0
70,74.0
108,74.0
203,70.0
218,219.0
105,219.0
750,225.0
900,219.0
75,168.0
202,225.0
120,168.0
61,68.0
47,74.0
175,168.0
248,225.0
87,168.0
90,219.0
85,225.0
119,219.0
106,225.0
150,219.0
225,225.0
56,168.0
68,75.0
149,150.0
173,219.0
600,56.0
125,56.0
900,225.0
100,56.0
750,225.0
125,168.0
116,150.0
550,111.0
225,75.0
150,56.0
150,219.0
375,168.0
250,56.0
113,23.0
475,225.0
275,75.0
208,425.0
198,219.0
133,219.0
145,135.0
725,219.0
203,225.0
112,225.0
59,150.0
239,75.0
525,111.0
94,225.0
50,75.0
575,111.0
182,425.0
425,75.0
825,225.0
325,219.0
75,19.0
105,219.0
300,56.0
475,56.0
125,168.0
775,56.0
600,219.0
109,225.0
232,425.0
500,56.0
225,19.0
525,111.0
450,56.0
140,75.0
825,425.0
140,219.0
143,23.0
250,74.0
65,219.0
500,19.0
400,56.0
196,168.0
96,75.0
145,140.0
138,23.0
925,219.0
128,23.0
175,19.0
525,219.0
124,225.0
111,225.0
248,140.0
38,168.0
39,72.0
36,168.0
105,219.0
150,56.0
300,168.0
221,225.0
126,219.0
38,150.0
250,111.0
900,219.0
98,219.0
39,168.0
675,68.0
111,425.0
450,219.0
225,168.0
420,425.0
325,19.0
87,219.0
500,425.0
109,70.0
150,225.0
207,425.0
69,128.0
149,225.0
117,168.0
400,168.0
30,168.0
149,70.0
150,219.0
150,23.0
250,56.0
204,150.0
75,150.0
175,219.0
193,140.0
147,425.0
225,56.0
175,219.0
91,219.0
100,150.0
125,150.0
150,219.0
425,225.0
725,225.0
375,56.0
500,219.0
325,19.0
210,75.0
315,225.0
120,219.0
240,168.0
81,219.0
136,225.0
650,225.0
225,219.0
75,23.0
58,75.0
333,75.0
475,111.0
120,168.0
30,75.0
68,219.0
160,168.0
155,75.0
550,56.0
58,75.0
575,68.0
113,74.0
114,128.0
725,56.0
30,23.0
625,111.0
116,225.0
200,19.0
775,168.0
203,219.0
119,23.0
475,219.0
250,219.0
221,425.0
91,168.0
700,219.0
123,168.0
88,23.0
126,68.0
95,75.0
550,425.0
91,225.0
425,75.0
575,150.0
104,150.0
63,150.0
475,168.0
36,225.0
700,75.0
450,111.0
700,219.0
79,219.0
675,219.0
147,150.0
144,225.0
116,219.0
550,19.0
350,111.0
300,225.0
223,74.0
93,225.0
320,56.0
173,219.0
670,111.0
475,75.0
192,180.0
275,111.0
189,425.0
175,111.0
163,425.0
158,74.0
51,23.0
216,75.0
425,56.0
275,56.0
130,219.0
1125,111.0
174,128.0
210,128.0
325,19.0
325,56.0
44,128.0
825,219.0
120,425.0
63,225.0
575,168.0
132,425.0
375,219.0
154,168.0
350,56.0
90,219.0
278,219.0
179,23.0
175,19.0
300,19.0
96,75.0
45,168.0
68,225.0
210,168.0
77,168.0
400,168.0
62,68.0
170,23.0
450,75.0
120,219.0
84,225.0
425,219.0
133,225.0
250,19.0
725,219.0
375,111.0
208,425.0
300,56.0
450,56.0
219,219.0
147,166.0
213,68.0
95,425.0
53,168.0
174,219.0
400,219.0
175,168.0
319,425.0
135,74.0
243,219.0
138,219.0
132,168.0
109,128.0
184,200.0
400,56.0
98,74.0
125,56.0
96,150.0
150,19.0
248,219.0
98,425.0
135,225.0
400,150.0
36,219.0
196,75.0
78,75.0
145,225.0
175,19.0
200,56.0
90,74.0
650,168.0
163,219.0
450,425.0
825,219.0
78,74.0
400,111.0
400,425.0
182,219.0
150,56.0
475,425.0
252,75.0
240,128.0
125,128.0
450,225.0
600,111.0
124,140.0
79,23.0
85,75.0
1020,425.0
176,425.0
75,74.0
300,19.0
107,75.0
200,56.0
200,168.0
300,56.0
350,75.0
91,219.0
925,225.0
350,56.0
98,219.0
68,225.0
700,219.0
150,219.0
625,425.0
850,425.0
91,219.0
650,56.0
550,111.0
375,219.0
66,219.0
65,74.0
287,425.0
94,128.0
142,168.0
54,168.0
41,219.0
120,219.0
111,75.0
275,56.0
140,225.0
264,219.0
425,75.0
525,425.0
78,75.0
112,23.0
42,168.0
228,168.0
137,219.0
102,225.0
91,225.0
425,75.0
69,225.0
325,219.0
87,23.0
400,425.0
38,168.0
58,75.0
169,225.0
293,425.0
700,150.0
203,74.0
271,225.0
85,168.0
158,425.0
325,56.0
91,75.0
112,219.0
188,192.0
233,75.0
58,140.0
289,75.0
250,111.0
119,75.0
117,219.0
65,75.0
50,19.0
425,168.0
450,219.0
525,425.0
254,168.0
125,168.0
300,225.0
87,75.0
525,425.0
150,74.0
87,219.0
116,75.0
53,72.0
119,128.0
225,56.0
247,74.0
125,219.0
275,140.0
84,219.0
175,150.0
350,111.0
725,219.0
68,168.0
210,150.0
117,219.0
800,225.0
68,225.0
106,425.0
475,425.0
900,225.0
48,168.0
725,168.0
120,425.0
161,225.0
425,192.0
161,23.0
68,150.0
250,168.0
91,140.0
375,111.0
225,56.0
98,225.0
725,111.0
58,168.0
116,23.0
208,225.0
26,23.0
100,56.0
124,74.0
41,74.0
625,75.0
70,74.0
900,225.0
575,219.0
65,168.0
625,219.0
525,225.0
83,74.0
170,219.0
113,219.0
248,128.0
95,194.0
375,219.0
825,75.0
218,425.0
36,168.0
525,111.0
95,225.0
825,425.0
182,74.0
123,23.0
675,225.0
145,74.0
68,75.0
88,74.0
145,168.0
200,56.0
120,75.0
158,425.0
175,168.0
300,168.0
250,19.0
225,225.0
600,225.0
1075,219.0
56,168.0
200,56.0
275,168.0
122,219.0
200,225.0
56,168.0
128,75.0
950,219.0
450,168.0
122,425.0
325,111.0
700,56.0
31,168.0
54,168.0
425,168.0
90,225.0
126,225.0
700,74.0
173,168.0
275,225.0
36,168.0
147,219.0
75,135.0
142,75.0
217,219.0
775,425.0
800,111.0
145,72.0
175,19.0
550,225.0
189,219.0
91,75.0
575,111.0
300,75.0
520,111.0
500,219.0
116,219.0
215,425.0
196,425.0
44,225.0
175,128.0
135,75.0
150,19.0
275,56.0
65,75.0
300,19.0
350,219.0
38,225.0
47,75.0
150,68.0
525,425.0
98,219.0
143,219.0
1000,225.0
112,219.0
105,75.0
575,219.0
315,225.0
91,425.0
175,219.0
231,425.0
196,425.0
400,19.0
125,75.0
125,225.0
81,168.0
90,23.0
83,219.0
200,168.0
94,225.0
575,225.0
62,168.0
201,70.0
625,219.0
50,168.0
725,209.0
231,219.0
96,219.0
175,56.0
140,75.0
375,219.0
158,75.0
475,140.0
223,75.0
425,74.0
145,150.0
53,168.0
100,19.0
138,219.0
175,168.0
300,111.0
119,219.0
675,150.0
325,219.0
152,168.0
204,150.0
175,56.0
125,425.0
500,111.0
248,219.0
375,75.0
84,225.0
142,23.0
45,75.0
119,168.0
119,75.0
180,219.0
116,425.0
550,219.0
95,219.0
150,19.0
74,225.0
225,225.0
125,219.0
298,425.0
91,219.0
288,225.0
575,85.0
225,19.0
113,23.0
775,425.0
600,168.0
175,56.0
281,150.0
194,225.0
138,149.0
53,74.0
208,425.0
625,219.0
650,56.0
225,192.0
203,219.0
925,192.0
147,75.0
450,168.0
101,75.0
158,168.0
224,425.0
54,128.0
375,219.0
350,150.0
525,219.0
49,225.0
186,425.0
60,75.0
123,75.0
45,72.0
105,75.0
60,150.0
173,425.0
160,225.0
111,75.0
152,128.0
156,425.0
375,225.0
75,128.0
74,75.0
200,56.0
58,219.0
1025,425.0
128,128.0
91,23.0
825,111.0
233,225.0
111,70.0
150,150.0
182,23.0
400,75.0
224,23.0
