y_real,y_pred_local
52,204.0
275,175.0
206,248.0
155,248.0
182,225.0
182,725.0
375,725.0
65,225.0
175,800.0
725,887.5
250,170.0
50,160.0
650,280.5
231,314.0
475,537.5
138,143.0
105,210.0
925,169.0
311,825.0
350,637.5
125,487.5
252,737.5
120,157.0
25,133.0
98,725.0
300,875.0
100,725.0
500,98.0
250,650.0
300,812.5
203,248.0
575,508.3333333333333
80,289.0
275,158.0
275,98.0
75,239.0
70,500.0
221,264.0
202,272.0
325,142.0
317,725.0
1045,800.0
112,650.0
495,825.0
168,240.0
123,176.0
119,314.0
61,176.0
525,236.0
116,437.5
700,600.0
200,687.5
35,168.0
168,202.0
83,132.0
238,264.0
116,168.0
49,162.0
500,550.0
450,170.0
203,272.0
119,179.0
225,800.0
155,300.0
475,775.0
1220,825.0
203,306.0
44,225.0
350,181.0
245,280.0
325,236.0
575,236.0
550,550.0
175,487.5
99,271.0
54,525.0
56,162.0
163,500.0
425,236.0
75,149.0
225,143.0
325,204.0
525,500.0
375,500.0
204,179.0
350,181.0
29,487.5
56,143.0
525,236.0
70,280.0
675,533.3333333333334
650,500.0
123,850.0
263,725.0
279,158.0
135,179.0
236,306.0
250,236.0
56,143.0
625,600.0
145,306.0
500,169.0
98,450.0
263,800.0
150,800.0
500,491.6666666666667
150,725.0
600,812.5
84,236.0
100,158.0
350,975.0
275,246.5
300,157.5
111,224.0
325,225.0
200,145.0
600,800.0
51,158.0
52,162.0
91,246.5
216,825.0
189,725.0
224,281.0
165,195.0
240,240.0
124,224.0
231,281.0
545,236.0
325,236.0
120,812.5
115,153.0
225,285.0
725,800.0
90,210.0
162,306.0
163,825.0
350,236.0
450,236.0
225,213.0
200,196.0
131,264.0
125,255.0
111,450.0
825,725.0
87,533.3333333333334
203,248.0
105,322.0
169,306.0
181,825.0
91,306.0
38,204.0
850,737.5
60,198.0
26,342.5
575,637.5
289,281.0
400,850.0
104,812.5
72,240.0
123,725.0
925,812.5
70,196.0
108,240.0
203,306.0
218,875.0
105,725.0
750,787.5
900,975.0
75,500.0
202,264.0
120,487.5
61,195.0
47,196.0
175,500.0
248,825.0
87,508.3333333333333
90,437.5
85,281.0
119,225.0
106,271.0
150,725.0
225,600.0
56,508.3333333333333
68,143.0
149,306.0
173,725.0
600,236.0
125,193.0
900,812.5
100,138.0
750,812.5
125,491.6666666666667
116,387.5
550,236.0
225,421.5
150,131.0
150,256.0
375,500.0
250,157.5
113,232.0
475,575.0
275,800.0
208,281.0
198,225.0
133,812.5
145,305.0
725,637.5
203,240.0
112,812.5
59,306.0
239,202.0
525,236.0
94,280.0
50,204.0
575,236.0
182,725.0
425,612.5
825,737.5
325,342.5
75,133.0
105,254.0
300,236.0
475,425.0
125,487.5
775,425.0
600,975.0
109,201.0
232,887.5
500,131.0
225,133.0
