y_real,y_pred_local
52,149.5
275,550.0
206,194.66666666666666
155,201.5
182,154.0
182,150.0
375,150.0
65,154.0
175,150.0
725,150.0
250,149.5
50,116.0
650,149.5
231,176.0
475,165.0
138,154.0
105,182.0
925,550.0
311,150.0
350,462.5
125,157.0
252,122.0
120,140.0
25,400.0
98,154.0
300,112.0
100,150.0
500,550.0
250,187.0
300,190.0
203,675.0
575,157.0
80,169.0
275,475.0
275,550.0
75,154.0
70,133.0
221,187.0
202,201.5
325,400.0
317,150.0
1045,150.0
112,187.0
495,150.0
168,117.0
123,256.0
119,176.0
61,256.0
525,500.0
116,154.0
700,154.0
200,165.0
35,122.0
168,187.0
83,400.0
238,201.5
116,157.0
49,122.0
500,176.0
450,149.5
203,128.0
119,203.0
225,187.0
155,61.0
475,550.0
1220,190.0
203,153.0
44,154.0
350,550.0
245,150.0
325,550.0
575,775.0
550,575.0
175,157.0
99,187.0
54,140.0
56,157.0
163,133.0
425,550.0
75,154.0
225,154.0
325,116.0
525,157.0
375,133.0
204,187.0
350,775.0
29,122.0
56,154.0
525,500.0
70,122.0
675,154.0
650,157.0
123,256.0
263,150.0
279,140.0
135,138.0
236,276.0
250,500.0
56,154.0
625,187.0
145,116.0
500,550.0
98,154.0
263,150.0
150,150.0
500,157.0
150,150.0
600,190.0
84,154.0
100,450.0
350,154.0
275,154.0
300,400.0
111,136.0
325,550.0
200,450.0
600,150.0
51,122.0
52,122.0
91,140.0
216,133.0
189,150.0
224,122.0
165,187.0
240,187.0
124,193.0
231,187.0
545,775.0
325,500.0
120,122.0
115,154.0
225,550.0
725,150.0
90,154.0
162,233.0
163,150.0
350,500.0
450,500.0
225,500.0
200,550.0
131,201.5
125,500.0
111,154.0
825,154.0
87,154.0
203,201.5
105,176.0
169,189.0
181,133.0
91,116.0
38,176.0
850,190.0
60,116.0
26,154.0
575,154.0
289,190.0
400,149.5
104,150.0
72,117.0
123,150.0
925,187.0
70,181.0
108,149.5
203,233.0
218,150.0
105,150.0
750,456.25
900,176.0
75,133.0
202,187.0
120,122.0
61,187.0
47,136.0
175,157.0
248,190.0
87,122.0
90,154.0
85,190.0
119,212.0
106,182.0
150,150.0
225,187.0
56,122.0
68,154.0
149,201.5
173,150.0
600,500.0
125,550.0
900,190.0
100,450.0
750,122.0
125,122.0
116,176.0
550,775.0
225,575.0
150,450.0
150,154.0
375,157.0
250,525.0
113,149.5
475,149.5
275,187.0
208,150.0
198,190.0
133,150.0
145,140.0
725,154.0
203,160.0
112,122.0
59,201.5
239,187.0
525,812.5
94,187.0
50,176.0
575,775.0
182,150.0
425,154.0
825,190.0
325,154.0
75,400.0
105,154.0
300,500.0
475,475.0
125,157.0
775,500.0
600,154.0
109,210.0
232,187.0
500,450.0
225,550.0
525,775.0
450,500.0
140,201.5
825,190.0
140,190.0
143,116.0
250,149.5
