y_real,y_pred_local
52,179.0
275,116.0
206,201.0
155,201.0
182,375.0
182,675.0
375,500.0
65,181.0
175,425.0
725,475.0
250,179.0
50,123.0
650,203.0
231,116.0
475,500.0
138,158.0
105,150.0
925,725.0
311,500.0
350,116.0
125,225.0
252,625.0
120,166.0
25,179.0
98,150.0
300,675.0
100,500.0
500,300.0
250,475.0
300,500.0
203,201.0
575,425.0
80,190.0
275,128.0
275,300.0
75,525.0
70,425.0
221,219.0
202,200.0
325,179.0
317,196.0
1045,425.0
112,475.0
495,725.0
168,201.0
123,123.0
119,116.0
61,123.0
525,525.0
116,116.0
700,219.0
200,500.0
35,525.0
168,239.0
83,425.0
238,75.0
116,525.0
49,525.0
500,179.0
450,179.0
203,200.0
119,179.0
225,525.0
155,475.0
475,142.0
1220,725.0
203,203.0
44,181.0
350,675.0
245,230.0
325,625.0
575,725.0
550,145.0
175,225.0
99,140.0
54,475.0
56,525.0
163,425.0
425,625.0
75,166.0
225,210.0
325,179.0
525,425.0
375,425.0
204,179.0
350,675.0
29,225.0
56,210.0
525,625.0
70,140.0
675,375.0
650,425.0
123,190.0
263,500.0
279,140.0
135,179.0
236,201.0
250,188.0
56,158.0
625,219.0
145,201.0
500,725.0
98,150.0
263,194.0
150,194.0
500,525.0
150,500.0
600,425.0
84,122.0
100,725.0
350,425.0
275,166.0
300,179.0
111,179.0
325,142.0
200,525.0
600,425.0
51,140.0
52,525.0
91,166.0
216,425.0
189,500.0
224,181.0
165,223.0
240,201.0
124,179.0
231,525.0
545,675.0
325,625.0
120,425.0
115,166.0
225,525.0
725,425.0
90,150.0
162,203.0
163,675.0
350,188.0
450,625.0
225,138.0
200,116.0
131,179.0
125,675.0
111,150.0
825,500.0
87,375.0
203,201.0
105,179.0
169,203.0
181,725.0
91,223.0
38,116.0
850,625.0
60,179.0
26,275.0
575,116.0
289,525.0
400,190.0
104,500.0
72,223.0
123,500.0
925,525.0
70,179.0
108,190.0
203,203.0
218,173.0
105,500.0
750,625.0
900,425.0
75,425.0
202,219.0
120,133.0
61,223.0
47,179.0
175,425.0
248,425.0
