y_real,y_pred_local
52,315.0
275,252.0
206,408.0
155,408.0
182,288.0
182,991.6666666666666
375,991.6666666666666
65,288.0
175,330.0
725,408.0
250,315.0
50,279.0
650,408.0
231,315.0
475,991.6666666666666
138,288.0
105,294.0
925,280.0
311,1175.0
350,935.0
125,900.0
252,991.6666666666666
120,279.0
25,252.0
98,1037.5
300,900.0
100,991.6666666666666
500,252.0
250,350.0
300,1037.5
203,408.0
575,289.0
80,312.0
275,245.0
275,252.0
75,294.0
70,883.3333333333334
221,312.0
202,350.0
325,252.0
317,322.0
1045,330.0
112,350.0
495,1200.0
168,408.0
123,279.0
119,315.0
61,279.0
525,270.0
116,900.0
700,312.0
200,1037.5
35,280.0
168,350.0
83,883.3333333333334
238,408.0
116,280.0
49,280.0
500,315.0
450,315.0
203,350.0
119,350.0
225,350.0
155,279.0
475,290.0
1220,1200.0
203,408.0
44,288.0
350,360.0
245,408.0
325,252.0
575,299.0
550,290.0
175,900.0
99,330.0
54,279.0
56,280.0
163,883.3333333333334
425,252.0
75,279.0
225,333.0
325,350.0
525,883.3333333333334
375,883.3333333333334
204,350.0
350,360.0
29,900.0
56,333.0
525,360.0
70,330.0
675,288.0
650,883.3333333333334
123,312.0
263,1037.5
279,279.0
135,350.0
236,408.0
250,270.0
56,288.0
625,312.0
145,408.0
500,280.0
98,1037.5
263,322.0
150,330.0
500,315.0
150,991.6666666666666
600,289.0
84,900.0
100,261.0
350,925.0
275,279.0
300,252.0
111,350.0
325,263.0
200,270.0
600,330.0
51,279.0
52,280.0
91,279.0
216,1175.0
189,991.6666666666666
224,330.0
165,312.0
240,408.0
124,306.0
231,330.0
545,360.0
325,360.0
120,289.0
115,279.0
225,268.0
725,330.0
90,294.0
162,408.0
163,1200.0
350,270.0
450,360.0
225,270.0
200,360.0
131,350.0
125,270.0
111,1037.5
825,1037.5
87,288.0
203,408.0
105,315.0
169,408.0
181,1200.0
91,312.0
38,315.0
850,991.6666666666666
60,315.0
26,900.0
575,935.0
289,403.0
400,312.0
104,1037.5
72,312.0
123,991.6666666666666
925,330.0
70,306.0
108,312.0
203,408.0
218,900.0
105,991.6666666666666
750,991.6666666666666
900,925.0
75,883.3333333333334
202,312.0
120,289.0
61,312.0
47,306.0
175,883.3333333333334
248,1175.0
87,289.0
90,900.0
85,330.0
119,900.0
106,330.0
150,991.6666666666666
225,312.0
56,289.0
68,288.0
149,350.0
173,1037.5
600,245.0
125,268.0
900,289.0
100,360.0
750,289.0
125,315.0
116,306.0
550,299.0
225,288.0
150,270.0
150,900.0
375,883.3333333333334
250,268.0
113,306.0
475,315.0
275,350.0
208,420.0
198,347.5
133,1037.5
145,279.0
725,935.0
203,330.0
112,289.0
59,350.0
239,350.0
525,270.0
94,312.0
50,306.0
575,312.0
182,322.0
425,288.0
825,991.6666666666666
325,900.0
75,252.0
105,294.0
300,360.0
475,245.0
125,900.0
775,245.0
600,925.0
109,330.0
232,408.0
500,270.0
225,252.0
525,270.0
450,270.0
140,288.0
825,330.0
140,322.0
143,350.0
250,306.0
65,350.0
500,263.0
400,360.0
196,289.0
96,350.0
145,312.0
138,315.0
925,991.6666666666666
128,312.0
175,252.0
525,925.0
124,330.0
111,1200.0
248,408.0
38,279.0
39,315.0
36,279.0
105,991.6666666666666
150,261.0
300,315.0
221,312.0
126,935.0
38,315.0
250,252.0
900,900.0
98,330.0
39,279.0
675,312.0
111,403.0
450,900.0
225,883.3333333333334
420,408.0
325,360.0
87,900.0
500,1200.0
109,279.0
150,289.0
207,408.0
69,350.0
149,330.0
117,289.0
400,900.0
30,900.0
149,408.0
150,991.6666666666666
150,312.0
250,360.0
204,315.0
75,350.0
175,900.0
193,350.0
147,330.0
225,258.0
175,900.0
91,322.0
100,315.0
125,306.0
150,1037.5
425,312.0
725,289.0
375,270.0
500,991.6666666666666
325,360.0
210,333.0
315,312.0
120,288.0
240,315.0
81,322.0
136,312.0
650,1200.0
225,330.0
75,315.0
58,288.0
333,350.0
475,280.0
120,883.3333333333334
30,333.0
68,900.0
160,279.0
155,288.0
550,261.0
58,288.0
575,312.0
113,306.0
114,306.0
725,268.0
30,306.0
625,290.0
116,289.0
200,252.0
775,883.3333333333334
203,347.5
119,350.0
475,1037.5
250,900.0
221,1200.0
91,279.0
700,330.0
123,289.0
88,312.0
126,312.0
95,350.0
550,1200.0
91,312.0
425,288.0
575,350.0
104,315.0
63,315.0
475,883.3333333333334
36,306.0
700,350.0
450,360.0
700,991.6666666666666
79,347.5
675,1037.5
147,315.0
144,289.0
116,991.6666666666666
550,290.0
350,252.0
300,1200.0
223,408.0
93,312.0
320,280.0
173,900.0
670,270.0
475,350.0
192,312.0
275,252.0
189,322.0
175,252.0
163,408.0
158,350.0
51,315.0
216,408.0
425,268.0
275,360.0
130,288.0
1125,312.0
174,315.0
210,350.0
325,263.0
325,280.0
44,315.0
825,900.0
120,420.0
63,330.0
575,315.0
132,408.0
375,1037.5
154,279.0
350,360.0
90,900.0
278,294.0
179,350.0
175,252.0
300,280.0
96,315.0
45,280.0
68,330.0
210,289.0
77,280.0
400,279.0
62,279.0
