y_real,y_pred_local
52,99.0
275,300.0
206,221.0
155,216.0
182,289.0
182,875.0
375,837.5
65,650.0
175,875.0
725,941.6666666666666
250,99.0
50,75.0
650,204.0
231,271.0
475,650.0
138,306.0
105,1000.0
925,550.0
311,875.0
350,135.0
125,625.0
252,903.5714285714286
120,163.0
25,412.5
98,831.25
300,198.0
100,837.5
500,387.5
250,875.0
300,837.5
203,216.0
575,625.0
80,149.0
275,425.0
275,387.5
75,831.25
70,625.0
221,163.0
202,145.0
325,350.0
317,875.0
1045,875.0
112,875.0
495,875.0
168,216.0
123,88.0
119,271.0
61,88.0
525,525.0
116,650.0
700,163.0
200,831.25
35,625.0
168,289.0
83,150.0
238,302.0
116,625.0
49,625.0
500,99.0
450,99.0
203,271.0
119,160.0
225,289.0
155,131.0
475,675.0
1220,875.0
203,216.0
44,650.0
350,625.0
245,941.6666666666666
325,143.0
575,750.0
550,675.0
175,625.0
99,903.5714285714286
54,625.0
56,625.0
163,625.0
425,143.0
75,116.0
225,1000.0
325,145.0
525,625.0
375,625.0
204,145.0
350,625.0
29,625.0
56,1000.0
525,600.0
70,925.0
675,289.0
650,625.0
123,149.0
263,837.5
279,625.0
135,145.0
236,216.0
250,338.5
56,306.0
625,163.0
145,216.0
500,550.0
98,650.0
263,875.0
150,875.0
500,625.0
150,837.5
600,903.5714285714286
84,650.0
100,425.0
350,831.25
275,163.0
300,400.0
111,140.0
325,675.0
200,325.0
600,875.0
51,625.0
52,625.0
91,163.0
216,903.5714285714286
189,837.5
224,903.5714285714286
165,116.0
240,216.0
124,90.0
231,903.5714285714286
545,600.0
325,600.0
120,903.5714285714286
115,116.0
225,450.0
725,875.0
90,1000.0
162,216.0
163,875.0
350,338.5
450,600.0
225,300.0
200,625.0
131,145.0
125,425.0
111,650.0
825,831.25
87,289.0
203,216.0
105,147.0
169,216.0
181,903.5714285714286
91,116.0
38,173.5
850,903.5714285714286
60,147.0
26,650.0
575,831.25
289,875.0
400,149.0
104,837.5
72,116.0
123,837.5
925,903.5714285714286
70,80.66666666666667
108,102.0
203,180.0
218,837.5
105,837.5
750,163.0
900,831.25
75,625.0
202,116.0
120,625.0
61,116.0
47,80.66666666666667
175,625.0
248,903.5714285714286
87,625.0
90,650.0
85,903.5714285714286
119,837.5
106,903.5714285714286
150,837.5
225,163.0
56,625.0
68,306.0
149,145.0
173,837.5
600,675.0
125,400.0
900,903.5714285714286
100,247.0
750,903.5714285714286
125,625.0
116,143.0
550,750.0
225,700.0
150,450.0
150,650.0
375,625.0
250,425.0
113,90.0
475,119.0
275,289.0
208,875.0
198,958.3333333333334
133,837.5
145,625.0
725,831.25
203,163.0
112,903.5714285714286
59,145.0
239,289.0
525,725.0
94,925.0
50,147.0
575,675.0
182,875.0
425,700.0
825,903.5714285714286
325,650.0
75,412.5
105,831.25
300,600.0
475,425.0
125,625.0
775,675.0
600,831.25
109,163.0
232,941.6666666666666
500,450.0
225,400.0
525,425.0
450,338.5
140,173.5
825,875.0
140,837.5
143,160.0
250,80.66666666666667
65,289.0
500,675.0
400,600.0
196,625.0
96,145.0
145,149.0
138,119.0
925,837.5
128,116.0
175,400.0
525,831.25
124,903.5714285714286
111,903.5714285714286
248,216.0
38,116.0
39,147.0
36,625.0
105,837.5
150,425.0
300,625.0
221,163.0
126,831.25
38,173.5
250,425.0
900,650.0
98,958.3333333333334
39,163.0
675,116.0
