y_real,y_pred_local
52,147.0
275,375.0
206,140.0
155,100.0
182,113.0
182,169.0
375,149.0
65,113.0
175,169.0
725,100.0
250,147.0
50,68.0
650,100.0
231,96.0
475,285.0
138,113.0
105,147.0
925,250.0
311,138.0
350,300.0
125,225.0
252,175.0
120,68.0
25,375.0
98,119.0
300,300.0
100,109.0
500,375.0
250,120.0
300,198.0
203,100.0
575,88.0
80,100.0
275,350.0
275,375.0
75,147.0
70,74.0
221,140.0
202,75.0
325,375.0
317,169.0
1045,169.0
112,120.0
495,131.5
168,100.0
123,68.0
119,96.0
61,68.0
525,400.0
116,65.0
700,100.0
200,425.0
35,68.0
168,78.0
83,74.0
238,100.0
116,88.0
49,68.0
500,96.0
450,147.0
203,107.0
119,75.0
225,78.0
155,68.0
475,400.0
1220,575.0
203,140.0
44,113.0
350,300.0
245,100.0
325,300.0
575,500.0
550,475.0
175,225.0
99,178.0
54,68.0
56,88.0
163,74.0
425,300.0
75,68.0
225,147.0
325,75.0
525,153.0
375,143.0
204,107.0
350,300.0
29,78.0
56,147.0
525,700.0
70,100.0
675,113.0
650,166.0
123,140.0
263,98.0
279,68.0
135,75.0
236,140.0
250,400.0
56,113.0
625,140.0
145,100.0
500,250.0
98,88.0
263,169.0
150,169.0
500,88.0
150,162.0
600,272.0
84,84.0
100,350.0
350,147.0
275,68.0
300,375.0
111,107.0
325,500.0
200,350.0
600,169.0
51,68.0
52,68.0
91,68.0
216,206.0
189,109.0
224,100.0
165,140.0
240,140.0
124,107.0
231,181.5
545,625.0
325,700.0
120,175.0
115,68.0
225,525.0
725,169.0
90,147.0
162,140.0
163,147.5
350,400.0
450,700.0
225,400.0
200,525.0
131,75.0
125,400.0
111,88.0
825,131.5
87,113.0
203,100.0
105,96.0
169,100.0
181,131.5
91,100.0
38,96.0
850,256.0
60,147.0
26,113.0
575,112.0
289,171.0
400,100.0
104,104.0
72,100.0
123,173.0
925,150.0
70,107.0
108,100.0
203,140.0
218,65.0
105,109.0
750,256.0
900,132.0
75,74.0
202,140.0
120,68.0
61,140.0
47,107.0
175,153.0
248,276.0
87,68.0
90,88.0
85,171.0
119,65.0
106,100.0
150,163.0
225,140.0
56,68.0
68,113.0
149,75.0
173,173.0
600,537.5
125,525.0
900,272.0
100,350.0
750,175.0
125,68.0
116,107.0
550,500.0
225,113.0
150,350.0
150,84.0
375,153.0
250,525.0
113,113.0
475,147.0
275,78.0
208,100.0
198,140.0
133,138.0
145,68.0
725,112.0
203,100.0
112,175.0
59,75.0
239,78.0
525,400.0
94,188.0
50,107.0
575,537.5
182,169.0
425,113.0
825,256.0
325,113.0
75,375.0
105,147.0
300,700.0
475,475.0
125,225.0
775,812.5
600,147.0
109,100.0
232,140.0
500,350.0
225,375.0
525,400.0
450,400.0
140,113.0
825,272.0
140,140.0
143,75.0
250,113.0
65,75.0
500,500.0
400,700.0
196,68.0
96,107.0
145,100.0
138,147.0
925,109.0
128,140.0
175,375.0
525,147.0
124,178.0
111,147.5
248,140.0
38,68.0
39,96.0
36,68.0
105,173.0
150,350.0
300,88.0
221,140.0
126,112.0
38,147.0
250,300.0
900,140.0
98,75.0
39,68.0
675,140.0
111,100.0
450,65.0
225,74.0
420,140.0
325,375.0
87,84.0
500,131.5
109,68.0
150,272.0
207,100.0
69,75.0
149,171.0
117,68.0
400,68.0
30,78.0
149,140.0
150,109.0
150,140.0
250,350.0
204,96.0
75,75.0
175,140.0
193,107.0
147,169.0
225,525.0
175,140.0
91,65.0
100,96.0
125,113.0
150,119.0
425,100.0
725,175.0
375,400.0
500,109.0
325,375.0
210,147.0
315,140.0
120,113.0
240,68.0
81,84.0
136,140.0
650,131.5
225,140.0
75,96.0
58,113.0
333,107.0
475,250.0
120,74.0
30,120.0
68,84.0
160,68.0
155,120.0
550,350.0
58,113.0
575,100.0
113,113.0
114,107.0
725,525.0
30,113.0
625,700.0
116,175.0
200,375.0
775,143.0
203,75.0
119,107.0
475,96.0
250,300.0
221,147.5
91,68.0
700,140.0
123,88.0
88,140.0
126,100.0
95,75.0
550,575.0
91,100.0
425,120.0
575,75.0
104,147.0
63,147.0
475,143.0
36,113.0
700,75.0
450,300.0
700,189.0
79,173.0
675,131.5
147,96.0
144,175.0
116,189.0
550,400.0
350,300.0
300,272.0
223,140.0
93,140.0
320,350.0
173,300.0
670,400.0
475,78.0
192,140.0
275,300.0
189,169.0
175,300.0
163,100.0
158,107.0
51,147.0
216,100.0
425,525.0
275,700.0
130,113.0
1125,537.5
174,147.0
210,107.0
325,500.0
325,350.0
44,147.0
825,300.0
120,272.0
63,100.0
575,88.0
132,140.0
375,238.0
154,68.0
350,525.0
90,65.0
278,147.0
179,107.0
175,375.0
300,250.0
96,96.0
45,68.0
68,190.0
210,68.0
77,68.0
400,68.0
62,68.0
170,107.0
450,147.0
120,140.0
84,175.0
425,131.5
133,113.0
250,375.0
725,325.0
375,250.0
208,100.0
300,400.0
450,525.0
219,109.0
147,107.0
213,140.0
95,169.0
53,68.0
174,87.0
400,112.0
175,68.0
319,144.0
135,140.0
243,113.0
138,98.0
132,147.0
109,96.0
184,140.0
400,525.0
98,147.0
125,350.0
96,96.0
150,375.0
248,285.0
98,138.0
135,175.0
400,75.0
36,113.0
196,107.0
78,75.0
145,100.0
175,375.0
200,525.0
90,96.0
650,88.0
163,75.0
450,272.0
825,131.5
78,107.0
400,400.0
400,140.0
182,147.0
150,400.0
475,350.0
252,147.0
240,96.0
125,75.0
450,113.0
600,400.0
124,140.0
79,140.0
85,147.0
1020,100.0
176,131.5
75,107.0
300,250.0
107,107.0
200,400.0
200,166.0
300,400.0
350,147.0
91,75.0
925,140.0
350,400.0
98,138.0
68,107.0
700,300.0
150,147.0
625,216.0
850,225.0
91,113.0
650,400.0
550,300.0
375,65.0
66,173.0
65,147.0
287,140.0
94,107.0
142,68.0
54,78.0
41,75.0
120,138.0
111,96.0
275,400.0
140,175.0
264,300.0
425,78.0
525,140.0
78,128.0
112,75.0
42,68.0
228,68.0
137,113.0
102,178.0
91,100.0
425,75.0
69,144.0
325,325.0
87,147.0
400,575.0
38,68.0
58,147.0
169,100.0
293,169.0
700,107.0
203,140.0
271,178.0
85,68.0
158,169.0
325,400.0
91,90.0
112,65.0
188,65.0
233,113.0
58,100.0
289,107.0
250,300.0
119,147.0
117,65.0
65,147.0
50,375.0
425,88.0
450,147.0
525,687.5
254,74.0
125,68.0
300,100.0
87,113.0
525,100.0
150,147.0
87,65.0
116,75.0
53,147.0
119,113.0
225,350.0
247,140.0
125,300.0
275,75.0
84,75.0
175,96.0
350,500.0
725,109.0
68,68.0
210,107.0
117,109.0
800,100.0
68,140.0
106,100.0
475,150.0
900,131.5
48,94.0
725,143.0
120,169.0
161,147.5
425,140.0
161,75.0
68,147.0
250,68.0
91,68.0
375,500.0
225,350.0
98,100.0
725,400.0
58,68.0
116,140.0
208,178.0
26,113.0
100,525.0
124,147.0
41,147.0
625,78.0
70,107.0
900,131.5
575,140.0
65,68.0
625,162.0
525,175.0
83,147.0
170,170.0
113,170.0
248,140.0
95,88.0
375,300.0
825,78.0
218,147.5
36,68.0
525,400.0
95,100.0
825,131.5
182,140.0
123,100.0
675,272.0
145,96.0
68,107.0
88,113.0
145,68.0
200,525.0
120,113.0
158,169.0
175,88.0
300,68.0
250,375.0
225,100.0
600,263.0
1075,198.0
56,68.0
200,400.0
275,68.0
122,65.0
200,256.0
56,68.0
128,75.0
950,132.0
450,68.0
122,147.5
325,300.0
700,700.0
31,78.0
54,74.0
425,88.0
90,100.0
126,100.0
700,100.0
173,68.0
275,100.0
36,68.0
147,150.0
75,68.0
142,75.0
217,132.0
775,169.0
800,400.0
145,147.0
175,375.0
550,350.0
189,173.0
91,147.0
575,400.0
300,147.0
520,400.0
500,113.0
116,112.0
215,169.0
196,131.5
44,100.0
175,140.0
135,100.0
150,375.0
275,400.0
65,113.0
300,375.0
350,75.0
38,100.0
47,147.0
150,100.0
525,100.0
98,138.0
143,173.0
1000,256.0
112,147.0
105,75.0
575,112.0
315,140.0
91,100.0
175,300.0
231,216.0
196,138.0
400,375.0
125,100.0
125,150.0
81,74.0
90,68.0
83,113.0
200,68.0
94,100.0
575,100.0
62,88.0
201,140.0
625,65.0
50,78.0
725,140.0
231,285.0
96,112.0
175,525.0
140,96.0
375,96.0
158,113.0
475,100.0
223,99.0
425,100.0
145,107.0
53,68.0
100,375.0
138,147.0
175,200.0
300,300.0
119,119.0
675,75.0
325,300.0
152,88.0
204,107.0
175,350.0
125,100.0
500,400.0
248,147.0
375,173.0
84,100.0
142,100.0
45,78.0
119,74.0
119,113.0
180,180.0
116,100.0
550,131.5
95,173.0
150,375.0
74,175.0
225,206.0
125,149.0
298,575.0
91,75.0
288,188.0
575,96.0
225,375.0
113,147.0
775,169.0
600,200.0
175,350.0
281,107.0
194,175.0
138,75.0
53,147.0
208,216.0
625,104.0
650,550.0
225,300.0
203,109.0
925,300.0
147,147.0
450,68.0
101,107.0
158,68.0
224,169.0
54,147.0
375,109.0
350,113.0
525,109.0
49,100.0
186,171.0
60,113.0
123,75.0
45,147.0
105,113.0
60,147.0
173,140.0
160,100.0
111,100.0
152,113.0
156,100.0
375,100.0
75,107.0
74,75.0
200,350.0
58,84.0
1025,100.0
128,100.0
91,75.0
825,625.0
233,175.0
111,68.0
150,107.0
182,100.0
400,147.0
224,96.0
125,88.0
198,140.0
725,68.0
675,113.0
117,100.0
140,100.0
232,84.0
233,169.0
300,400.0
700,78.0
113,140.0
194,216.0
44,74.0
800,150.0
109,113.0
182,147.0
225,68.0
83,113.0
160,144.0
270,68.0
263,169.0
375,65.0
350,350.0
250,400.0
165,100.0
147,74.0
61,100.0
65,175.0
200,147.0
149,100.0
143,147.0
575,375.0
68,74.0
400,300.0
104,100.0
775,700.0
131,100.0
128,272.0
99,96.0
53,68.0
150,107.0
175,350.0
140,96.0
98,113.0
225,113.0
152,131.5
56,68.0
176,147.0
101,175.0
525,375.0
500,256.0
51,74.0
189,109.0
40,68.0
325,300.0
74,68.0
145,96.0
250,68.0
350,525.0
50,78.0
169,84.0
475,75.0
75,74.0
900,500.0
875,272.0
94,100.0
63,147.0
400,425.0
181,149.0
248,107.0
261,261.0
149,147.0
575,700.0
215,132.0
182,138.0
850,150.0
225,280.0
49,113.0
176,223.0
111,147.0
69,75.0
520,100.0
149,180.0
450,100.0
525,100.0
38,147.0
650,100.0
99,178.0
525,300.0
101,68.0
149,100.0
175,525.0
400,300.0
206,150.0
51,68.0
