y_real,y_pred_local
52,79.5
275,206.25
206,375.0
155,154.0
182,59.0
182,182.0
375,63.0
65,59.0
175,131.0
725,115.0
250,79.5
50,61.0
650,143.0
231,140.0
475,225.0
138,59.0
105,101.0
925,387.5
311,179.0
350,90.0
125,375.0
252,81.0
120,90.0
25,191.66666666666666
98,112.0
300,90.0
100,133.0
500,275.0
250,375.0
300,225.0
203,122.0
575,375.0
80,69.0
275,200.0
275,275.0
75,101.0
70,56.0
221,90.0
202,75.0
325,191.66666666666666
317,182.0
1045,131.0
112,102.0
495,179.0
168,154.0
123,158.0
119,140.0
61,158.0
525,300.0
116,59.0
700,38.0
200,375.0
35,65.0
168,225.0
83,56.0
238,248.0
116,375.0
49,65.0
500,158.0
450,79.5
203,375.0
119,81.0
225,225.0
155,135.0
475,450.0
1220,375.0
203,158.0
44,77.0
350,387.5
245,115.0
325,325.0
575,622.5
550,400.0
175,375.0
99,375.0
54,135.0
56,375.0
163,56.0
425,325.0
75,59.0
225,117.0
325,81.0
525,375.0
375,36.0
204,90.0
350,387.5
29,87.0
56,117.0
525,400.0
70,90.0
675,59.0
650,375.0
123,158.0
263,133.0
279,375.0
135,81.0
236,158.0
250,300.0
56,59.0
625,135.0
145,165.0
500,387.5
98,59.0
263,126.0
150,118.0
500,375.0
150,133.0
600,375.0
84,59.0
100,300.0
350,112.0
275,59.0
300,287.5
111,158.0
325,450.0
200,225.0
600,131.0
51,68.0
52,65.0
91,135.0
216,81.0
189,81.0
224,116.0
165,90.0
240,90.0
124,158.0
231,375.0
545,525.0
325,400.0
120,116.0
115,59.0
225,300.0
725,131.0
90,101.0
162,158.0
163,179.0
350,300.0
450,400.0
225,291.6666666666667
200,400.0
131,75.0
125,200.0
111,59.0
825,112.0
87,59.0
203,154.0
105,90.0
169,122.0
181,81.0
91,91.0
38,140.0
850,375.0
60,77.0
26,59.0
575,112.0
289,375.0
400,69.0
104,133.0
72,80.0
123,133.0
925,375.0
70,158.0
108,69.0
203,158.0
218,218.0
105,133.0
750,375.0
900,375.0
75,56.0
202,135.0
120,87.0
61,90.0
47,158.0
175,375.0
248,375.0
87,68.0
90,59.0
85,375.0
119,81.0
106,117.0
150,133.0
225,135.0
56,68.0
68,59.0
149,75.0
173,133.0
600,325.0
125,300.0
900,375.0
100,250.0
750,116.0
125,68.0
116,140.0
550,622.5
225,59.0
150,250.0
150,150.0
375,375.0
250,287.5
113,54.0
475,57.0
275,225.0
208,131.0
198,225.0
133,133.0
145,98.0
725,112.0
203,117.0
112,47.0
59,75.0
239,225.0
525,525.0
94,375.0
50,158.0
575,622.5
182,182.0
425,59.0
825,375.0
325,77.0
75,191.66666666666666
105,98.0
300,400.0
475,200.0
125,375.0
775,325.0
600,112.0
109,90.0
232,375.0
500,250.0
225,275.0
525,550.0
450,300.0
140,59.0
825,375.0
140,225.0
143,81.0
250,79.5
65,94.0
500,400.0
400,400.0
196,87.0
96,90.0
145,69.0
138,57.0
925,133.0
128,158.0
175,275.0
525,112.0
124,375.0
111,47.0
248,158.0
38,59.0
39,158.0
36,68.0
105,63.0
150,300.0
300,375.0
221,135.0
126,38.0
38,72.0
250,350.0
900,225.0
98,95.0
39,135.0
675,158.0
111,131.0
450,30.0
225,56.0
420,375.0
325,400.0
87,59.0
500,179.0
109,158.0
150,375.0
207,115.0
69,75.0
149,375.0
117,87.0
400,87.0
30,56.0
149,158.0
150,81.0
150,158.0
250,250.0
204,140.0
75,75.0
175,102.0
193,158.0
147,131.0
225,325.0
175,225.0
91,115.0
100,140.0
125,49.0
150,112.0
425,38.0
725,116.0
375,300.0
500,133.0
325,400.0
210,117.0
315,135.0
120,77.0
240,375.0
81,95.0
136,98.0
650,81.0
225,225.0
75,158.0
58,59.0
333,375.0
475,387.5
120,56.0
30,140.0
68,77.0
160,135.0
155,140.0
550,300.0
58,59.0
575,91.0
113,79.5
114,102.0
725,250.0
30,47.0
625,450.0
116,81.0
200,275.0
775,56.0
203,94.0
119,158.0
475,225.0
250,90.0
221,179.0
91,59.0
700,225.0
123,375.0
88,158.0
126,80.0
95,75.0
550,375.0
91,103.0
425,140.0
575,75.0
104,38.0
63,72.0
475,56.0
36,47.0
700,94.0
450,387.5
700,112.0
79,225.0
675,112.0
147,102.0
144,117.0
116,133.0
550,400.0
350,300.0
300,375.0
223,158.0
93,135.0
320,400.0
173,90.0
670,550.0
475,225.0
192,158.0
275,300.0
189,182.0
175,325.0
163,115.0
158,158.0
51,57.0
216,122.0
425,300.0
275,400.0
130,137.0
1125,622.5
174,62.5
210,90.0
325,400.0
325,400.0
44,62.5
825,225.0
120,375.0
63,116.0
575,375.0
132,375.0
375,375.0
154,59.0
350,400.0
90,59.0
278,101.0
179,158.0
175,275.0
300,400.0
96,140.0
45,65.0
68,375.0
210,68.0
77,65.0
400,63.5
62,98.0
170,158.0
450,101.0
120,225.0
84,116.0
425,81.0
133,134.0
250,275.0
725,225.0
375,387.5
208,115.0
300,300.0
450,212.5
219,81.0
147,158.0
213,90.0
95,182.0
53,68.0
174,133.0
400,38.0
175,68.0
319,179.0
135,158.0
243,59.0
138,133.0
132,375.0
109,90.0
184,158.0
400,400.0
98,79.5
125,300.0
96,140.0
150,206.25
248,225.0
98,179.0
135,116.0
400,75.0
36,77.0
196,90.0
78,75.0
145,90.0
175,275.0
200,300.0
90,158.0
650,375.0
163,95.0
450,375.0
825,115.0
78,158.0
400,450.0
400,375.0
182,101.0
150,362.5
475,375.0
252,87.0
240,90.0
125,75.0
450,47.0
600,512.5
124,158.0
79,158.0
85,101.0
1020,154.0
176,179.0
75,158.0
300,400.0
107,158.0
200,362.5
200,375.0
300,300.0
350,101.0
91,94.0
925,135.0
350,300.0
98,133.0
68,158.0
700,375.0
150,90.0
625,179.0
850,179.0
91,30.0
650,400.0
550,325.0
375,59.0
66,225.0
65,79.5
287,375.0
94,90.0
142,87.0
54,56.0
41,95.0
120,133.0
111,90.0
275,300.0
140,81.0
264,225.0
425,225.0
525,375.0
78,375.0
112,105.0
42,68.0
228,135.0
137,59.0
102,375.0
91,116.0
425,81.0
69,81.0
325,225.0
87,57.0
400,375.0
38,68.0
58,117.0
169,117.0
293,126.0
700,375.0
203,158.0
271,375.0
85,59.0
158,182.0
325,362.5
91,225.0
112,115.0
188,81.0
233,59.0
58,69.0
289,90.0
250,350.0
119,117.0
117,59.0
65,87.0
50,191.66666666666666
425,375.0
450,112.0
525,375.0
254,56.0
125,68.0
300,103.0
87,59.0
525,154.0
150,79.5
87,30.0
116,75.0
53,77.0
119,59.5
225,225.0
247,158.0
125,375.0
275,105.0
84,94.0
175,140.0
350,450.0
725,133.0
68,59.0
210,140.0
117,81.0
800,116.0
68,135.0
106,150.0
475,375.0
900,81.0
48,375.0
725,56.0
120,182.0
161,81.0
425,225.0
161,105.0
68,72.0
250,59.0
91,158.0
375,450.0
225,225.0
98,90.0
725,550.0
58,63.5
116,158.0
208,98.0
26,54.0
100,212.5
124,79.5
41,79.5
625,225.0
70,158.0
900,81.0
575,225.0
65,59.0
625,133.0
525,117.0
83,79.5
170,225.0
113,375.0
248,90.0
95,59.0
375,225.0
825,225.0
218,179.0
36,65.0
525,525.0
95,117.0
825,179.0
182,158.0
123,165.0
675,375.0
145,158.0
68,90.0
88,79.5
145,65.0
200,212.5
120,87.0
158,182.0
175,375.0
300,87.0
250,206.25
225,90.0
600,375.0
1075,225.0
56,63.5
200,362.5
275,59.0
122,59.0
200,375.0
56,65.0
128,75.0
950,375.0
450,68.0
122,179.0
325,300.0
700,325.0
31,56.0
54,56.0
425,375.0
90,116.0
126,103.0
700,143.0
173,375.0
275,103.0
36,87.0
147,59.0
75,98.0
142,94.0
217,375.0
775,182.0
800,550.0
145,57.0
175,275.0
550,375.0
189,112.0
91,101.0
575,550.0
300,101.0
520,525.0
500,59.0
116,112.0
215,182.0
196,179.0
44,116.0
175,90.0
135,154.0
150,275.0
275,291.6666666666667
65,59.0
300,275.0
350,95.0
38,116.0
47,117.0
150,91.0
525,115.0
98,133.0
143,112.0
1000,375.0
112,112.0
105,94.0
575,112.0
315,135.0
91,131.0
175,375.0
231,179.0
196,179.0
400,275.0
125,154.0
125,375.0
81,56.0
90,158.0
83,59.0
200,68.0
94,116.0
575,103.0
62,375.0
201,158.0
625,115.0
50,56.0
725,158.0
231,225.0
96,112.0
175,212.5
140,102.0
375,225.0
158,59.0
475,143.0
223,225.0
425,69.0
145,102.0
53,59.0
100,287.5
138,112.0
175,375.0
300,300.0
119,112.0
675,75.0
325,225.0
152,375.0
204,140.0
175,250.0
125,131.0
500,560.0
248,112.0
375,102.0
84,90.0
142,91.0
45,225.0
119,56.0
119,59.0
180,59.0
116,131.0
550,38.0
95,133.0
150,191.66666666666666
74,81.0
225,81.0
125,59.0
298,375.0
91,95.0
288,375.0
575,158.0
225,275.0
113,57.0
775,182.0
600,375.0
175,250.0
281,140.0
194,81.0
138,81.0
53,79.5
208,179.0
625,133.0
650,200.0
225,225.0
203,81.0
925,375.0
147,147.0
450,87.0
101,158.0
158,375.0
224,182.0
54,62.5
375,81.0
350,49.0
525,81.0
49,90.0
186,375.0
60,59.0
123,94.0
45,77.0
105,59.0
60,72.0
173,375.0
160,116.0
111,154.0
152,49.0
156,131.0
375,103.0
75,90.0
74,81.0
200,250.0
58,95.0
1025,115.0
128,154.0
91,81.0
825,525.0
233,81.0
111,158.0
150,375.0
182,165.0
400,117.0
224,158.0
125,375.0
198,225.0
725,68.0
675,59.0
117,98.0
140,115.0
232,95.0
233,182.0
300,300.0
700,225.0
113,135.0
194,179.0
44,56.0
800,375.0
109,47.0
182,77.0
225,87.0
83,79.5
160,98.0
270,87.0
263,182.0
375,115.0
350,200.0
250,200.0
165,131.0
147,56.0
61,116.0
65,117.0
200,79.5
149,115.0
143,161.0
575,575.0
68,56.0
400,387.5
104,115.0
775,400.0
131,154.0
128,375.0
99,140.0
53,68.0
150,158.0
175,250.0
140,158.0
98,59.0
225,59.0
152,112.0
56,68.0
176,101.0
101,116.0
525,275.0
500,375.0
51,56.0
189,112.0
40,90.0
325,387.5
74,135.0
145,90.0
250,63.5
350,400.0
50,87.0
169,95.0
475,81.0
75,56.0
900,622.5
875,375.0
94,90.0
63,57.0
400,98.0
181,81.0
248,375.0
261,179.0
149,57.0
575,325.0
215,375.0
182,98.0
850,375.0
225,225.0
49,49.0
176,115.0
111,57.0
69,105.0
520,131.0
149,59.0
450,103.0
525,131.0
38,72.0
650,143.0
99,375.0
525,325.0
101,61.0
149,143.0
175,212.5
400,300.0
206,112.0
51,68.0
950,375.0
125,79.5
155,150.0
775,75.0
169,101.0
875,133.0
200,79.5
62,375.0
275,69.0
275,291.6666666666667
149,179.0
500,325.0
86,112.0
178,158.0
300,300.0
116,375.0
350,400.0
173,59.0
210,375.0
33,47.0
350,38.0
293,94.0
575,375.0
58,68.0
325,300.0
275,375.0
192,158.0
175,375.0
105,135.0
131,59.0
600,225.0
1075,622.5
94,133.0
150,250.0
300,225.0
255,179.0
75,116.0
250,300.0
825,116.0
124,115.0
25,79.5
275,225.0
725,300.0
34,61.0
675,622.5
65,72.0
250,275.0
175,68.0
223,375.0
85,375.0
420,375.0
225,375.0
248,375.0
625,118.0
195,103.0
425,140.0
158,59.0
111,36.0
179,158.0
34,54.0
1000,300.0
131,125.0
122,131.0
168,81.0
95,101.0
232,225.0
450,81.0
675,154.0
675,126.0
600,115.0
210,117.0
145,158.0
136,179.0
263,90.0
475,225.0
203,158.0
350,59.0
152,56.0
175,250.0
825,225.0
163,112.0
0,59.5
233,126.0
225,300.0
550,450.0
26,375.0
196,179.0
125,206.25
34,158.0
41,91.0
275,225.0
102,81.0
59,65.0
47,87.0
325,133.0
175,225.0
181,59.0
106,65.0
200,275.0
194,90.0
225,212.5
80,59.0
56,101.0
240,77.0
181,116.0
725,117.0
625,225.0
160,81.0
225,79.5
38,68.0
130,56.0
225,350.0
625,675.0
65,77.0
975,375.0
247,98.0
500,103.0
60,375.0
147,90.0
142,115.0
470,525.0
275,400.0
20,54.0
112,375.0
109,158.0
325,400.0
200,375.0
425,375.0
231,112.0
27,59.0
51,59.0
50,375.0
44,68.0
278,140.0
200,79.5
68,79.5
105,115.0
225,400.0
81,103.0
500,81.0
131,98.0
173,154.0
72,375.0
256,158.0
400,56.0
65,81.0
700,140.0
81,81.0
275,325.0
109,102.0
69,75.0
400,400.0
74,158.0
210,59.0
150,158.0
209,140.0
91,56.0
800,225.0
275,250.0
225,250.0
600,555.0
150,375.0
240,150.0
175,38.0
113,79.5
675,143.0
101,101.0
375,387.5
425,36.0
145,90.0
350,325.0
116,90.0
136,158.0
225,300.0
187,90.0
264,135.0
54,116.0
109,98.0
90,103.0
150,200.0
975,375.0
134,179.0
58,63.5
98,54.0
272,375.0
206,182.0
47,62.5
250,350.0
167,131.0
105,225.0
74,91.0
128,225.0
225,375.0
190,225.0
65,77.0
625,625.0
116,81.0
825,375.0
189,98.0
575,375.0
202,81.0
90,375.0
272,375.0
160,49.0
100,135.0
450,450.0
350,291.6666666666667
250,300.0
250,101.0
77,62.5
194,158.0
145,115.0
100,287.5
475,133.0
374,158.0
111,225.0
325,225.0
215,116.0
83,94.0
425,30.0
123,94.0
140,375.0
70,90.0
200,200.0
73,133.0
259,81.0
94,98.0
83,101.0
200,98.0
475,140.0
52,68.0
150,206.25
275,133.0
42,63.5
250,300.0
167,154.0
600,133.0
233,158.0
425,98.0
138,81.0
800,225.0
225,95.0
72,75.0
124,375.0
156,47.0
500,131.0
184,158.0
137,133.0
300,400.0
245,225.0
250,362.5
238,154.0
94,133.0
300,135.0
600,375.0
153,143.0
273,81.0
69,116.0
74,98.0
120,116.0
300,103.0
175,375.0
325,300.0
308,179.0
218,98.0
173,158.0
1075,115.0
27,47.0
650,225.0
195,81.0
775,225.0
145,115.0
350,90.0
77,90.0
150,200.0
49,103.0
775,275.0
60,90.0
194,158.0
133,133.0
20,47.0
475,622.5
200,200.0
126,115.0
175,175.0
525,450.0
224,375.0
225,68.0
175,191.66666666666666
85,59.0
104,81.0
525,91.0
475,400.0
725,133.0
200,225.0
256,375.0
165,112.0
210,95.0
138,90.0
625,225.0
174,81.0
300,375.0
375,387.5
98,115.0
120,90.0
246,115.0
525,512.5
131,375.0
525,179.0
75,59.0
175,375.0
600,47.0
171,375.0
117,116.0
300,400.0
101,225.0
475,375.0
1000,622.5
53,36.0
400,287.5
400,77.0
575,140.0
231,375.0
250,200.0
375,225.0
256,375.0
123,81.0
124,131.0
217,101.0
1000,375.0
325,291.6666666666667
85,61.0
278,131.0
124,158.0
550,200.0
500,300.0
270,81.0
175,225.0
51,65.0
425,375.0
525,140.0
42,65.0
144,182.0
925,375.0
325,250.0
59,59.0
125,117.0
107,225.0
61,59.0
49,57.0
475,250.0
300,450.0
350,81.0
182,143.0
88,72.0
333,90.0
500,550.0
163,94.0
87,38.0
750,116.0
650,625.0
163,112.0
143,375.0
200,375.0
150,375.0
19,63.5
525,300.0
875,225.0
384,90.0
150,154.0
175,275.0
325,200.0
123,101.0
750,325.0
56,90.0
700,700.0
325,81.0
400,63.0
375,38.0
325,69.0
150,191.66666666666666
650,622.5
44,112.0
180,133.0
125,133.0
520,560.0
272,158.0
203,118.0
450,63.0
218,158.0
32,158.0
238,94.0
75,140.0
78,56.0
94,68.0
600,122.0
188,115.0
27,68.0
233,375.0
625,375.0
102,96.0
500,122.0
425,200.0
525,112.0
200,300.0
179,375.0
400,140.0
126,56.0
46,57.0
204,158.0
131,135.0
65,87.0
400,387.5
375,212.5
475,77.0
196,165.0
102,98.0
111,56.0
1075,179.0
450,400.0
200,250.0
135,59.0
44,103.0
550,300.0
206,140.0
175,200.0
35,63.5
155,158.0
87,94.0
85,115.0
280,115.0
65,72.0
216,248.0
90,57.0
273,182.0
425,375.0
117,112.0
138,87.0
213,158.0
158,131.0
176,75.0
550,515.0
225,79.5
60,116.0
350,362.5
188,116.0
133,81.0
46,65.0
128,158.0
218,59.0
98,133.0
33,62.5
128,158.0
78,102.0
109,135.0
200,225.0
169,133.0
600,59.0
275,112.0
200,375.0
425,525.0
60,117.0
140,63.0
108,95.0
75,59.0
101,91.0
250,300.0
200,91.0
105,59.5
525,400.0
184,135.0
150,56.0
210,62.5
550,47.0
154,38.0
60,116.0
850,135.0
525,300.0
425,200.0
225,225.0
111,59.0
1070,525.0
145,158.0
550,560.0
225,375.0
300,300.0
650,59.0
100,90.0
176,87.0
81,133.0
161,68.0
550,550.0
300,375.0
325,375.0
88,158.0
63,133.0
225,250.0
69,87.0
218,87.0
675,56.0
124,79.5
60,68.0
100,154.0
175,212.5
123,225.0
322,90.0
550,118.0
625,625.0
300,81.0
950,375.0
625,49.0
68,98.0
625,625.0
68,81.0
