y_real,y_pred_local
52,169.0
275,500.0
206,288.0
155,255.0
182,176.0
182,234.0
375,176.0
65,176.0
175,234.0
725,255.0
250,169.0
50,138.0
650,255.0
231,221.0
475,204.0
138,176.0
105,174.0
925,650.0
311,234.0
350,204.0
125,179.0
252,189.0
120,193.0
25,500.0
98,174.0
300,200.0
100,176.0
500,500.0
250,221.0
300,200.0
203,255.0
575,193.0
80,138.0
275,550.0
275,500.0
75,174.0
70,165.0
221,221.0
202,145.0
325,500.0
317,234.0
1045,234.0
112,221.0
495,234.0
168,255.0
123,165.0
119,221.0
61,165.0
525,600.0
116,176.0
700,138.0
200,204.0
35,165.0
168,221.0
83,147.0
238,179.0
116,193.0
49,165.0
500,204.0
450,169.0
203,221.0
119,145.0
225,221.0
155,193.0
475,650.0
1220,288.0
203,272.0
44,176.0
350,650.0
245,255.0
325,650.0
575,875.0
550,600.0
175,179.0
99,221.0
54,193.0
56,193.0
163,165.0
425,650.0
75,138.0
225,174.0
325,145.0
525,179.0
375,147.0
204,170.0
350,650.0
29,165.0
56,174.0
525,550.0
70,138.0
675,176.0
650,179.0
123,165.0
263,176.0
279,193.0
135,145.0
236,272.0
250,600.0
56,176.0
625,221.0
145,255.0
500,650.0
98,176.0
263,234.0
150,234.0
500,193.0
150,156.0
600,221.0
84,176.0
100,550.0
350,174.0
275,138.0
300,500.0
111,204.0
325,650.0
200,600.0
600,234.0
51,138.0
52,165.0
91,193.0
216,189.0
189,176.0
224,189.0
165,165.0
240,272.0
124,202.0
231,221.0
545,875.0
325,550.0
120,189.0
115,138.0
225,625.0
725,234.0
90,174.0
162,272.0
163,234.0
350,600.0
450,550.0
225,600.0
200,625.0
131,145.0
125,600.0
111,176.0
825,174.0
87,176.0
203,255.0
105,170.0
169,255.0
181,189.0
91,138.0
38,221.0
850,221.0
60,169.0
26,176.0
575,174.0
289,288.0
400,138.0
104,176.0
72,138.0
123,176.0
925,221.0
70,204.0
108,138.0
203,272.0
218,233.0
105,176.0
750,221.0
900,204.0
75,165.0
202,221.0
120,165.0
61,165.0
47,204.0
175,179.0
248,221.0
87,165.0
90,176.0
85,221.0
119,176.0
106,189.0
150,156.0
225,221.0
56,165.0
68,176.0
149,145.0
173,176.0
600,550.0
125,625.0
900,221.0
100,550.0
750,189.0
125,165.0
116,221.0
550,875.0
225,145.0
150,600.0
150,233.0
375,179.0
250,625.0
113,145.0
475,169.0
275,221.0
208,234.0
198,200.0
133,176.0
145,193.0
725,174.0
203,189.0
112,189.0
59,145.0
239,221.0
525,875.0
94,221.0
50,170.0
575,875.0
182,234.0
425,145.0
825,221.0
325,176.0
75,500.0
105,174.0
300,550.0
475,525.0
125,179.0
775,525.0
600,174.0
109,138.0
232,288.0
500,600.0
225,500.0
525,875.0
450,600.0
140,145.0
825,288.0
140,200.0
143,145.0
250,145.0
65,176.0
500,600.0
400,550.0
196,165.0
96,170.0
145,138.0
138,169.0
925,176.0
128,165.0
175,500.0
525,174.0
124,221.0
111,189.0
248,272.0
38,138.0
39,170.0
36,165.0
105,176.0
150,550.0
300,193.0
221,221.0
126,174.0
38,174.0
250,650.0
900,204.0
98,176.0
39,193.0
675,165.0
111,234.0
450,176.0
225,165.0
420,288.0
325,500.0
87,176.0
500,234.0
109,165.0
150,221.0
207,255.0
69,145.0
149,221.0
117,165.0
400,165.0
30,165.0
149,272.0
150,176.0
150,165.0
250,550.0
204,221.0
75,145.0
175,204.0
193,202.0
147,234.0
225,625.0
175,204.0
91,176.0
100,221.0
125,145.0
150,174.0
425,138.0
725,189.0
375,600.0
500,176.0
325,500.0
210,174.0
315,221.0
120,176.0
240,193.0
81,176.0
136,221.0
650,189.0
225,200.0
75,204.0
58,176.0
333,221.0
475,650.0
120,165.0
30,221.0
68,176.0
160,193.0
155,221.0
550,550.0
58,145.0
575,138.0
113,145.0
114,221.0
725,625.0
30,145.0
625,625.0
116,189.0
200,500.0
775,147.0
203,176.0
119,204.0
475,200.0
250,204.0
