nodo,mae,rmse,r2
Amazon - Anchorage,196.60682210708114,251.0190923603592,-0.34455819945275756
Amazon - Birmingham,197.32124352331607,239.51744449541997,-0.22416622877425296
Amazon - Boston,142.58782383419688,236.184535026094,-0.1903344703145149
Amazon - Burlington,140.2050949913644,232.4883797184012,-0.15336985738865017
Amazon - Charlotte,230.28704663212434,298.3969858089997,-0.9000059432914091
Amazon - Columbus,157.31571675302243,216.40192122148022,0.0007174124538059656
Amazon - Louisville,139.6107512953368,200.25017209159043,0.1443189944186133
Amazon - Manchester,135.41623488773746,220.70594194412067,-0.039427366269535025
Amazon - Portland,181.87625215889463,248.28869417447245,-0.3154670808343345
Foot Locker - Anchorage,216.7316062176166,275.0042241785791,-0.6137818448112418
Foot Locker - Atlanta,175.25077720207253,259.6221547026279,-0.4383003813503621
Foot Locker - Baltimore,164.02772020725388,257.0953230577508,-0.41043945485722344
Foot Locker - Boise,192.77607944732296,274.56268360427146,-0.6086039015453595
Foot Locker - Charleston,226.85513816925734,313.7923006861695,-1.1011190600528429
Foot Locker - Cheyenne,142.39507772020724,226.1106012895991,-0.09095778430794299
Foot Locker - Chicago,193.48566493955093,252.22852115776809,-0.3575457761419485
Foot Locker - Dallas,178.79481865284973,230.34913352574648,-0.13224200203615322
Foot Locker - Des Moines,155.8323834196891,248.74408505015373,-0.320296950947903
Foot Locker - Detroit,143.71761658031087,226.99162866032148,-0.09947606008226684
Foot Locker - Fargo,157.63056994818652,250.17879513195908,-0.3355713336094117
Foot Locker - Hartford,147.38272884283248,240.09235557494696,-0.23004998705623492
Foot Locker - Honolulu,206.970207253886,252.56041318009338,-0.3611207488863397
Foot Locker - Jackson,176.1497409326425,245.32507196094426,-0.2842511564533039
Foot Locker - Knoxville,199.3181347150259,237.45301144118397,-0.20315466484558575
Foot Locker - Los Angeles,188.68963730569948,237.3302403933838,-0.20191084509499846
Foot Locker - Louisville,224.95129533678755,292.3977807305757,-0.8243755352661539
Foot Locker - Manchester,166.55587219343698,248.32040405771622,-0.31580310879053863
Foot Locker - Miami,187.64386873920552,261.247791458658,-0.4563687484451797
Foot Locker - Minneapolis,155.12806563039726,237.5073427644124,-0.20370531242920786
Foot Locker - New Orleans,151.40673575129534,228.49583504327677,-0.11409614689257741
Foot Locker - New York,291.4999568221071,375.64074071826036,-2.0110049685967715
Foot Locker - Omaha,179.2064335060449,248.81491284816894,-0.3210489450254199
Foot Locker - Philadelphia,169.7603626943005,252.044938282704,-0.35557033372873126
Foot Locker - Phoenix,143.86305267702934,209.7714924951706,0.06101418406967518
Foot Locker - Providence,172.30509499136443,263.41461079811586,-0.48062751650571034
Foot Locker - Richmond,138.18981001727116,223.7951416561593,-0.06872853243902521
Foot Locker - Seattle,217.56735751295338,295.3995388702678,-0.8620259178765302
Foot Locker - Sioux Falls,143.60872193436958,212.6340762977413,0.03521215023936797
Foot Locker - St. Louis,141.7089378238342,228.3422401995006,-0.11259885999118491
Foot Locker - Wichita,164.42901554404145,236.58755129983447,-0.19440021876986036
Foot Locker - Wilmington,150.0965889464594,242.9176759089348,-0.25916989122105494
Kohl's - Albany,154.15699481865286,230.01227890179223,-0.12893292008571677
Kohl's - Albuquerque,141.2904909943252,215.16674302225084,0.012092260845981806
Kohl's - Billings,275.67447569701454,306.67053376745383,-1.0068281941255623
Kohl's - Cheyenne,148.38564335060448,224.78293017856532,-0.07818367564695317
Kohl's - Los Angeles,230.55965334320257,306.8787301228393,-1.0095539606756794
Kohl's - Minneapolis,288.44352331606217,321.30610394954084,-1.202946995140504
Kohl's - Newark,158.70259067357512,251.47089864835672,-0.34940266400135256
Kohl's - Oklahoma City,149.31822107081172,239.52260128350912,-0.22421894170961032
Kohl's - Phoenix,163.83333333333334,224.54674752706975,-0.07591913983179954
Kohl's - San Francisco,302.6015544041451,373.1699351744922,-1.9715250098385084
Kohl's - Wichita,159.3044041450777,213.7678941393371,0.024895740440463388
Kohl's - Wilmington,148.73860103626944,239.74820331566934,-0.22652616739123355
Sports Direct - Albuquerque,155.060103626943,226.04383086362387,-0.09031356010797409
Sports Direct - Atlanta,140.8655415741426,209.72018258840558,0.06147347795936209
Sports Direct - Baltimore,167.6211571675302,260.8017007807069,-0.4513993831673
Sports Direct - Billings,353.57305699481867,396.10081147321694,-2.347939180617713
Sports Direct - Birmingham,245.3582037996546,315.1175214151396,-1.1189036023865224
Sports Direct - Boise,175.28480138169257,243.22521588419104,-0.2623601918594374
Sports Direct - Boston,160.27651122625213,253.2527130603416,-0.36859298260769147
Sports Direct - Charleston,270.73445595854923,353.49234607070343,-1.6664050621711177
Sports Direct - Charlotte,225.54430051813472,301.5301451832494,-0.9401154282388262
Sports Direct - Chicago,367.9378238341969,412.52694432333277,-2.6313719569231764
Sports Direct - Dallas,245.30483592400694,318.3889085465953,-1.163126690260087
Sports Direct - Detroit,142.84322107081175,217.8476914008406,-0.012679502427650036
Sports Direct - Fargo,161.36010362694302,252.40511291611068,-0.35944734790422417
Sports Direct - Hartford,150.493609671848,244.14514789022937,-0.2719273056955398
Sports Direct - Honolulu,243.9176165803109,279.1335845631766,-0.6626095895714659
Sports Direct - Houston,364.52124352331606,432.03728160229474,-2.982983848422313
Sports Direct - Jackson,146.4217616580311,222.7436389639582,-0.058709271977167576
Sports Direct - Knoxville,270.05436096718483,339.59560831094643,-1.4608788071411714
Sports Direct - Miami,193.4056994818653,264.27641901552323,-0.49033164275841035
Sports Direct - New York,436.92746113989637,505.6106849808847,-4.4550480723062895
Sports Direct - Newark,149.4536269430052,241.69204264960433,-0.24649574384824002
